日期,平均地溫0cm(℃),平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間,最大十分鐘降水量(mm),最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,海平面氣壓(hPa),累積日射量(MJm2),累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2021-01-01,15.1,21.8,16.1,17.4,20.8,15.7,1022.8,13.4,68,7.7,30.0,4.6,1020.4,1025.1,2021-01-01 15:59:00,10.3,2021-01-01 06:43:00,53,2021-01-01 11:43:00,0.0,2021-01-01 00:00:00,0.0,2021-01-01 00:00:00,10.0,11.1,2021-01-01 08:39:00,16.8,2021-01-01 14:04:00,1023.1,16.61,8.8,0,0.0
2021-01-02,16.0,21.5,16.6,17.6,20.4,16.4,1021.0,14.8,77,10.9,20.0,4.8,1018.6,1022.5,2021-01-02 14:40:00,11.5,2021-01-02 07:03:00,64,2021-01-02 12:02:00,0.0,2021-01-02 00:00:00,0.0,2021-01-02 00:00:00,30.0,12.2,2021-01-02 09:29:00,17.5,2021-01-02 12:40:00,1021.2,16.73,9.0,0,0.0
2021-01-03,17.3,21.3,17.3,18.0,20.3,17.3,1020.9,16.6,82,13.6,20.0,5.9,1018.6,1022.8,2021-01-03 14:22:00,13.9,2021-01-03 05:49:00,67,2021-01-03 11:02:00,0.0,2021-01-03 00:00:00,0.0,2021-01-03 00:00:00,20.0,14.8,2021-01-03 09:02:00,19.3,2021-01-03 13:23:00,1021.2,17.19,9.1,0,0.0
2021-01-04,18.5,21.1,18.1,18.5,20.3,18.3,1019.4,17.6,86,15.3,20.0,6.5,1017.4,1021.6,2021-01-04 14:56:00,16.3,2021-01-04 05:47:00,75,2021-01-04 11:21:00,0.0,2021-01-04 00:00:00,0.0,2021-01-04 00:00:00,10.0,13.6,2021-01-04 00:03:00,19.7,2021-01-04 11:25:00,1019.7,15.06,8.8,0,0.0
2021-01-05,18.7,21.0,18.5,18.9,20.4,18.6,1018.0,17.6,84,14.9,20.0,8.2,1015.9,1019.7,2021-01-05 14:23:00,16.2,2021-01-05 23:13:00,78,2021-01-05 13:40:00,0.0,2021-01-05 00:00:00,0.0,2021-01-05 00:00:00,30.0,18.1,2021-01-05 09:16:00,18.9,2021-01-05 12:01:00,1018.2,15.50,8.5,0,0.0
2021-01-06,18.6,20.9,18.4,18.9,20.5,18.6,1017.3,16.9,80,13.5,20.0,4.9,1014.7,1019.4,2021-01-06 15:39:00,15.7,2021-01-06 23:55:00,68,2021-01-06 12:03:00,0.0,2021-01-06 00:00:00,0.0,2021-01-06 00:00:00,30.0,12.2,2021-01-06 07:59:00,19.4,2021-01-06 12:02:00,1017.5,9.25,7.0,0,0.0
2021-01-07,16.9,20.9,17.7,18.6,20.6,17.5,1018.2,14.6,80,11.3,30.0,7.8,1016.2,1020.2,2021-01-07 14:25:00,12.1,2021-01-08 00:00:00,69,2021-01-07 14:53:00,0.0,2021-01-07 00:00:00,0.0,2021-01-07 00:00:00,30.0,17.7,2021-01-08 00:00:00,16.6,2021-01-07 15:01:00,1018.5,9.06,6.9,0,0.0
2021-01-08,13.8,20.8,15.8,17.4,20.3,15.1,1021.6,10.3,68,4.7,30.0,8.5,1020.1,1023.2,2021-01-08 00:14:00,9.2,2021-01-08 20:46:00,56,2021-01-08 23:50:00,0.0,2021-01-08 00:00:00,0.0,2021-01-08 00:00:00,20.0,18.8,2021-01-08 21:50:00,12.1,2021-01-08 00:04:00,1021.9,4.59,5.8,0,0.0
2021-01-09,13.5,20.7,15.0,16.5,19.7,14.5,1021.8,10.6,60,3.2,30.0,6.8,1019.4,1023.8,2021-01-09 15:15:00,8.7,2021-01-09 07:36:00,50,2021-01-09 01:04:00,0.0,2021-01-09 00:00:00,0.0,2021-01-09 00:00:00,30.0,17.4,2021-01-09 09:15:00,13.4,2021-01-09 14:32:00,1022.1,10.72,7.8,0,0.0
2021-01-10,14.7,20.4,15.3,16.4,19.3,15.1,1021.2,12.7,68,7.1,30.0,3.9,1018.8,1023.1,2021-01-10 15:25:00,8.3,2021-01-10 06:59:00,54,2021-01-10 10:01:00,0.0,2021-01-10 00:00:00,0.0,2021-01-10 00:00:00,20.0,13.2,2021-01-10 10:02:00,16.6,2021-01-10 14:17:00,1021.5,15.76,8.4,0,0.0
