日期,平均氣溫(℃),平均相對溼度( %),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日照時數(hr),累計雨量(mm)
2017-01-01,21.5,77,,16.5,,,,,,28.1,,7.9,0.0
2017-01-02,21.2,82,,17.2,,,,,,27.7,,6.4,0.0
2017-01-03,21.2,81,,16.4,,,,,,27.2,,7.0,0.0
2017-01-04,22.4,76,,17.8,,,,,,27.9,,5.6,0.0
2017-01-05,21.8,82,,18.1,,,,,,27.5,,6.9,0.0
2017-01-06,22.2,76,,17.3,,,,,,28.6,,7.4,0.0
2017-01-07,22.6,77,,17.9,,,,,,29.1,,7.6,0.0
2017-01-08,23.5,71,,18.7,,,,,,30.4,,9.0,0.0
2017-01-09,22.0,74,,17.7,,,,,,28.5,,7.1,0.0
2017-01-10,21.1,75,,17.1,,,,,,27.1,,6.7,0.0
2017-01-11,21.3,74,,16.3,,,,,,27.3,,6.3,0.0
2017-01-12,21.2,78,,17.6,,,,,,26.9,,5.7,0.0
2017-01-13,21.5,77,,18.0,,,,,,28.0,,5.6,0.0
2017-01-14,17.9,85,,16.8,,,,,,20.7,,0.0,0.0
2017-01-15,18.5,76,,15.9,,,,,,23.7,,1.9,0.0
2017-01-16,18.5,75,,14.8,,,,,,24.5,,5.0,0.0
2017-01-17,19.3,75,,14.1,,,,,,26.6,,7.9,0.0
2017-01-18,21.0,74,,15.5,,,,,,28.6,,8.1,0.0
2017-01-19,23.1,70,,18.3,,,,,,29.6,,9.1,0.0
2017-01-20,19.2,77,,14.6,,,,,,25.4,,7.9,0.0
2017-01-21,16.8,72,,13.8,,,,,,23.2,,4.2,0.0
2017-01-22,17.7,70,,13.5,,,,,,24.0,,4.9,0.0
2017-01-23,19.0,67,,15.2,,,,,,24.6,,4.9,0.0
2017-01-24,18.8,70,,15.0,,,,,,24.7,,5.3,0.0
2017-01-25,17.8,76,,14.5,,,,,,24.3,,3.4,0.0
2017-01-26,17.7,73,,12.8,,,,,,25.7,,7.6,0.0
2017-01-27,19.0,68,,12.7,,,,,,27.2,,9.0,0.0
2017-01-28,19.7,66,,12.3,,,,,,28.0,,9.7,0.0
2017-01-29,21.6,66,,14.8,,,,,,30.0,,9.1,0.0
2017-01-30,21.8,71,,15.7,,,,,,30.0,,7.0,0.0
2017-01-31,19.0,76,,15.7,,,,,,24.0,,0.0,0.0
2017-02-01,20.7,74,,17.3,,,,,,26.4,,0.7,0.0
2017-02-02,18.9,74,,15.6,,,,,,24.5,,1.6,0.0
2017-02-03,19.9,72,,15.1,,,,,,26.6,,7.9,0.0
2017-02-04,19.6,79,,16.8,,,,,,24.3,,0.0,0.0
2017-02-05,20.6,75,,15.9,,,,,,26.2,,2.0,0.0
2017-02-06,20.4,76,,16.3,,,,,,27.9,,7.1,0.0
