日期,平均氣溫(℃),平均相對溼度( %),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日照時數(hr),累計雨量(mm)
2011-01-01,11.1,68,,3.8,2011-01-01 00:00:00,,,,,16.9,2011-01-01 00:00:00,8.8,0.0
2011-01-02,11.5,77,,5.5,2011-01-02 00:00:00,,,,,18.1,2011-01-02 00:00:00,8.5,0.0
2011-01-03,11.8,86,,10.3,2011-01-03 00:00:00,,,,,13.1,2011-01-03 00:00:00,0.4,0.0
2011-01-04,12.0,87,,10.0,2011-01-04 00:00:00,,,,,16.1,2011-01-04 00:00:00,6.3,8.0
2011-01-05,15.5,84,,11.3,2011-01-05 00:00:00,,,,,21.0,2011-01-05 00:00:00,7.6,0.0
2011-01-06,12.3,90,,8.4,2011-01-06 00:00:00,,,,,15.1,2011-01-06 00:00:00,0.4,0.0
2011-01-07,10.8,78,,7.9,2011-01-07 00:00:00,,,,,15.0,2011-01-07 00:00:00,4.8,0.0
2011-01-08,14.0,81,,10.2,2011-01-08 00:00:00,,,,,19.5,2011-01-08 00:00:00,4.5,0.0
2011-01-09,14.3,84,,10.4,2011-01-09 00:00:00,,,,,18.0,2011-01-09 00:00:00,2.9,0.0
2011-01-10,10.7,89,,9.6,2011-01-10 00:00:00,,,,,12.8,2011-01-10 00:00:00,0.0,0.0
2011-01-11,9.3,95,,7.3,2011-01-11 00:00:00,,,,,11.7,2011-01-11 00:00:00,0.0,22.0
2011-01-12,8.3,96,,6.7,2011-01-12 00:00:00,,,,,10.3,2011-01-12 00:00:00,0.0,6.5
2011-01-13,13.7,91,,9.8,2011-01-13 00:00:00,,,,,20.5,2011-01-13 00:00:00,3.2,0.0
2011-01-14,15.7,84,,12.4,2011-01-14 00:00:00,,,,,21.2,2011-01-14 00:00:00,4.4,0.0
2011-01-15,11.0,79,,6.8,2011-01-15 00:00:00,,,,,14.3,2011-01-15 00:00:00,7.2,0.0
2011-01-16,6.4,80,,5.4,2011-01-16 00:00:00,,,,,7.6,2011-01-16 00:00:00,1.2,0.0
2011-01-17,11.3,74,,7.0,2011-01-17 00:00:00,,,,,17.1,2011-01-17 00:00:00,9.0,0.0
2011-01-18,12.7,78,,6.0,2011-01-18 00:00:00,,,,,19.1,2011-01-18 00:00:00,5.0,0.0
2011-01-19,15.7,80,,11.5,2011-01-19 00:00:00,,,,,21.1,2011-01-19 00:00:00,6.6,0.0
2011-01-20,15.1,87,,10.0,2011-01-20 00:00:00,,,,,18.7,2011-01-20 00:00:00,0.6,8.0
2011-01-21,13.0,90,,10.3,2011-01-21 00:00:00,,,,,15.1,2011-01-21 00:00:00,0.5,0.0
2011-01-22,12.8,87,,9.9,2011-01-22 00:00:00,,,,,15.7,2011-01-22 00:00:00,0.0,0.0
2011-01-23,14.5,84,,10.7,2011-01-23 00:00:00,,,,,19.4,2011-01-23 00:00:00,8.1,0.0
2011-01-24,11.9,84,,10.3,2011-01-24 00:00:00,,,,,15.6,2011-01-24 00:00:00,6.2,0.0
2011-01-25,13.7,83,,10.6,2011-01-25 00:00:00,,,,,17.7,2011-01-25 00:00:00,4.8,0.0
