日期,平均地溫0cm(℃),平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間,最大十分鐘降水量(mm),最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,海平面氣壓(hPa),累積日射量(MJm2),累積日照時數(hr),累計雨量(mm)
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,20.1,20.1,19.8,19.7,19.5,20.0,996.1,19.4,87,17.3,300.0,0.6,994.5,998.0,2018-01-20 15:13:00,17.4,2018-01-20 04:53:00,78,2018-01-20 16:14:00,0.0,2018-01-20 00:00:00,0.0,2018-01-20 00:00:00,310.0,3.9,2018-01-20 09:19:00,21.9,2018-01-20 16:13:00,1075.4,3.29,3.1,0.0
2018-01-21,19.9,20.3,19.8,19.9,19.7,19.9,994.7,19.5,87,17.3,300.0,0.8,992.7,996.7,2018-01-21 14:59:00,17.2,2018-01-21 02:32:00,69,2018-01-21 12:34:00,0.0,2018-01-21 00:00:00,0.0,2018-01-21 00:00:00,280.0,5.2,2018-01-21 08:13:00,23.9,2018-01-21 12:34:00,1073.9,5.94,6.6,0.0
2018-01-22,19.7,20.5,20.0,20.2,20.0,20.0,993.4,19.9,80,16.3,330.0,1.3,990.0,995.4,2018-01-22 13:51:00,16.6,2018-01-22 23:20:00,55,2018-01-22 12:15:00,2.5,2018-01-22 05:57:00,1.0,2018-01-22 06:14:00,280.0,6.5,2018-01-22 07:18:00,25.8,2018-01-22 12:26:00,1072.4,10.44,6.5,2.5
