日期,平均氣溫(℃),平均相對溼度( %),平均風向(°),平均風速(ms),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2011-01-01,14.3,59,337.5,1.3,,10.6,2011-01-01 00:00:00,,,,,21.0,2011-01-01 00:00:00,4.9,1.5,0.0
2011-01-02,16.1,61,360.0,1.2,,12.0,2011-01-02 00:00:00,,,,,22.2,2011-01-02 00:00:00,8.4,1.7,0.0
2011-01-03,16.2,65,360.0,1.7,,12.0,2011-01-03 00:00:00,,,,,24.2,2011-01-03 00:00:00,7.0,1.7,0.0
2011-01-04,16.4,64,292.5,2.0,,12.3,2011-01-04 00:00:00,,,,,22.1,2011-01-04 00:00:00,9.4,2.0,0.0
2011-01-05,17.6,64,337.5,1.3,,13.1,2011-01-05 00:00:00,,,,,23.2,2011-01-05 00:00:00,3.1,0.6,0.5
2011-01-06,16.9,68,315.0,2.2,,12.2,2011-01-06 00:00:00,,,,,20.9,2011-01-06 00:00:00,1.1,0.8,2.0
2011-01-07,13.7,65,337.5,1.4,,11.4,2011-01-07 00:00:00,,,,,16.4,2011-01-07 00:00:00,0.0,0.7,0.0
2011-01-08,16.7,64,337.5,1.6,,12.9,2011-01-08 00:00:00,,,,,22.6,2011-01-08 00:00:00,7.2,1.7,0.0
2011-01-09,18.1,64,337.5,1.8,,14.9,2011-01-09 00:00:00,,,,,23.8,2011-01-09 00:00:00,6.3,2.1,0.0
2011-01-10,16.3,63,337.5,1.9,,12.9,2011-01-10 00:00:00,,,,,22.7,2011-01-10 00:00:00,4.5,1.9,0.0
2011-01-11,13.9,70,337.5,2.1,,10.4,2011-01-11 00:00:00,,,,,17.5,2011-01-11 00:00:00,0.2,0.0,6.0
2011-01-12,11.3,75,360.0,1.5,,9.9,2011-01-12 00:00:00,,,,,13.4,2011-01-12 00:00:00,0.0,0.0,3.5
2011-01-13,16.4,68,337.5,1.2,,11.0,2011-01-13 00:00:00,,,,,23.4,2011-01-13 00:00:00,4.7,1.4,0.0
2011-01-14,18.6,67,337.5,1.7,,14.6,2011-01-14 00:00:00,,,,,25.1,2011-01-14 00:00:00,6.5,1.7,1.5
2011-01-15,15.2,66,337.5,3.0,,11.0,2011-01-15 00:00:00,,,,,19.4,2011-01-15 00:00:00,7.4,2.2,0.0
2011-01-16,12.2,63,337.5,1.9,,9.5,2011-01-16 00:00:00,,,,,17.6,2011-01-16 00:00:00,6.2,1.6,0.0
2011-01-17,14.4,63,360.0,1.6,,10.3,2011-01-17 00:00:00,,,,,21.1,2011-01-17 00:00:00,9.7,2.6,0.0
2011-01-18,15.9,64,337.5,1.1,,10.5,2011-01-18 00:00:00,,,,,21.5,2011-01-18 00:00:00,4.5,1.4,0.0
2011-01-19,18.9,65,315.0,1.2,,14.5,2011-01-19 00:00:00,,,,,25.4,2011-01-19 00:00:00,8.8,2.0,0.0
2011-01-20,18.0,69,337.5,1.5,,16.0,2011-01-20 00:00:00,,,,,22.0,2011-01-20 00:00:00,0.4,0.6,0.0
2011-01-21,16.5,71,315.0,2.1,,13.6,2011-01-21 00:00:00,,,,,20.3,2011-01-21 00:00:00,1.9,0.3,3.0
2011-01-22,16.1,66,337.5,1.1,,13.3,2011-01-22 00:00:00,,,,,20.4,2011-01-22 00:00:00,2.6,1.0,0.0
2011-01-23,17.5,66,337.5,2.1,,13.9,2011-01-23 00:00:00,,,,,23.9,2011-01-23 00:00:00,10.0,2.6,0.0
2011-01-24,16.4,66,337.5,1.8,,13.2,2011-01-24 00:00:00,,,,,22.1,2011-01-24 00:00:00,7.7,2.4,0.0
2011-01-25,16.6,65,337.5,1.9,,12.0,2011-01-25 00:00:00,,,,,23.1,2011-01-25 00:00:00,8.9,1.8,0.0
2011-01-26,17.3,67,337.5,2.0,,13.6,2011-01-26 00:00:00,,,,,25.0,2011-01-26 00:00:00,9.6,2.0,0.0
2011-01-27,18.0,67,315.0,1.6,,13.5,2011-01-27 00:00:00,,,,,25.4,2011-01-27 00:00:00,9.6,2.3,0.0
2011-01-28,17.5,67,337.5,2.5,,14.7,2011-01-28 00:00:00,,,,,22.8,2011-01-28 00:00:00,7.6,2.0,0.0
2011-01-29,14.4,66,337.5,2.1,,11.8,2011-01-29 00:00:00,,,,,16.9,2011-01-29 00:00:00,0.6,0.9,0.0
2011-01-30,14.0,65,337.5,1.8,,11.3,2011-01-30 00:00:00,,,,,22.4,2011-01-30 00:00:00,5.0,1.4,0.0
2011-01-31,14.6,63,337.5,1.9,,10.9,2011-01-31 00:00:00,,,,,21.0,2011-01-31 00:00:00,8.7,2.2,0.0
2011-02-01,16.2,64,337.5,1.9,,10.9,2011-02-01 00:00:00,,,,,22.8,2011-02-01 00:00:00,9.7,1.9,0.0
2011-02-02,17.3,66,337.5,2.2,,13.1,2011-02-02 00:00:00,,,,,23.6,2011-02-02 00:00:00,10.0,2.3,0.0
2011-02-03,18.3,65,337.5,1.8,,12.4,2011-02-03 00:00:00,,,,,25.3,2011-02-03 00:00:00,9.8,2.2,0.0
2011-02-04,19.3,65,337.5,1.7,,14.1,2011-02-04 00:00:00,,,,,26.3,2011-02-04 00:00:00,10.0,2.2,0.0
2011-02-05,20.1,64,292.5,1.1,,13.6,2011-02-05 00:00:00,,,,,26.8,2011-02-05 00:00:00,10.4,2.4,0.0
2011-02-06,19.3,63,337.5,1.0,,14.1,2011-02-06 00:00:00,,,,,26.0,2011-02-06 00:00:00,10.4,2.7,0.0
2011-02-07,19.8,62,292.5,1.0,,13.5,2011-02-07 00:00:00,,,,,26.5,2011-02-07 00:00:00,10.2,2.6,0.0
2011-02-08,21.8,60,337.5,1.3,,17.6,2011-02-08 00:00:00,,,,,28.6,2011-02-08 00:00:00,7.0,2.3,0.0
2011-02-09,21.7,63,315.0,1.1,,15.4,2011-02-09 00:00:00,,,,,29.4,2011-02-09 00:00:00,10.2,3.3,0.0
2011-02-10,21.5,66,337.5,1.6,,17.3,2011-02-10 00:00:00,,,,,29.8,2011-02-10 00:00:00,8.1,2.5,0.0
2011-02-11,17.8,66,360.0,2.6,,13.4,2011-02-11 00:00:00,,,,,25.0,2011-02-11 00:00:00,8.3,2.5,0.0
