年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸
2019,新北市,番石榴,38469.0,37544.0,55.15,53.61,15.89,11131.37,596.75
2019,台北市,番石榴,2106.0,2106.0,3.35,3.35,14.37,9031.34,30.25
2019,桃園市,番石榴,17584.0,13838.0,29.05,22.84,15.78,9562.0,218.4
2019,台中市,番石榴,89075.0,87291.0,129.6,127.17,26.48,18175.94,2311.43
2019,台南市,番石榴,1198472.0,1196656.0,1499.21,1496.94,28.27,22596.2,33825.16
2019,高雄市,番石榴,2089619.0,2052118.0,2710.88,2661.62,31.63,24389.6,64915.85
2019,宜蘭縣,番石榴,120080.0,118580.0,210.14,207.17,38.48,22023.85,4562.68
2019,新竹縣,番石榴,12617.0,12497.0,19.17,18.94,26.65,17584.21,333.05
2019,苗栗縣,番石榴,27932.0,27786.0,44.27,44.07,29.58,18648.54,821.84
2019,彰化縣,番石榴,1103317.0,1075289.0,1299.91,1265.72,33.48,28444.3,36002.53
2019,南投縣,番石榴,122439.0,121480.0,177.95,176.5,36.61,25199.89,4447.78
2019,雲林縣,番石榴,207992.0,205634.0,303.96,300.68,33.99,23247.9,6990.18
2019,嘉義縣,番石榴,256658.0,243869.0,359.06,340.74,29.92,21413.07,7296.29
2019,屏東縣,番石榴,326565.0,316894.0,535.63,520.02,43.05,26235.37,13642.92
2019,台東縣,番石榴,68163.0,67673.0,107.72,107.02,25.84,16337.45,1748.43
2019,花蓮縣,番石榴,48571.0,42257.0,75.58,65.62,22.42,14437.09,947.36
2019,澎湖縣,番石榴,3381.0,3381.0,5.45,5.45,9.18,5697.61,31.05
2019,基隆市,番石榴,63.0,63.0,0.1,0.1,15.11,9520.0,0.95
2019,新竹市,番石榴,2059.0,2059.0,3.26,3.26,25.49,16098.77,52.48
2019,嘉義市,番石榴,8295.0,8295.0,11.16,11.16,29.72,22091.85,246.54
2019,金門縣,番石榴,1170.0,1170.0,1.17,1.17,13.33,13329.91,15.6
2019,連江縣,番石榴,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,新北市,番石榴,38419.0,37497.0,55.0,53.0,16.0,11229.0,600.0
2018,台北市,番石榴,2158.0,2158.0,3.0,3.0,14.0,8741.0,30.0
2018,桃園市,番石榴,13952.0,12175.0,23.0,20.0,14.0,8673.0,173.0
2018,台中市,番石榴,84803.0,84329.0,124.0,123.0,26.0,18115.0,2229.0
2018,台南市,番石榴,1172542.0,1167566.0,1467.0,1461.0,27.0,21965.0,32080.0
2018,高雄市,番石榴,2074005.0,2058371.0,2694.0,2674.0,33.0,25365.0,67829.0
2018,宜蘭縣,番石榴,123941.0,123057.0,215.0,214.0,37.0,21332.0,4557.0
2018,新竹縣,番石榴,11410.0,11095.0,17.0,17.0,26.0,17506.0,293.0
2018,苗栗縣,番石榴,26772.0,26772.0,43.0,43.0,26.0,16262.0,701.0
2018,彰化縣,番石榴,1068091.0,1038791.0,1258.0,1221.0,33.0,28431.0,34723.0
2018,南投縣,番石榴,119110.0,119110.0,173.0,173.0,34.0,23128.0,4000.0
2018,雲林縣,番石榴,155514.0,153908.0,295.0,293.0,41.0,21776.0,6385.0
2018,嘉義縣,番石榴,246789.0,230032.0,346.0,322.0,29.0,21022.0,6763.0
2018,屏東縣,番石榴,302560.0,294765.0,540.0,526.0,45.0,24950.0,13124.0
