日期,平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日射量(MJm2),累計雨量(mm)
2016-01-01,17.5,86,14.6,112.5,0.4,9999.0,1900-01-01 00:00:00,9.6,2016-01-01 06:00:00,60,2016-01-01 15:00:00,,,315.0,2.6,,25.5,2016-01-01 13:00:00,12.12,0.0
2016-01-02,16.9,93,15.6,67.5,0.5,9999.0,1900-01-01 00:00:00,8.6,2016-01-02 08:00:00,64,2016-01-02 13:00:00,,,45.0,2.8,,26.3,2016-01-02 13:00:00,6.26,1.0
2016-01-03,17.6,99,17.5,67.5,0.5,9999.0,1900-01-01 00:00:00,12.3,2016-01-03 14:00:00,99,2016-01-03 14:00:00,,,67.5,2.6,,22.1,2016-01-03 23:59:59,0.80,45.0
2016-01-04,20.3,98,20.0,67.5,0.4,9999.0,1900-01-01 00:00:00,13.8,2016-01-04 07:00:00,91,2016-01-04 14:00:00,,,45.0,2.0,,24.7,2016-01-04 10:00:00,2.80,14.0
2016-01-05,20.4,94,19.4,112.5,0.3,9999.0,1900-01-01 00:00:00,12.9,2016-01-05 03:00:00,75,2016-01-05 10:00:00,,,315.0,2.4,,27.1,2016-01-05 12:00:00,6.35,0.0
2016-01-06,18.7,94,17.7,112.5,0.5,9999.0,1900-01-01 00:00:00,14.1,2016-01-06 10:00:00,70,2016-01-06 14:00:00,,,337.5,3.5,,26.1,2016-01-06 14:00:00,5.17,29.0
2016-01-07,17.2,91,15.6,292.5,0.5,9999.0,1900-01-01 00:00:00,9.5,2016-01-07 01:00:00,67,2016-01-07 13:00:00,,,315.0,2.4,,24.2,2016-01-07 12:00:00,10.78,0.0
2016-01-08,16.0,92,14.6,202.5,0.5,9999.0,1900-01-01 00:00:00,8.9,2016-01-08 23:59:59,73,2016-01-08 16:00:00,,,67.5,2.4,,27.6,2016-01-08 17:00:00,5.00,5.0
2016-01-09,16.3,88,14.1,112.5,0.6,9999.0,1900-01-01 00:00:00,9.3,2016-01-09 04:00:00,62,2016-01-09 14:00:00,,,292.5,2.9,,23.0,2016-01-09 14:00:00,12.80,0.0
2016-01-10,17.3,84,14.3,112.5,0.5,9999.0,1900-01-01 00:00:00,9.2,2016-01-10 02:00:00,55,2016-01-10 13:00:00,,,315.0,2.2,,26.0,2016-01-10 13:00:00,10.39,0.0
2016-01-11,15.9,99,15.8,67.5,0.6,9999.0,1900-01-01 00:00:00,9.9,2016-01-11 18:00:00,97,2016-01-11 09:00:00,,,67.5,3.1,,19.8,2016-01-11 04:00:00,0.55,8.0
2016-01-12,15.7,97,15.2,247.5,0.4,9999.0,1900-01-01 00:00:00,9.1,2016-01-12 07:00:00,93,2016-01-12 17:00:00,,,292.5,2.4,,26.8,2016-01-12 11:00:00,4.10,1.0
2016-01-13,13.1,99,12.9,315.0,0.5,9999.0,1900-01-01 00:00:00,6.5,2016-01-13 23:59:59,99,2016-01-13 20:00:00,,,337.5,1.8,,19.2,2016-01-13 17:00:00,0.51,2.0
2016-01-14,13.7,95,13.0,90.0,0.4,9999.0,1900-01-01 00:00:00,5.9,2016-01-14 07:00:00,84,2016-01-14 16:00:00,,,45.0,3.2,,22.3,2016-01-14 23:00:00,4.49,0.0
2016-01-15,14.2,95,13.4,90.0,0.4,9999.0,1900-01-01 00:00:00,7.7,2016-01-15 03:00:00,81,2016-01-15 23:59:59,,,45.0,2.9,,19.8,2016-01-15 12:00:00,1.53,8.5
2016-01-16,17.5,87,15.1,90.0,0.6,9999.0,1900-01-01 00:00:00,10.2,2016-01-16 02:00:00,69,2016-01-16 15:00:00,,,315.0,2.7,,25.8,2016-01-16 23:00:00,11.72,1.0
2016-01-17,16.5,99,16.4,112.5,0.6,9999.0,1900-01-01 00:00:00,10.9,2016-01-17 14:00:00,98,2016-01-17 09:00:00,,,45.0,3.9,,19.6,2016-01-17 11:00:00,0.90,32.5
2016-01-18,14.3,93,13.0,315.0,0.6,9999.0,1900-01-01 00:00:00,7.1,2016-01-18 21:00:00,70,2016-01-18 16:00:00,,,315.0,2.1,,20.4,2016-01-18 17:00:00,8.34,0.0
2016-01-19,15.6,90,13.8,90.0,0.6,9999.0,1900-01-01 00:00:00,8.1,2016-01-19 07:00:00,73,2016-01-19 16:00:00,,,270.0,2.8,,22.7,2016-01-19 13:00:00,9.71,0.0
2016-01-20,15.4,91,13.8,292.5,0.9,9999.0,1900-01-01 00:00:00,10.0,2016-01-20 10:00:00,68,2016-01-20 15:00:00,,,45.0,3.4,,22.2,2016-01-20 23:59:59,10.74,0.0
2016-01-21,16.7,95,15.7,247.5,0.7,9999.0,1900-01-01 00:00:00,9.2,2016-01-21 23:00:00,74,2016-01-21 16:00:00,,,45.0,2.7,,23.7,2016-01-21 16:00:00,6.78,0.0
2016-01-22,15.8,96,15.1,315.0,0.9,9999.0,1900-01-01 00:00:00,11.7,2016-01-22 02:00:00,81,2016-01-22 14:00:00,,,67.5,2.9,,26.0,2016-01-22 18:00:00,6.31,4.0
