日期,平均地溫0cm(℃),平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間,最大十分鐘降水量(mm),最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,海平面氣壓(hPa),累積日射量(MJm2),累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2021-01-01,0,0,0,0,0,0,1020.0,17.3,49,6.5,70.0,8.7,1017.8,1021.9,2021-01-01 15:17:00,15.3,2021-01-01 00:35:00,43,2021-01-01 13:42:00,0.0,2021-01-01 00:00:00,0.0,2021-01-01 00:00:00,60.0,20.3,2021-01-01 08:41:00,19.9,2021-01-01 14:02:00,1022.0,16.90,8.7,0,0.0
2021-01-02,0,0,0,0,0,0,1018.2,19.2,54,9.8,70.0,8.6,1016.0,1019.9,2021-01-02 15:09:00,16.1,2021-01-02 03:46:00,45,2021-01-02 05:07:00,0.0,2021-01-02 00:00:00,0.0,2021-01-02 00:00:00,40.0,24.1,2021-01-02 00:01:00,21.8,2021-01-02 11:44:00,1020.2,18.32,9.3,0,0.0
2021-01-03,0,0,0,0,0,0,1017.8,21.2,57,12.4,70.0,8.4,1015.6,1020.0,2021-01-03 14:03:00,18.9,2021-01-03 01:36:00,46,2021-01-03 12:34:00,0.0,2021-01-03 00:00:00,0.0,2021-01-03 00:00:00,50.0,20.1,2021-01-03 07:56:00,24.1,2021-01-03 12:57:00,1019.8,18.11,9.2,0,0.0
2021-01-04,0,0,0,0,0,0,1016.8,22.1,57,12.9,60.0,3.3,1015.1,1018.3,2021-01-04 14:44:00,18.8,2021-01-04 23:58:00,42,2021-01-04 10:00:00,0.0,2021-01-04 00:00:00,0.0,2021-01-04 00:00:00,50.0,14.6,2021-01-04 00:01:00,25.2,2021-01-04 10:56:00,1018.8,17.74,9.2,0,0.0
2021-01-05,0,0,0,0,0,0,1015.5,20.8,72,15.5,70.0,4.2,1013.6,1017.5,2021-01-05 14:43:00,16.6,2021-01-05 03:58:00,53,2021-01-05 14:24:00,0.0,2021-01-05 00:00:00,0.0,2021-01-05 00:00:00,70.0,17.6,2021-01-05 08:40:00,24.8,2021-01-05 14:27:00,1017.5,17.19,8.9,0,0.0
2021-01-06,0,0,0,0,0,0,1014.6,21.2,59,13.0,70.0,9.4,1012.1,1016.7,2021-01-06 15:21:00,20.0,2021-01-06 02:24:00,50,2021-01-06 11:45:00,0.0,2021-01-06 00:00:00,0.0,2021-01-06 00:00:00,50.0,22.3,2021-01-06 08:36:00,23.3,2021-01-06 14:13:00,1016.7,17.82,8.8,0,0.0
2021-01-07,0,0,0,0,0,0,1014.8,19.2,62,11.8,60.0,12.0,1013.0,1016.6,2021-01-07 16:16:00,17.2,2021-01-07 21:54:00,55,2021-01-07 23:23:00,0.0,2021-01-07 00:00:00,0.0,2021-01-07 00:00:00,60.0,24.7,2021-01-07 23:25:00,20.7,2021-01-07 12:32:00,1016.8,7.80,7.0,0,0.0
2021-01-08,0,0,0,0,0,0,1017.7,16.0,58,7.8,70.0,11.5,1015.4,1019.3,2021-01-08 02:31:00,14.3,2021-01-08 23:53:00,51,2021-01-08 10:19:00,0.0,2021-01-08 00:00:00,0.0,2021-01-08 00:00:00,50.0,25.0,2021-01-08 20:10:00,18.2,2021-01-08 12:00:00,1019.8,13.22,6.6,0,0.0
2021-01-09,0,0,0,0,0,0,1018.4,14.2,58,6.1,70.0,12.8,1016.4,1020.4,2021-01-09 14:28:00,13.7,2021-01-09 06:20:00,53,2021-01-09 12:36:00,0.0,2021-01-09 00:00:00,0.0,2021-01-09 00:00:00,50.0,24.0,2021-01-09 09:01:00,15.2,2021-01-09 12:35:00,1020.4,6.93,5.7,0,0.0
2021-01-10,0,0,0,0,0,0,1018.6,16.3,51,6.3,70.0,11.7,1016.2,1020.3,2021-01-10 15:24:00,13.7,2021-01-10 00:01:00,45,2021-01-10 13:37:00,0.0,2021-01-10 00:00:00,0.0,2021-01-10 00:00:00,70.0,25.9,2021-01-10 08:17:00,19.4,2021-01-10 12:58:00,1020.7,18.17,8.9,0,0.0
