日期,平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日射量(MJm2),累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2014-01-01,20.7,18.1,18.5,19.6,17.5,1018.5,16.1,79,11.8,337.5,1.3,1016.4,1020.7,2014-01-01 15:00:00,10.0,2014-01-01 03:00:00,44,2014-01-01 12:00:00,,,337.5,6.5,2014-01-01 09:00:00,23.8,2014-01-01 14:00:00,9.49,8.1,2.0,0.0
2014-01-02,20.7,18.5,18.8,19.6,18.3,1016.8,18.2,80,14.2,337.5,1.5,1014.6,1019.0,2014-01-02 15:00:00,11.6,2014-01-02 04:00:00,49,2014-01-02 12:00:00,,,337.5,5.6,2014-01-02 09:00:00,25.7,2014-01-02 15:00:00,9.51,8.3,3.1,0.0
2014-01-03,20.7,19.7,19.7,19.9,20.0,1015.0,20.4,80,16.4,337.5,1.9,1012.6,1016.9,2014-01-03 15:00:00,16.5,2014-01-03 01:00:00,54,2014-01-03 14:00:00,,,337.5,6.2,2014-01-03 09:00:00,26.8,2014-01-03 13:00:00,7.35,4.5,4.3,3.0
2014-01-04,20.9,19.9,20.1,20.3,19.4,1016.0,17.6,70,11.8,360.0,2.8,1014.3,1018.0,2014-01-04 04:00:00,12.7,2014-01-04 23:59:59,50,2014-01-04 12:00:00,,,360.0,10.5,2014-01-04 22:00:00,22.7,2014-01-04 14:00:00,6.56,3.1,2.7,0.0
2014-01-05,21.0,18.9,19.4,20.3,18.1,1017.9,15.5,65,8.6,360.0,2.2,1016.0,1019.7,2014-01-05 14:00:00,11.2,2014-01-05 23:59:59,41,2014-01-05 14:00:00,,,360.0,8.1,2014-01-05 08:00:00,22.7,2014-01-05 14:00:00,8.59,6.5,4.1,0.0
2014-01-06,21.0,18.4,18.9,20.0,17.6,1018.3,15.2,78,11.2,360.0,1.6,1017.0,1019.6,2014-01-06 14:00:00,10.7,2014-01-06 03:00:00,51,2014-01-06 14:00:00,,,360.0,7.7,2014-01-06 09:00:00,21.7,2014-01-06 15:00:00,4.65,1.4,1.6,0.0
2014-01-07,20.8,18.7,19.0,19.8,18.4,1017.4,17.2,81,13.4,360.0,1.2,1015.9,1019.3,2014-01-07 14:00:00,12.3,2014-01-07 02:00:00,43,2014-01-07 13:00:00,,,315.0,7.9,2014-01-07 09:00:00,25.0,2014-01-07 14:00:00,8.64,6.5,3.3,0.0
2014-01-08,20.8,19.0,19.3,19.9,18.7,1017.8,18.1,78,13.8,360.0,2.3,1015.9,1019.3,2014-01-08 15:00:00,12.0,2014-01-08 07:00:00,47,2014-01-08 11:00:00,,,22.5,9.4,2014-01-08 10:00:00,25.5,2014-01-08 12:00:00,7.22,5.0,1.4,1.0
2014-01-09,20.8,18.7,19.2,20.0,18.0,1021.9,14.9,71,9.6,22.5,4.3,1019.6,1024.1,2014-01-09 02:00:00,13.1,2014-01-09 22:00:00,60,2014-01-09 12:00:00,,,22.5,13.0,2014-01-09 23:59:59,19.1,2014-01-09 14:00:00,8.15,5.2,5.6,0.0
2014-01-10,20.8,18.6,18.9,19.9,18.1,1023.6,15.6,77,11.3,360.0,2.4,1020.9,1025.9,2014-01-10 15:00:00,12.0,2014-01-10 23:59:59,57,2014-01-10 12:00:00,,,360.0,10.4,2014-01-10 09:00:00,21.8,2014-01-10 14:00:00,7.69,6.0,4.2,0.0
2014-01-11,20.7,18.5,18.9,19.8,18.0,1023.5,16.2,86,13.5,360.0,1.8,1021.4,1025.5,2014-01-11 15:00:00,10.9,2014-01-11 07:00:00,55,2014-01-11 12:00:00,,,360.0,8.2,2014-01-11 09:00:00,22.8,2014-01-11 13:00:00,9.33,7.7,2.3,0.0
2014-01-12,20.7,18.8,19.1,19.8,18.5,1022.8,17.1,81,13.7,360.0,3.5,1020.7,1024.5,2014-01-12 15:00:00,13.3,2014-01-12 03:00:00,60,2014-01-12 14:00:00,,,360.0,11.8,2014-01-12 09:00:00,22.4,2014-01-12 15:00:00,8.80,7.3,6.1,0.0
2014-01-13,20.6,18.7,19.1,19.8,18.2,1020.8,16.2,76,11.8,360.0,4.7,1018.5,1023.3,2014-01-13 14:00:00,14.2,2014-01-13 06:00:00,61,2014-01-13 14:00:00,,,360.0,13.6,2014-01-13 01:00:00,21.0,2014-01-13 14:00:00,8.32,6.2,3.3,0.0
2014-01-14,20.6,18.3,18.8,19.8,17.5,1020.6,14.8,77,10.8,22.5,4.7,1019.0,1022.4,2014-01-14 04:00:00,13.0,2014-01-14 22:00:00,65,2014-01-14 11:00:00,,,22.5,22.2,2014-01-14 23:59:59,18.0,2014-01-14 11:00:00,5.91,1.4,3.4,0.0
2014-01-15,20.6,17.8,18.3,19.5,17.1,1022.0,15.3,57,6.3,22.5,3.4,1019.7,1023.8,2014-01-15 13:00:00,11.9,2014-01-15 07:00:00,37,2014-01-15 12:00:00,,,22.5,11.1,2014-01-15 23:00:00,22.2,2014-01-15 14:00:00,10.53,8.5,4.3,0.0
2014-01-16,20.4,17.8,18.3,19.4,17.2,1022.6,15.0,69,8.8,337.5,1.7,1020.5,1024.5,2014-01-16 14:00:00,9.5,2014-01-16 05:00:00,45,2014-01-16 12:00:00,,,360.0,7.0,2014-01-16 09:00:00,22.2,2014-01-16 15:00:00,9.98,7.8,1.5,0.0
2014-01-17,20.4,17.6,18.2,19.4,16.9,1021.3,15.7,76,10.8,337.5,2.2,1019.2,1022.5,2014-01-17 14:00:00,9.8,2014-01-17 06:00:00,51,2014-01-17 13:00:00,,,360.0,10.5,2014-01-17 09:00:00,22.6,2014-01-17 14:00:00,9.91,8.0,5.5,0.0
2014-01-18,20.4,17.6,18.2,19.4,16.9,1021.3,15.7,76,10.8,337.5,2.2,1019.2,1022.5,2014-01-17 14:00:00,9.8,2014-01-17 06:00:00,51,2014-01-17 13:00:00,,,360.0,10.5,2014-01-17 09:00:00,22.6,2014-01-17 14:00:00,9.91,8.0,5.5,0.0
