日期,平均地溫0cm(℃),平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間,最大十分鐘降水量(mm),最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,海平面氣壓(hPa),累積日射量(MJm2),累積日照時數(hr),累計雨量(mm)
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,13.4,18.7,14.6,15.3,17.4,14.1,933.4,13.7,79,9.7,60.0,0.3,931.1,935.2,2020-01-03 14:46:00,9.2,2020-01-03 05:43:00,38,2020-01-03 13:44:00,0.0,2020-01-03 00:00:00,0.0,2020-01-03 00:00:00,100.0,3.7,2020-01-03 09:02:00,22.0,2020-01-03 13:28:00,1027.6,11.61,5.6,0.0
2020-01-04,14.4,18.6,14.5,14.9,17.0,14.3,931.8,14.6,83,11.5,50.0,0.3,929.5,933.4,2020-01-04 14:25:00,9.0,2020-01-04 06:47:00,52,2020-01-04 10:41:00,0.0,2020-01-04 00:00:00,0.0,2020-01-04 00:00:00,110.0,3.6,2020-01-04 09:12:00,20.9,2020-01-04 13:32:00,1025.8,11.59,6.5,0.0
2020-01-05,15.5,18.4,15.3,15.5,16.9,15.3,932.2,15.8,82,12.6,20.0,0.4,930.3,933.5,2020-01-05 14:22:00,10.7,2020-01-05 06:44:00,57,2020-01-05 11:57:00,0.0,2020-01-05 00:00:00,0.0,2020-01-05 00:00:00,100.0,4.0,2020-01-05 10:05:00,21.6,2020-01-05 13:55:00,1026.2,11.83,5.8,0.0
2020-01-06,15.8,18.3,15.7,15.9,16.9,15.6,931.4,15.8,80,12.0,30.0,0.3,929.5,933.2,2020-01-06 14:47:00,12.2,2020-01-06 05:49:00,48,2020-01-06 13:29:00,0.0,2020-01-06 00:00:00,0.0,2020-01-06 00:00:00,120.0,3.5,2020-01-06 00:03:00,22.2,2020-01-06 13:32:00,1025.3,11.39,6.1,0.0
2020-01-07,16.2,18.2,15.8,15.9,17.0,15.9,929.8,16.0,80,12.4,90.0,0.4,927.4,931.2,2020-01-07 15:31:00,11.7,2020-01-07 23:48:00,50,2020-01-07 10:12:00,0.0,2020-01-07 00:00:00,0.0,2020-01-07 00:00:00,90.0,4.3,2020-01-07 11:12:00,21.7,2020-01-07 14:00:00,1023.5,12.16,5.8,0.0
2020-01-08,14.6,18.2,15.0,15.4,16.9,14.7,930.0,15.3,75,10.6,150.0,0.4,927.7,931.4,2020-01-08 14:40:00,10.3,2020-01-08 05:04:00,41,2020-01-08 12:11:00,0.0,2020-01-08 00:00:00,0.0,2020-01-08 00:00:00,100.0,3.8,2020-01-08 05:40:00,23.2,2020-01-08 13:31:00,1023.8,12.39,5.7,0.0
2020-01-09,14.2,18.2,14.6,15.0,16.7,14.3,929.7,14.7,75,9.9,140.0,0.4,927.9,931.4,2020-01-09 15:37:00,9.9,2020-01-09 04:53:00,45,2020-01-09 12:44:00,0.0,2020-01-09 00:00:00,0.0,2020-01-09 00:00:00,80.0,3.4,2020-01-09 08:51:00,22.6,2020-01-09 13:49:00,1023.5,11.86,5.9,0.0
2020-01-10,14.6,18.1,14.5,14.9,16.6,14.5,928.3,15.1,78,10.9,110.0,0.4,926.7,930.1,2020-01-10 16:42:00,10.2,2020-01-10 06:23:00,46,2020-01-10 11:08:00,0.0,2020-01-10 00:00:00,0.0,2020-01-10 00:00:00,110.0,4.1,2020-01-10 07:17:00,21.9,2020-01-10 13:20:00,1021.9,11.30,6.6,0.0
