ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,639.3 ,3126.9 ,640.3 ,2010-01-01 22:03 ,638.1 ,2010-01-01 03:14 ,-2.9 ,-1.2 ,2010-01-01 14:52 ,-4.5 ,2010-01-01 07:09 ,-2.9 ,100 ,100 ,2010-01-01 00:01 ,5.1 ,280 ,17.9 ,300 ,2010-01-01 00:38 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,4.80 ,0.1 ,/ ,6 ,2010-01-01 13:00 ,... 
2,639.5 ,3126.8 ,640.7 ,2010-01-02 09:30 ,638.5 ,2010-01-02 14:16 ,-1.5 ,-0.3 ,2010-01-02 15:23 ,-3.3 ,2010-01-02 05:35 ,-1.5 ,100 ,100 ,2010-01-02 00:01 ,4.6 ,260 ,20.6 ,280 ,2010-01-02 20:54 ,0.9 ,3.3 ,0.2 ,2010-01-02 20:45 ,0.5 ,2010-01-02 22:01 ,0.0 ,0.0 ,3.54 ,1.8 ,/ ,4 ,2010-01-02 13:00 ,7.0 
3,637.2 ,3102.9 ,639.5 ,2010-01-03 00:11 ,636.2 ,2010-01-03 13:21 ,-4.7 ,-0.7 ,2010-01-03 00:38 ,-9.4 ,2010-01-03 19:01 ,-6.2 ,90 ,49 ,2010-01-03 23:35 ,4.6 ,280 ,22.6 ,280 ,2010-01-03 01:25 ,13.5 ,12.8 ,1.0 ,2010-01-03 05:29 ,2.5 ,2010-01-03 06:01 ,3.0 ,28.1 ,1.73 ,5.1 ,/ ,6 ,2010-01-03 15:00 ,2.7 
4,637.2 ,3110.1 ,638.1 ,2010-01-04 09:22 ,636.2 ,2010-01-04 01:44 ,-5.7 ,-1.9 ,2010-01-04 12:22 ,-8.7 ,2010-01-04 00:04 ,-15.7 ,46 ,32 ,2010-01-04 03:15 ,6.0 ,270 ,15.5 ,290 ,2010-01-04 22:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,99.9 ,13.36 ,28.3 ,/ ,11 ,2010-01-04 13:00 ,0.0 
5,638.2 ,3117.3 ,639.3 ,2010-01-05 09:13 ,637.1 ,2010-01-05 03:57 ,-3.7 ,-1.0 ,2010-01-05 14:51 ,-6.3 ,2010-01-05 04:16 ,-5.9 ,90 ,25 ,2010-01-05 03:08 ,7.3 ,270 ,20.6 ,280 ,2010-01-05 03:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.5 ,4.7 ,6.72 ,3.4 ,/ ,5 ,2010-01-05 12:00 ,0.0 
6,639.2 ,3125.1 ,640.3 ,2010-01-06 21:11 ,637.7 ,2010-01-06 03:57 ,-2.2 ,-0.4 ,2010-01-06 11:56 ,-4.2 ,2010-01-06 17:41 ,-2.2 ,100 ,99 ,2010-01-06 16:31 ,6.1 ,270 ,15.5 ,290 ,2010-01-06 00:33 ,1.0 ,1.9 ,0.5 ,2010-01-06 13:21 ,0.5 ,2010-01-06 13:10 ,0.0 ,0.0 ,4.30 ,0.1 ,/ ,5 ,2010-01-06 12:00 ,... 
7,639.3 ,3127.8 ,640.8 ,2010-01-07 09:09 ,638.3 ,2010-01-07 14:56 ,-3.2 ,-0.8 ,2010-01-07 12:14 ,-5.4 ,2010-01-07 17:36 ,-3.2 ,100 ,97 ,2010-01-07 14:21 ,3.7 ,270 ,10.7 ,280 ,2010-01-07 00:10 ,1.0 ,1.1 ,0.3 ,2010-01-07 04:35 ,0.5 ,2010-01-07 12:01 ,0.3 ,2.8 ,4.76 ,1.8 ,/ ,6 ,2010-01-07 12:00 ,8.0 
8,638.0 ,3115.0 ,639.4 ,2010-01-08 09:27 ,636.8 ,2010-01-08 15:02 ,-4.7 ,-1.4 ,2010-01-08 14:09 ,-10.2 ,2010-01-08 18:34 ,-7.2 ,86 ,34 ,2010-01-08 23:56 ,1.7 ,270 ,7.8 ,300 ,2010-01-08 23:41 ,4.0 ,8.5 ,0.5 ,2010-01-08 10:18 ,1.5 ,2010-01-08 10:01 ,1.5 ,14.0 ,0.36 ,6.7 ,/ ,5 ,2010-01-08 14:00 ,0.0 
9,640.0 ,3140.0 ,641.1 ,2010-01-09 09:26 ,638.5 ,2010-01-09 04:15 ,-3.1 ,1.1 ,2010-01-09 13:28 ,-6.7 ,2010-01-09 00:06 ,-16.7 ,35 ,25 ,2010-01-09 22:32 ,6.4 ,280 ,13.3 ,280 ,2010-01-09 17:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.9 ,99.9 ,15.12 ,30.0 ,/ ,12 ,2010-01-09 13:00 ,0.0 
10,639.7 ,3132.2 ,641.0 ,2010-01-10 00:03 ,638.3 ,2010-01-10 14:45 ,-3.1 ,-0.6 ,2010-01-10 11:12 ,-4.8 ,2010-01-10 01:03 ,-14.6 ,43 ,24 ,2010-01-10 00:18 ,6.4 ,250 ,16.3 ,290 ,2010-01-10 15:31 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.9 ,99.9 ,17.11 ,33.3 ,/ ,12 ,2010-01-10 13:00 ,0.0 
