日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/01/02,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0, -   ,"5,570", -   
100/01/07,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0, -   ,"11,140", -   
100/01/11,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0, -   ,"1,200", -   
100/01/13,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0, -   ,"7,270", -   
100/01/15,104 台北二  ,T1 西瓜 大西瓜 ,10.0,10.0,10.0,10.0, -   ,34, -   
100/01/25,104 台北二  ,T1 西瓜 大西瓜 ,5.0,5.0,5.0,5.0, -   ,60, -   
100/01/27,104 台北二  ,T1 西瓜 大西瓜 ,12.0,12.0,12.0,12.0, -   ,"5,330", -   
100/01/29,104 台北二  ,T1 西瓜 大西瓜 ,22.0,16.3,7.7,15.7, -   ,"1,390", -   
100/01/31,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0, -   ,"6,080", -   
100/02/08,104 台北二  ,T1 西瓜 大西瓜 ,12.0,12.0,12.0,12.0, -   ,"5,390", -   
100/02/15,104 台北二  ,T1 西瓜 大西瓜 ,12.0,12.0,12.0,12.0, -   ,"10,690", -   
100/02/16,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0, + 42,"1,550", - 86
100/03/01,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0,  -  ,"5,290",  -  
100/03/03,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0,  -  ,"5,550",  -  
100/03/08,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0,  -  ,"10,790",  -  
100/03/09,104 台北二  ,T1 西瓜 大西瓜 ,22.0,17.0,12.0,17.0,    0,"1,240", - 89
100/03/15,104 台北二  ,T1 西瓜 大西瓜 ,20.5,15.2,10.0,15.2,  -  ,"24,500",  -  
100/03/18,104 台北二  ,T1 西瓜 大西瓜 ,20.0,15.0,10.0,15.0,  -  ,"10,950",  -  
100/03/24,104 台北二  ,T1 西瓜 大西瓜 ,10.0,10.0,10.0,10.0,  -  ,"4,930",  -  
100/03/30,104 台北二  ,T1 西瓜 大西瓜 ,20.0,15.0,10.0,15.0,  -  ,"1,210",  -  
100/04/01,104 台北二  ,T1 西瓜 大西瓜 ,20.0,15.0,10.0,15.0,  -  ,"1,740",  -  
100/04/08,104 台北二  ,T1 西瓜 大西瓜 ,20.0,15.0,10.0,15.0,  -  ,"1,960",  -  
100/04/10,104 台北二  ,T1 西瓜 大西瓜 ,20.0,10.8,10.0,12.5,  -  ,"4,810",  -  
100/04/12,104 台北二  ,T1 西瓜 大西瓜 ,20.0,12.2,10.0,13.4, +  7,"7,905", + 64
100/04/13,104 台北二  ,T1 西瓜 大西瓜 ,20.0,15.0,10.0,15.0, + 12,"11,250", + 42
100/04/14,104 台北二  ,T1 西瓜 大西瓜 ,20.0,15.0,10.0,15.0,    0,"6,070", - 46
100/04/15,104 台北二  ,T1 西瓜 大西瓜 ,9.0,9.0,9.0,9.0, - 40,618, - 90
100/04/16,104 台北二  ,T1 西瓜 大西瓜 ,8.7,6.4,5.0,6.6, - 27,907, + 47
100/04/17,104 台北二  ,T1 西瓜 大西瓜 ,9.7,7.1,7.0,7.6, + 15,564, - 38
