2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,16.2
6,/,/,/,/,/,/,/,/,/,/,/,18.2
7,/,/,/,/,/,/,/,/,/,/,/,17.5
8,/,/,/,/,/,/,/,/,/,/,/,16.4
9,/,/,/,/,/,/,/,/,/,/,/,16.6
10,/,/,/,/,/,/,/,/,/,/,/,16.9
11,/,/,/,/,/,/,/,/,/,/,/,16.9
12,/,/,/,/,/,/,/,/,/,/,/,14.2
13,/,/,/,/,/,/,/,/,/,/,/,14.9
14,/,/,/,/,/,/,/,/,/,/,/,16.6
15,/,/,/,/,/,/,/,/,/,/,/,17.3
16,/,/,/,/,/,/,/,/,/,/,/,18.2
17,/,/,/,/,/,/,/,/,/,/,/,12.2
18,/,/,/,/,/,/,/,/,/,/,/,10.7
19,/,/,/,/,/,/,/,/,/,/,/,15.8
20,/,/,/,/,/,/,/,/,/,/,/,14.6
21,/,/,/,/,/,/,/,/,/,/,/,17.3
22,/,/,/,/,/,/,/,/,/,/,/,19.4
23,/,/,/,/,/,/,/,/,/,/,/,19.6
24,/,/,/,/,/,/,/,/,/,/,/,16.4
25,/,/,/,/,/,/,/,/,/,/,/,18.3
26,/,/,/,/,/,/,/,/,/,/,/,19.0
27,/,/,/,/,/,/,/,/,/,/,/,16.1
28,/,/,/,/,/,/,/,/,/,/,/,13.2
29,/,,/,/,/,/,/,/,/,/,/,11.2
30,/,,/,/,/,/,/,/,/,/,/,12.9
31,/,,/,,/,,/,/,,/,,14.6
平均,/,/,/,/,/,/,/,/,/,/,/,16
