2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,955.5
6,/,/,/,/,/,/,/,/,/,/,/,955.8
7,/,/,/,/,/,/,/,/,/,/,/,957.2
8,/,/,/,/,/,/,/,/,/,/,/,958.8
9,/,/,/,/,/,/,/,/,/,/,/,957.8
10,/,/,/,/,/,/,/,/,/,/,/,956.6
11,/,/,/,/,/,/,/,/,/,/,/,956.7
12,/,/,/,/,/,/,/,/,/,/,/,1018.0
13,/,/,/,/,/,/,/,/,/,/,/,1020.6
14,/,/,/,/,/,/,/,/,/,/,/,1020.4
15,/,/,/,/,/,/,/,/,/,/,/,1018.9
16,/,/,/,/,/,/,/,/,/,/,/,1016.8
17,/,/,/,/,/,/,/,/,/,/,/,1017.8
18,/,/,/,/,/,/,/,/,/,/,/,1018.5
19,/,/,/,/,/,/,/,/,/,/,/,1017.6
20,/,/,/,/,/,/,/,/,/,/,/,1014.0
21,/,/,/,/,/,/,/,/,/,/,/,1014.7
22,/,/,/,/,/,/,/,/,/,/,/,1014.4
23,/,/,/,/,/,/,/,/,/,/,/,1013.8
24,/,/,/,/,/,/,/,/,/,/,/,1013.1
25,/,/,/,/,/,/,/,/,/,/,/,1011.4
26,/,/,/,/,/,/,/,/,/,/,/,1010.2
27,/,/,/,/,/,/,/,/,/,/,/,1012.3
28,/,/,/,/,/,/,/,/,/,/,/,1016.2
29,/,,/,/,/,/,/,/,/,/,/,1020.4
30,/,,/,/,/,/,/,/,/,/,/,1020.3
31,/,,/,,/,,/,/,,/,,1021.3
平均,/,/,/,/,/,/,/,/,/,/,/,1001.1
