2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,44
6,/,/,/,/,/,/,/,/,/,/,/,53
7,/,/,/,/,/,/,/,/,/,/,/,58
8,/,/,/,/,/,/,/,/,/,/,/,57
9,/,/,/,/,/,/,/,/,/,/,/,46
10,/,/,/,/,/,/,/,/,/,/,/,59
11,/,/,/,/,/,/,/,/,/,/,/,61
12,/,/,/,/,/,/,/,/,/,/,/,70
13,/,/,/,/,/,/,/,/,/,/,/,68
14,/,/,/,/,/,/,/,/,/,/,/,71
15,/,/,/,/,/,/,/,/,/,/,/,74
16,/,/,/,/,/,/,/,/,/,/,/,71
17,/,/,/,/,/,/,/,/,/,/,/,47
18,/,/,/,/,/,/,/,/,/,/,/,42
19,/,/,/,/,/,/,/,/,/,/,/,63
20,/,/,/,/,/,/,/,/,/,/,/,36
21,/,/,/,/,/,/,/,/,/,/,/,60
22,/,/,/,/,/,/,/,/,/,/,/,79
23,/,/,/,/,/,/,/,/,/,/,/,83
24,/,/,/,/,/,/,/,/,/,/,/,72
25,/,/,/,/,/,/,/,/,/,/,/,77
26,/,/,/,/,/,/,/,/,/,/,/,85
27,/,/,/,/,/,/,/,/,/,/,/,70
28,/,/,/,/,/,/,/,/,/,/,/,69
29,/,,/,/,/,/,/,/,/,/,/,65
30,/,,/,/,/,/,/,/,/,/,/,61
31,/,,/,,/,,/,/,,/,,74
平均,/,/,/,/,/,/,/,/,/,/,/,63.5
