2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,22.7,21.7,23.1,23.7,26.2,26.6,27.2,27.4,27.5,27.0,26.2,24.4
2,/,21.8,23.1,23.7,26.4,26.6,27.3,27.4,27.6,27.0,26.2,24.4
3,23.2,21.8,23.2,/,26.3,26.7,27.4,27.4,27.6,27.0,26.2,24.3
4,23.1,21.8,23.3,23.7,26.2,26.7,27.4,27.4,27.7,27.0,26.2,24.1
5,23.1,21.9,23.3,23.8,26.0,26.8,27.2,27.5,27.7,27.1,26.2,23.9
6,22.9,22.0,23.3,23.9,25.9,26.8,27.1,27.5,27.7,27.1,26.1,23.7
7,23.1,22.0,23.2,23.9,25.8,26.8,27.0,27.6,27.7,27.1,26.0,23.4
8,23.1,22.1,23.2,24.1,25.6,26.9,27.0,27.6,27.7,27.1,26.0,23.1
9,23.1,/,/,24.2,25.4,27.0,27.0,27.7,27.7,27.1,25.9,22.7
10,23.1,22.3,22.7,24.3,25.3,27.1,27.1,27.7,27.7,27.1,25.7,/
11,23.1,22.4,22.6,24.5,25.3,27.1,27.1,27.7,27.7,27.2,25.6,/
12,23.1,22.4,22.6,24.7,/,27.1,27.1,27.7,27.7,27.2,25.4,22.1
13,23.1,/,22.5,24.9,25.4,27.0,27.0,27.8,27.7,27.1,25.3,22.0
14,23.1,22.5,22.5,25.0,25.6,27.0,27.0,27.6,27.7,27.1,25.2,22.0
15,23.1,22.6,22.5,25.1,25.8,26.9,27.1,27.7,27.7,27.1,25.2,21.9
16,23.1,22.6,22.6,/,26.0,26.9,27.2,27.7,27.7,27.1,25.1,21.9
17,23.1,22.7,22.5,25.2,26.1,26.8,27.2,27.7,27.7,27.0,25.1,21.9
18,22.9,22.8,/,25.1,26.3,26.8,27.3,/,27.7,26.9,25.0,22.0
19,22.8,22.8,/,25.0,26.5,26.9,27.4,27.5,27.7,26.8,25.0,22.0
20,22.6,22.9,22.6,/,26.7,27.0,27.5,27.4,27.6,26.7,25.0,22.1
21,22.5,23.0,22.8,25.0,26.9,27.1,27.4,27.3,27.5,26.6,24.9,22.1
22,22.4,23.2,22.9,25.1,26.9,27.2,27.3,27.2,27.3,26.5,24.8,22.1
23,22.3,23.3,23.2,25.2,26.8,27.3,27.2,27.2,27.2,26.4,24.8,22.1
24,22.2,23.3,23.3,25.3,26.7,27.4,27.2,27.3,27.1,26.4,24.7,22.1
25,22.0,23.3,23.2,25.5,26.7,27.4,27.2,27.3,27.0,26.4,24.7,22.1
26,21.9,23.1,23.0,25.7,26.6,27.3,27.2,27.3,27.0,26.4,24.7,22.1
27,21.9,23.1,23.0,25.8,26.6,27.2,27.3,27.3,26.9,26.4,24.7,22.1
28,21.8,23.0,23.0,26.0,26.7,27.2,27.3,27.3,26.9,26.3,24.7,22.1
29,21.7,,23.1,26.0,26.6,27.1,27.3,27.4,26.9,26.3,24.6,22.0
30,21.7,,23.4,26.1,26.6,27.1,27.3,27.4,26.9,26.3,24.6,21.9
31,21.6,,23.6,,26.6,,/,27.5,,26.3,,21.7
平均,22.6,22.6,23,24.8,26.2,27,27.2,27.5,27.5,26.8,25.3,22.6
