2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1023.1,1019.5,1016.2,1008.7,1012.7,1007.6,1008.4,,,,,
2,1021.2,1019.4,1017.4,1010.4,1014.3,1008.4,1008.7,,,,,
3,1021.2,1021.2,1019.8,1011.6,1013.8,1007.0,1008.2,,,,,
4,1019.7,1021.2,1018.6,1013.2,1011.9,1004.4,1008.4,,,,,
5,1018.2,1019.4,1016.7,1016.2,1013.3,1004.5,1007.5,,,,,
6,1017.5,1017.7,1016.8,1016.7,1014.7,1005.8,1007.4,,,,,
7,1018.5,1017.7,1017.9,1015.4,1013.1,1009.6,,,,,,
8,1021.9,1018.3,1019.2,1013.8,1010.4,1010.1,,,,,,
9,1022.1,1018.1,1019.4,1015.9,1009.9,1008.7,,,,,,
10,1021.5,1013.6,1019.7,1018.1,1009.7,1007.2,,,,,,
11,1021.7,1010.8,1019.8,1018.4,1009.7,1008.1,,,,,,
12,1020.7,1013.7,1018.5,1016.3,1009.6,1010.6,,,,,,
13,1018.5,1015.0,1017.8,1014.2,1009.9,1010.2,,,,,,
14,1017.3,1014.4,1016.2,1013.6,1010.2,1007.5,,,,,,
15,1015.7,1014.8,1015.0,1013.0,1009.9,1005.8,,,,,,
16,1016.2,1015.7,1013.6,1013.4,1010.3,1007.8,,,,,,
17,1020.6,1018.4,1013.2,1014.1,1010.7,1009.0,,,,,,
18,1021.0,1022.7,1013.3,1013.3,1010.6,1007.7,,,,,,
19,1019.4,1022.6,1012.6,1012.4,1009.2,1005.6,,,,,,
20,1017.8,1020.2,1011.3,1011.9,1009.8,1003.9,,,,,,
21,1014.7,1018.1,1015.0,1010.7,1009.3,1004.2,,,,,,
22,1011.2,1016.1,1020.8,1006.9,1008.4,1006.1,,,,,,
23,1012.9,1014.5,1019.4,1007.2,1009.1,1007.3,,,,,,
24,1016.6,1013.4,1016.3,1009.9,1010.3,1007.4,,,,,,
25,1017.2,1011.0,1016.3,1011.6,1010.6,1007.4,,,,,,
26,1016.5,1009.9,1015.2,1014.0,1010.1,1009.0,,,,,,
27,1016.9,1013.6,1012.1,1015.5,1010.0,1008.1,,,,,,
28,1019.3,1015.7,1009.4,1015.0,1009.9,1007.1,,,,,,
29,1020.9,,1008.5,1012.5,1008.1,1007.7,,,,,,
30,1022.3,,1007.6,1012.4,1005.8,1008.4,,,,,,
31,1021.9,,1008.0,,1005.8,,,,,,,
平均,1018.8,1016.7,1015.5,1013.2,1010.4,1007.4,1008.1, , , , , 
