2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,225.0,112.5,112.5,112.5,112.5,292.5,/,/,112.5,112.5,292.5,135.0
2,90.0,225.0,112.5,112.5,292.5,292.5,/,/,112.5,112.5,112.5,22.5
3,112.5,67.5,292.5,112.5,292.5,180.0,/,/,112.5,112.5,112.5,270.0
4,315.0,112.5,112.5,292.5,90.0,202.5,/,/,112.5,112.5,180.0,135.0
5,67.5,112.5,180.0,112.5,315.0,180.0,/,/,112.5,180.0,180.0,90.0
6,315.0,112.5,180.0,292.5,112.5,180.0,/,/,180.0,180.0,135.0,315.0
7,292.5,270.0,315.0,67.5,292.5,112.5,/,/,180.0,180.0,157.5,270.0
8,225.0,292.5,112.5,112.5,180.0,112.5,/,/,180.0,202.5,112.5,135.0
9,112.5,292.5,292.5,112.5,315.0,112.5,/,/,112.5,112.5,112.5,135.0
10,112.5,292.5,270.0,315.0,67.5,225.0,/,/,180.0,180.0,157.5,135.0
11,315.0,292.5,292.5,292.5,225.0,225.0,/,67.5,180.0,112.5,180.0,135.0
12,67.5,292.5,292.5,315.0,315.0,225.0,/,112.5,112.5,112.5,112.5,135.0
13,90.0,112.5,292.5,180.0,157.5,67.5,/,180.0,292.5,112.5,22.5,135.0
14,292.5,112.5,112.5,292.5,157.5,67.5,/,112.5,315.0,112.5,202.5,135.0
15,315.0,292.5,112.5,292.5,315.0,270.0,/,90.0,315.0,112.5,225.0,135.0
16,112.5,292.5,112.5,180.0,90.0,67.5,/,180.0,270.0,112.5,225.0,135.0
17,67.5,315.0,292.5,292.5,67.5,180.0,/,112.5,112.5,90.0,292.5,135.0
18,112.5,292.5,315.0,67.5,67.5,90.0,/,180.0,112.5,315.0,67.5,135.0
19,112.5,292.5,292.5,112.5,315.0,/,/,112.5,112.5,112.5,247.5,135.0
20,112.5,112.5,315.0,67.5,67.5,/,/,112.5,112.5,180.0,225.0,135.0
21,315.0,90.0,315.0,67.5,315.0,/,/,180.0,112.5,180.0,112.5,/
22,315.0,112.5,112.5,112.5,112.5,/,/,112.5,112.5,112.5,112.5,/
23,315.0,112.5,112.5,112.5,180.0,/,/,180.0,180.0,112.5,247.5,/
24,292.5,292.5,315.0,157.5,180.0,/,/,180.0,112.5,112.5,337.5,315.0
25,292.5,292.5,67.5,112.5,315.0,/,/,180.0,180.0,180.0,22.5,135.0
26,112.5,315.0,157.5,90.0,180.0,/,/,157.5,112.5,112.5,/,135.0
27,112.5,315.0,180.0,90.0,90.0,/,/,112.5,112.5,90.0,/,337.5
28,112.5,90.0,157.5,112.5,67.5,/,/,180.0,202.5,112.5,/,135.0
29,112.5,112.5,112.5,112.5,112.5,/,/,112.5,202.5,247.5,/,315.0
30,247.5,,112.5,112.5,112.5,/,/,180.0,180.0,90.0,135.0,315.0
31,315.0,,112.5,,315.0,,/,180.0,,202.5,,90.0
平均,193.8,207.9,198.9,160.5,188,171.3,/,143.6,161.3,142.3,166.2,170.4
