2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.6,/,0.9,0.8,0.7,0.9,0.9,0.7,1.3,0.0,0.9,0.9
2,0.9,/,0.7,1.0,0.5,1.0,1.0,0.7,0.6,0.0,0.6,1.0
3,0.8,0.7,0.7,1.0,0.5,0.9,1.1,0.9,0.8,0.0,0.7,1.0
4,0.7,0.7,0.8,0.9,0.7,0.7,0.9,0.9,0.8,0.0,0.7,1.1
5,0.8,0.9,0.9,1.2,0.7,0.7,1.3,0.8,0.9,0.0,0.5,1.0
6,0.8,/,0.9,0.8,0.7,0.8,1.0,0.8,0.7,0.0,0.7,1.2
7,0.8,/,1.0,0.6,0.8,0.9,1.2,0.8,0.7,0.0,0.7,0.9
8,0.5,1.0,1.1,0.8,0.6,1.2,1.2,0.8,0.7,0.0,0.8,0.8
9,0.7,1.0,1.0,1.1,0.6,1.1,1.1,0.9,0.8,0.0,0.6,0.9
10,0.6,/,1.2,0.7,1.1,0.8,0.9,0.8,0.9,0.0,0.8,0.8
11,0.6,0.9,0.8,/,0.9,0.9,1.0,1.0,0.6,0.0,0.6,0.7
12,0.9,0.9,0.8,/,0.7,0.8,1.2,0.9,0.9,0.0,0.8,0.6
13,1.1,0.8,1.0,/,0.8,0.8,3.5,0.6,0.8,0.0,0.8,0.7
14,0.9,0.8,0.9,/,0.8,0.8,1.0,1.0,0.8,0.0,0.8,0.9
15,0.9,0.8,0.8,/,0.9,0.8,0.8,0.7,0.8,0.0,0.8,0.7
16,0.9,0.8,0.9,/,0.7,0.8,0.8,0.7,0.6,0.0,0.9,1.0
17,1.0,0.8,0.9,/,0.8,0.6,0.9,0.5,0.9,0.0,0.8,0.9
18,0.8,0.8,0.9,0.9,1.1,0.8,0.9,0.6,0.3,0.0,0.9,1.0
19,0.9,0.8,0.7,0.6,1.1,0.7,0.8,0.7,/,0.0,0.8,0.8
20,0.9,0.8,0.8,0.6,1.2,0.6,0.7,0.4,/,0.0,0.7,1.0
21,0.9,0.8,0.6,0.4,1.2,0.6,0.7,1.4,0.0,0.0,0.7,0.8
22,0.8,1.1,0.7,0.6,1.1,0.7,0.8,1.7,0.0,0.0,0.8,0.7
23,0.8,0.8,0.9,0.9,0.8,1.1,1.0,0.9,0.0,0.0,0.9,0.9
24,0.7,0.9,0.7,0.7,0.9,1.4,1.0,0.9,0.0,0.0,0.9,1.0
25,0.6,0.8,0.7,0.9,0.9,0.8,1.0,0.8,0.0,0.0,0.8,0.9
26,0.7,0.8,1.0,0.7,0.9,1.1,0.9,0.7,0.0,0.0,0.7,1.0
27,0.7,0.8,1.1,0.5,1.3,1.1,0.8,0.7,0.0,0.0,0.9,0.7
28,0.9,0.8,0.9,0.8,0.8,1.0,1.0,0.4,0.0,0.0,0.8,0.7
29,1.1,,1.0,0.8,0.9,0.8,0.9,1.2,0.0,0.3,0.9,0.6
30,1.0,,0.9,1.1,0.9,0.9,1.2,0.7,0.0,0.8,0.8,0.8
31,1.2,,0.7,,1.0,,1.1,0.9,,0.8,,0.8
平均,0.8,0.8,0.9,0.8,0.9,0.9,1.1,0.8,0.5,0.1,0.8,0.9
