2016年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,14.6,13.7,10.2,19.6,20.4,24.0,23.6,24.2,/,/,20.1,18.6
2,15.6,11.0,11.7,20.2,21.8,24.9,23.8,24.1,/,/,18.0,18.0
3,17.5,12.5,11.1,20.8,22.1,25.0,23.2,24.2,/,/,18.0,18.3
4,20.0,14.5,13.0,20.0,22.5,24.5,23.3,25.0,/,/,18.7,19.3
5,19.4,12.6,15.2,20.0,22.5,23.7,23.7,24.5,/,/,17.9,20.0
6,17.7,7.2,16.3,20.6,22.8,23.1,24.4,24.8,/,/,18.3,17.0
7,15.6,5.7,17.1,21.0,23.0,23.4,24.5,25.2,/,/,17.9,18.1
8,14.6,2.8,19.3,20.9,23.2,23.0,23.5,24.7,/,/,18.2,17.8
9,14.1,6.0,17.7,20.5,23.5,23.0,24.0,24.6,/,/,17.6,17.0
10,14.3,8.4,12.4,19.7,22.4,24.0,23.9,23.8,8.9,/,18.5,15.2
11,15.8,12.6,10.6,20.0,22.3,23.3,23.6,24.9,/,23.1,19.4,/
12,15.2,17.8,14.7,20.3,21.7,23.2,23.3,24.4,/,22.4,20.0,/
13,12.9,14.1,16.7,19.9,22.3,23.3,24.0,24.2,/,21.9,20.0,13.7
14,13.0,15.5,13.6,21.1,22.4,23.4,24.2,24.7,/,21.4,20.6,13.9
15,13.4,9.6,13.7,21.5,22.6,23.7,23.9,24.7,/,22.2,19.8,12.8
16,15.1,10.5,16.0,20.7,22.0,23.9,24.3,24.3,/,22.0,19.5,12.0
17,16.4,12.7,18.2,21.6,20.5,23.9,24.1,23.7,/,22.0,19.1,13.4
18,13.0,14.6,20.4,20.1,21.6,24.4,22.9,23.3,/,23.3,20.1,13.7
19,13.8,15.3,21.1,20.5,21.5,23.5,22.7,24.0,/,23.4,17.8,14.3
20,13.8,12.9,18.3,21.2,22.0,22.3,23.3,/,/,22.9,19.4,15.3
21,15.7,14.0,16.7,22.7,23.0,22.7,24.0,/,/,23.0,20.9,17.6
22,15.1,15.8,18.3,21.5,22.8,24.5,23.8,/,/,23.5,21.4,18.1
23,9.3,15.5,17.7,21.0,23.4,24.1,22.9,/,/,23.3,19.8,16.7
24,3.3,12.6,12.3,20.7,24.3,23.4,23.4,/,/,23.0,18.2,16.7
25,3.8,14.3,10.3,21.4,24.0,24.0,23.3,/,/,23.1,19.1,16.9
26,7.2,14.1,10.9,22.6,24.0,24.6,23.6,/,/,23.4,19.3,16.0
27,12.1,14.0,9.6,22.6,23.6,23.6,23.5,/,/,22.5,17.1,13.5
28,15.7,14.5,7.6,22.0,23.8,24.7,23.9,/,/,22.0,17.6,12.3
29,16.0,11.9,9.0,19.5,24.4,24.4,23.6,/,/,21.6,18.0,13.2
30,15.9,,14.3,18.8,24.2,23.7,23.9,/,/,21.1,19.1,15.3
31,15.1,,19.1,,24.8,,24.6,/,,21.0,,15.8
平均,14,12.3,14.6,20.8,22.8,23.8,23.7,24.4,8.9,22.5,19,15.9
