2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,16.4,14.1,19.0,23.5,25.2,28.6,26.1,28.8,/,24.5,/,/
2,16.6,14.0,20.8,22.8,25.8,31.7,23.7,28.5,/,/,/,/
3,17.1,12.2,22.0,22.6,26.1,31.4,24.6,27.3,/,/,/,/
4,/,10.9,22.1,22.2,25.0,/,25.4,27.6,28.3,/,/,/
5,/,9.5,22.0,22.7,25.2,/,25.7,/,/,24.0,/,/
6,17.7,10.6,20.3,22.1,26.0,/,25.3,/,/,23.2,/,/
7,17.9,11.5,20.0,18.0,26.5,/,26.9,29.5,25.8,23.8,/,/
8,/,12.9,17.5,19.2,25.3,/,25.3,/,/,25.6,/,/
9,/,15.4,14.8,20.5,24.0,28.4,27.0,/,24.8,/,/,/
10,/,16.8,16.1,21.4,24.7,/,25.9,28.3,/,/,/,/
11,12.3,15.0,17.1,/,25.4,27.8,25.2,27.6,/,/,/,/
12,10.6,14.3,17.8,/,25.2,27.8,26.9,28.4,26.9,23.9,/,/
13,10.7,14.9,18.5,25.0,25.5,/,26.9,28.3,/,/,/,/
14,10.9,15.8,19.0,26.1,25.5,/,25.4,/,/,/,/,/
15,/,17.0,19.4,24.4,26.2,/,/,/,/,/,/,/
16,13.7,18.9,20.4,22.8,26.5,26.7,27.2,29.0,26.7,/,/,/
17,17.0,19.0,21.1,21.5,27.2,26.4,/,26.7,/,/,/,/
18,18.6,19.1,21.0,22.5,27.3,/,25.4,27.5,/,/,/,/
19,18.9,19.3,21.2,22.6,27.2,/,/,26.9,27.6,24.2,/,/
20,18.9,19.3,21.3,23.0,27.7,/,/,26.6,28.1,23.6,/,/
21,19.2,19.9,18.3,23.7,27.5,26.2,/,26.0,/,/,/,/
22,19.3,17.3,17.1,24.3,27.9,/,28.4,/,/,/,/,/
23,18.2,17.4,17.5,24.1,28.2,28.3,/,23.9,/,/,/,/
24,16.9,18.4,18.1,23.7,28.2,/,/,/,/,/,/,/
25,17.1,/,19.2,23.6,28.3,/,/,24.7,26.4,/,/,20.8
26,17.3,18.9,20.1,24.0,32.8,28.5,/,/,25.4,25.1,/,20.7
27,16.5,18.3,20.5,23.8,/,27.1,27.6,/,/,/,/,19.8
28,17.3,18.5,20.7,24.1,27.2,25.7,/,/,/,/,/,18.2
29,15.3,,21.7,24.3,30.8,27.2,/,25.3,24.4,/,/,16.6
30,14.3,,22.0,24.7,/,26.3,/,26.1,/,/,/,20.6
31,15.9,,/,,/,,/,/,,/,,20.6
平均,16.2,15.9,19.6,23,26.7,27.9,26.1,27.2,26.4,24.2,/,19.6
