2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,12.0,8.5,13.3,16.9,19.8,22.6,22.1,23.4,22.7,19.6,17.5,15.3
2,12.5,9.3,16.8,17.2,20.3,22.2,21.4,23.3,21.0,18.1,18.1,14.3
3,12.5,6.9,17.9,18.0,20.5,21.9,21.5,22.5,20.3,17.5,18.7,14.8
4,/,6.2,19.7,16.6,20.3,21.6,22.2,21.4,21.6,18.5,18.9,15.3
5,/,4.9,19.1,17.9,20.6,21.6,22.3,20.9,23.3,18.8,18.7,17.7
6,14.7,5.4,15.2,14.1,20.6,21.6,22.4,21.6,22.5,19.6,18.4,19.2
7,15.6,7.0,16.0,11.7,21.6,21.9,21.7,23.3,21.9,19.4,18.7,17.1
8,/,10.3,9.1,12.6,20.2,20.5,20.3,/,21.4,19.4,16.9,15.0
9,/,12.3,8.3,11.9,20.6,21.4,22.1,22.8,21.4,19.9,17.8,15.9
10,/,13.3,8.0,13.4,20.4,23.1,21.9,21.9,21.3,20.7,18.1,15.6
11,5.8,9.8,10.4,/,20.3,23.0,22.5,22.3,22.4,19.3,18.1,16.3
12,4.6,9.5,10.3,/,20.0,22.8,23.1,23.3,22.2,18.7,17.5,13.8
13,4.6,9.5,12.2,18.8,20.5,21.5,21.9,22.6,22.4,/,16.1,/
14,6.7,10.9,14.4,20.4,19.9,23.3,21.0,22.2,22.3,19.0,16.5,/
15,/,12.5,14.6,16.1,20.8,23.3,22.2,/,23.0,19.1,17.2,/
16,10.5,15.6,16.4,16.1,21.4,22.4,23.5,22.9,22.4,20.7,19.1,/
17,15.1,14.1,16.1,16.5,21.5,22.9,23.7,23.1,22.3,19.2,20.0,11.8
18,16.7,14.2,15.2,17.1,21.1,/,22.5,23.0,23.2,18.9,19.3,11.6
19,16.7,14.1,16.1,17.6,21.0,21.9,21.9,22.4,21.9,18.8,17.0,12.5
20,16.5,14.3,15.2,17.7,21.8,21.9,22.5,21.7,21.9,18.0,/,12.8
21,16.2,15.2,10.3,18.9,21.8,22.3,23.0,21.4,21.3,18.1,/,13.4
22,15.5,12.3,8.9,19.9,21.7,21.9,22.9,22.9,22.4,19.0,15.4,14.6
23,13.4,11.5,10.1,18.8,22.2,21.9,22.7,21.3,21.3,19.1,14.5,17.3
24,12.3,14.9,11.7,19.2,22.7,22.1,22.0,21.3,20.4,18.4,13.1,15.2
25,12.7,/,12.5,19.6,22.2,21.8,21.5,22.1,21.3,18.8,15.1,16.8
26,12.1,13.1,14.1,19.5,21.9,21.6,22.3,22.6,20.5,18.5,16.0,18.0
27,11.4,13.5,14.1,19.1,21.0,20.2,22.0,22.2,20.3,16.5,16.9,13.9
28,13.5,14.6,13.4,19.6,22.5,19.9,22.1,21.8,20.7,15.0,17.4,12.2
29,9.7,,15.6,20.4,21.9,21.6,22.3,21.1,19.5,14.2,16.4,10.9
30,9.2,,15.5,20.1,22.0,21.8,23.5,21.7,18.2,15.2,15.5,10.6
31,10.9,,/,,22.2,,23.3,21.1,,17.7,,13.3
平均,12.1,11.2,13.7,17.3,21.1,21.9,22.3,22.2,21.6,18.5,17.2,14.6
