2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,21.4,20.9,25.3,19.5,23.5,29.1,30.5,30.1,32.1,30.1,28.8,27.0
2,19.6,22.3,25.2,23.0,22.1,31.4,30.8,30.1,32.2,31.8,27.2,21.8
3,22.2,28.9,26.0,25.3,22.3,29.3,28.5,32.0,30.9,31.3,28.1,20.3
4,25.0,23.4,25.0,26.1,27.3,29.2,32.4,32.6,28.9,29.9,26.2,18.9
5,26.3,22.4,24.5,25.7,25.6,30.5,30.2,32.0,29.3,29.3,26.1,14.6
6,/,26.3,26.2,27.2,21.6,31.4,29.7,31.3,30.1,29.4,26.9,15.1
7,26.2,28.3,16.6,26.0,20.8,31.9,32.7,31.2,31.0,29.7,27.4,15.8
8,/,24.7,20.9,28.4,23.9,30.4,32.3,32.7,31.3,30.3,27.1,20.7
9,24.1,24.9,21.1,30.4,24.9,32.3,31.4,28.8,31.1,29.3,26.7,20.3
10,26.8,24.2,22.5,29.9,26.4,29.8,31.8,31.5,30.1,29.5,25.0,23.6
11,26.1,25.1,17.7,28.3,30.0,25.2,31.1,28.8,31.7,28.5,25.1,23.0
12,25.9,27.5,24.2,25.6,30.5,23.5,31.4,27.7,30.7,29.0,26.9,22.7
13,26.0,27.0,24.7,25.8,29.9,29.7,32.2,30.4,31.0,29.4,26.3,23.3
14,26.0,27.0,25.5,29.0,29.6,25.4,31.5,31.5,31.1,28.1,23.8,25.1
15,25.4,27.6,20.7,24.4,29.5,30.8,32.5,29.5,30.2,27.9,25.8,25.6
16,17.3,27.2,22.6,20.2,28.9,30.6,31.3,27.8,29.7,26.9,24.6,25.6
17,16.6,24.7,24.5,27.4,/,30.9,33.8,29.6,29.9,/,28.3,26.4
18,22.1,25.1,25.0,27.0,25.3,32.4,/,/,30.5,28.8,27.6,25.5
19,22.1,26.8,29.2,27.8,29.0,32.4,30.4,/,30.8,26.7,21.9,/
20,22.2,27.8,25.2,28.2,29.5,32.5,29.3,/,25.2,26.3,22.2,20.8
21,16.0,24.6,30.1,27.1,23.9,33.2,30.1,28.3,24.5,26.2,26.1,23.5
22,14.5,26.8,27.4,29.3,26.0,31.4,30.6,31.7,28.6,27.5,27.6,24.6
23,21.2,19.8,18.4,30.4,27.6,29.7,/,/,29.1,27.2,27.4,23.5
24,22.8,18.9,17.6,30.3,28.8,26.9,32.4,29.0,27.4,29.1,28.6,24.4
25,24.6,24.9,20.5,29.4,27.6,29.6,31.4,29.6,30.0,27.3,28.2,26.4
26,21.4,25.9,26.0,30.0,29.2,28.9,32.3,30.8,29.8,27.6,25.6,25.8
27,20.0,25.2,27.8,28.9,27.8,30.3,30.9,31.4,30.1,28.4,28.4,20.4
28,21.8,26.5,29.0,/,27.6,32.7,30.9,33.7,30.0,29.2,24.2,20.6
29,24.4,,26.4,29.5,27.5,31.7,32.6,30.8,30.1,25.5,/,18.6
30,23.6,,25.7,30.4,28.9,31.8,33.2,30.3,27.4,28.7,25.2,21.0
31,28.2,,27.7,,29.6,,33.0,31.0,,26.4,,18.6
平均,22.8,25.2,24.2,27.3,26.8,30.2,31.4,30.5,29.8,28.5,26.3,22.1
