2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,975.5,972.9,970.5,963.7,967.4,963.2,963.8,,,,,
2,974.0,972.7,971.2,965.3,968.9,964.0,964.2,,,,,
3,974.4,974.3,973.0,966.4,968.5,962.7,963.7,,,,,
4,973.0,974.3,972.5,967.6,966.9,960.1,964.3,,,,,
5,971.6,972.7,970.7,970.2,968.2,959.9,963.2,,,,,
6,970.7,971.4,971.0,970.5,969.7,961.1,962.5,,,,,
7,971.4,971.3,971.7,969.5,968.0,965.0,967.3,,,,,
8,974.0,971.8,972.6,968.0,965.5,965.7,,,,,,
9,974.0,971.2,972.9,969.7,965.1,964.2,,,,,,
10,973.7,967.3,973.2,971.7,964.8,962.8,,,,,,
11,974.4,965.0,973.3,972.3,964.8,963.5,,,,,,
12,973.1,967.2,972.4,970.5,965.0,966.2,,,,,,
13,971.4,968.6,971.4,968.8,965.2,965.8,,,,,,
14,970.3,968.1,969.8,968.0,965.7,963.0,,,,,,
15,969.1,968.2,969.0,967.2,965.3,961.3,,,,,,
16,969.4,969.5,968.1,967.7,965.5,963.3,,,,,,
17,973.3,971.7,968.0,968.5,966.0,964.3,,,,,,
18,973.5,975.4,967.7,967.7,965.9,963.1,,,,,,
19,972.3,975.3,967.0,966.6,964.7,961.2,,,,,,
20,971.1,973.3,965.9,966.3,965.1,959.8,,,,,,
21,968.8,971.6,968.8,965.3,964.8,960.0,,,,,,
22,965.3,970.1,973.7,962.6,964.0,961.1,,,,,,
23,966.7,968.2,972.6,962.0,964.6,962.4,,,,,,
24,970.0,967.1,970.3,964.6,965.8,962.5,,,,,,
25,970.9,965.1,969.8,966.6,965.9,962.5,,,,,,
26,969.9,964.2,969.3,967.9,965.5,964.1,,,,,,
27,970.2,967.4,966.6,969.8,965.5,963.3,,,,,,
28,972.6,969.5,964.3,969.4,965.2,962.3,,,,,,
29,973.4,,963.2,967.0,963.4,963.1,,,,,,
30,975.1,,962.6,966.7,961.2,963.6,,,,,,
31,975.1,,962.9,,961.3,,,,,,,
平均,971.9,970.2,969.5,967.6,965.6,962.8,964.1, , , , , 
