2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 13:54:00,2021-02-01 14:40:00,2021-03-01 14:14:00,2021-04-01 12:52:00,2021-05-01 13:45:00,2021-06-01 08:35:00,2021-07-01 10:37:00,,,,,
2,2021-01-02 12:44:00,2021-02-02 10:02:00,2021-03-02 15:24:00,2021-04-02 14:15:00,2021-05-02 12:58:00,2021-06-02 10:15:00,2021-07-02 11:20:00,,,,,
3,2021-01-03 13:18:00,2021-02-03 11:29:00,2021-03-03 11:34:00,2021-04-03 12:12:00,2021-05-03 11:03:00,2021-06-03 11:46:00,2021-07-03 10:45:00,,,,,
4,2021-01-04 12:44:00,2021-02-04 12:24:00,2021-03-04 12:14:00,2021-04-04 12:02:00,2021-05-04 10:56:00,2021-06-04 11:52:00,2021-07-04 13:00:00,,,,,
5,2021-01-05 12:48:00,2021-02-05 13:18:00,2021-03-05 11:38:00,2021-04-05 13:55:00,2021-05-05 11:37:00,2021-06-05 13:13:00,2021-07-05 17:33:00,,,,,
6,2021-01-06 11:00:00,2021-02-06 13:43:00,2021-03-06 12:11:00,2021-04-06 14:05:00,2021-05-06 12:14:00,2021-06-06 13:13:00,2021-07-06 11:40:00,,,,,
7,2021-01-07 18:11:00,2021-02-07 13:33:00,2021-03-07 15:25:00,2021-04-07 11:13:00,2021-05-07 14:31:00,2021-06-07 10:54:00,,,,,,
8,2021-01-08 23:40:00,2021-02-08 14:21:00,2021-03-08 16:00:00,2021-04-08 14:16:00,2021-05-08 12:22:00,2021-06-08 11:28:00,,,,,,
9,2021-01-09 18:02:00,2021-02-09 13:54:00,2021-03-09 14:30:00,2021-04-09 16:18:00,2021-05-09 13:23:00,2021-06-09 10:02:00,,,,,,
10,2021-01-10 13:59:00,2021-02-10 14:54:00,2021-03-10 13:52:00,2021-04-10 14:35:00,2021-05-10 12:00:00,2021-06-10 11:47:00,,,,,,
11,2021-01-11 13:50:00,2021-02-11 11:44:00,2021-03-11 13:36:00,2021-04-11 14:27:00,2021-05-11 12:44:00,2021-06-11 11:24:00,,,,,,
12,2021-01-12 14:31:00,2021-02-12 14:27:00,2021-03-12 10:45:00,2021-04-12 13:16:00,2021-05-12 09:00:00,2021-06-12 11:36:00,,,,,,
13,2021-01-13 14:01:00,2021-02-13 13:22:00,2021-03-13 15:14:00,2021-04-13 11:26:00,2021-05-13 09:44:00,2021-06-13 12:04:00,,,,,,
14,2021-01-14 15:27:00,2021-02-14 14:13:00,2021-03-14 14:33:00,2021-04-14 14:52:00,2021-05-14 11:15:00,2021-06-14 13:35:00,,,,,,
15,2021-01-15 13:02:00,2021-02-15 11:24:00,2021-03-15 12:40:00,2021-04-15 15:01:00,2021-05-15 12:13:00,2021-06-15 12:30:00,,,,,,
16,2021-01-16 12:11:00,2021-02-16 10:26:00,2021-03-16 10:43:00,2021-04-16 11:57:00,2021-05-16 12:48:00,2021-06-16 17:21:00,,,,,,
17,2021-01-17 13:37:00,2021-02-17 15:40:00,2021-03-17 11:36:00,2021-04-17 15:51:00,2021-05-17 12:31:00,2021-06-17 14:07:00,,,,,,
18,2021-01-18 15:32:00,2021-02-18 16:21:00,2021-03-18 12:23:00,2021-04-18 09:55:00,2021-05-18 10:40:00,2021-06-18 11:37:00,,,,,,
19,2021-01-19 13:30:00,2021-02-19 11:10:00,2021-03-19 12:00:00,2021-04-19 15:19:00,2021-05-19 13:10:00,2021-06-19 09:51:00,,,,,,
20,2021-01-20 13:39:00,2021-02-20 12:27:00,2021-03-20 13:31:00,2021-04-20 16:11:00,2021-05-20 11:23:00,2021-06-20 06:20:00,,,,,,
21,2021-01-21 14:06:00,2021-02-21 14:57:00,2021-03-21 15:42:00,2021-04-21 12:26:00,2021-05-21 10:27:00,2021-06-21 17:46:00,,,,,,
22,2021-01-22 11:24:00,2021-02-22 13:58:00,2021-03-22 05:02:00,2021-04-22 11:08:00,2021-05-22 10:50:00,2021-06-22 10:47:00,,,,,,
23,2021-01-23 15:58:00,2021-02-23 12:03:00,2021-03-23 16:54:00,2021-04-23 17:05:00,2021-05-23 13:02:00,2021-06-23 10:32:00,,,,,,
24,2021-01-24 11:50:00,2021-02-24 13:16:00,2021-03-24 15:02:00,2021-04-24 14:38:00,2021-05-24 12:16:00,2021-06-24 13:18:00,,,,,,
25,2021-01-25 13:41:00,2021-02-25 12:12:00,2021-03-25 14:26:00,2021-04-25 14:57:00,2021-05-25 10:33:00,2021-06-25 08:32:00,,,,,,
26,2021-01-26 09:09:00,2021-02-26 11:48:00,2021-03-26 13:16:00,2021-04-26 11:47:00,2021-05-26 09:58:00,2021-06-26 13:06:00,,,,,,
27,2021-01-27 13:22:00,2021-02-27 14:25:00,2021-03-27 10:48:00,2021-04-27 10:40:00,2021-05-27 11:45:00,2021-06-27 10:18:00,,,,,,
28,2021-01-28 12:04:00,2021-02-28 13:05:00,2021-03-28 11:16:00,2021-04-28 11:12:00,2021-05-28 11:40:00,2021-06-28 15:19:00,,,,,,
29,2021-01-29 16:04:00,,2021-03-29 13:21:00,2021-04-29 05:54:00,2021-05-29 10:54:00,2021-06-29 17:05:00,,,,,,
30,2021-01-30 13:53:00,,2021-03-30 11:26:00,2021-04-30 13:48:00,2021-05-30 04:07:00,2021-06-30 16:42:00,,,,,,
31,2021-01-31 15:01:00,,2021-03-31 12:42:00,,2021-05-31 13:34:00,,,,,,,
平均, , , , , , , , , , , , 
