2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,79
6,/,/,/,/,/,/,/,/,/,/,/,82
7,/,/,/,/,/,/,/,/,/,/,/,74
8,/,/,/,/,/,/,/,/,/,/,/,74
9,/,/,/,/,/,/,/,/,/,/,/,76
10,/,/,/,/,/,/,/,/,/,/,/,82
11,/,/,/,/,/,/,/,/,/,/,/,82
12,/,/,/,/,/,/,/,/,/,/,/,73
13,/,/,/,/,/,/,/,/,/,/,/,73
14,/,/,/,/,/,/,/,/,/,/,/,76
15,/,/,/,/,/,/,/,/,/,/,/,77
16,/,/,/,/,/,/,/,/,/,/,/,77
17,/,/,/,/,/,/,/,/,/,/,/,58
18,/,/,/,/,/,/,/,/,/,/,/,54
19,/,/,/,/,/,/,/,/,/,/,/,76
20,/,/,/,/,/,/,/,/,/,/,/,69
21,/,/,/,/,/,/,/,/,/,/,/,79
22,/,/,/,/,/,/,/,/,/,/,/,84
23,/,/,/,/,/,/,/,/,/,/,/,85
24,/,/,/,/,/,/,/,/,/,/,/,76
25,/,/,/,/,/,/,/,/,/,/,/,83
26,/,/,/,/,/,/,/,/,/,/,/,85
27,/,/,/,/,/,/,/,/,/,/,/,74
28,/,/,/,/,/,/,/,/,/,/,/,69
29,/,,/,/,/,/,/,/,/,/,/,68
30,/,,/,/,/,/,/,/,/,/,/,70
31,/,,/,,/,,/,/,,/,,77
平均,/,/,/,/,/,/,/,/,/,/,/,75.3
