2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,1018.2,1014.6,1016.8,1005.4,1005.3,999.7,1004.6,1005.5,1007.5,1011.1,1013.8
2,/,1015.2,1010.2,1014.5,1007.4,1005.1,999.5,1002.6,1005.1,1009.0,1010.1,1015.6
3,1020.1,1014.6,1007.5,1014.1,1010.2,1006.5,1005.1,1000.2,1002.5,1009.5,1010.0,1016.4
4,1019.4,1015.4,1011.3,1012.5,1010.2,1006.7,1006.4,999.8,1002.9,1009.0,1009.5,1017.2
5,1017.3,1013.2,1009.5,1010.2,1007.0,1008.1,1003.1,/,1000.1,1010.4,1007.6,1017.7
6,1017.4,1011.7,1010.6,1010.1,1006.3,1008.5,1002.1,998.4,998.8,1011.9,1007.3,1016.9
7,1017.4,1011.4,1013.2,1010.2,1006.5,1008.2,1003.6,994.7,/,1012.7,1008.1,1017.2
8,1016.0,1013.2,1013.3,1010.1,1006.2,1005.9,1005.2,990.0,1002.3,1011.8,1011.0,1018.6
9,1017.8,1015.4,1007.7,1007.9,1005.0,1004.3,1002.3,988.7,1003.6,1010.4,1012.4,1016.8
10,1016.9,1018.5,1009.7,1007.7,1006.7,1003.0,1002.7,992.3,1006.5,1009.4,1010.5,/
11,1015.3,1020.9,1010.7,1008.3,1007.7,1002.1,1006.3,998.9,1008.0,1007.8,1012.2,/
12,1015.5,1020.1,1012.9,1011.1,/,/,1005.8,999.8,1005.2,1009.0,1013.4,1016.2
13,1015.0,1017.7,1015.4,1012.0,1007.6,1000.6,1004.1,999.2,1004.5,1010.7,1014.4,1019.5
14,1014.3,1017.8,1015.3,1011.2,1007.1,999.3,1003.1,999.2,1004.3,1012.9,1013.3,1017.7
15,1014.8,1016.7,1016.3,1010.9,/,1002.1,1002.8,998.8,1004.0,1014.0,1012.6,1016.8
16,1015.5,1015.7,1015.7,1009.8,1004.9,1004.3,1001.4,1000.9,1003.9,1013.3,1012.4,1014.0
17,1016.9,1015.1,1015.6,1008.7,1004.1,1007.6,992.8,1003.4,1004.5,1012.1,1011.0,1014.6
18,1017.6,1012.2,1013.4,1008.9,1003.5,1007.9,994.1,1003.3,1005.3,1012.5,1010.8,1015.1
19,1016.8,1014.8,1011.8,1005.7,/,1005.8,994.7,1003.0,1004.5,1013.1,1012.1,1016.8
20,1015.7,1017.2,1009.6,1005.7,1005.4,1005.2,1003.3,1002.8,1002.0,1011.8,1013.2,1014.6
21,1016.7,1014.9,1008.7,1006.7,1007.1,1004.5,1005.2,1002.7,1001.0,1009.8,1011.9,1013.8
22,1017.6,1014.2,1010.8,1006.9,1007.6,1002.9,1004.7,1003.8,1006.3,1008.7,1011.5,1011.9
23,1016.8,1012.8,1013.7,1006.6,1008.8,1002.8,1004.5,1000.6,1012.0,1009.2,1012.7,1013.4
24,1016.6,1013.2,1015.1,1007.5,1009.3,1004.7,1005.4,984.8,1013.2,1011.4,1013.8,1014.9
25,1017.6,1013.5,1013.7,1007.0,1008.2,1005.9,1006.0,998.7,1013.4,1012.9,1015.4,1011.7
26,1018.8,1014.3,1015.6,1007.7,1006.8,1001.6,1003.9,1006.4,1013.2,1013.2,1015.9,1011.4
27,1019.9,1011.7,1013.5,1009.6,1006.9,1000.5,1003.9,1006.3,1012.1,1011.1,1014.7,1014.8
28,1018.3,1012.5,1008.0,1010.4,1007.0,1000.6,1004.7,1003.0,1010.0,1010.9,1016.4,1015.7
29,1018.3,,1007.8,1007.5,1007.5,1000.6,1005.2,1004.6,1005.9,1011.9,1017.6,1015.3
30,1017.3,,1010.6,1004.6,1007.2,1000.8,1003.7,1006.0,996.9,1012.5,1015.9,1016.6
31,1015.4,,1013.9,,1006.2,,1003.6,1004.4,,1012.4,,1020.0
平均,1017,1015.1,1012.1,1009.4,1006.9,1004.2,1002.9,1000.1,1005.4,1011.1,1012.3,1015.7
