2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,64,69,68,67,66,60,67,62,59,61,53
2,/,65,62,58,64,62,61,60,58,55,58,51
3,73,57,59,66,63,54,78,60,64,61,65,46
4,75,68,62,69,58,74,60,66,65,58,59,52
5,60,58,63,61,58,62,65,/,63,60,58,64
6,70,62,56,64,83,68,66,57,63,61,51,72
7,68,27,76,61,70,65,62,59,/,63,56,56
8,74,60,74,63,72,60,60,64,56,58,52,46
9,69,64,81,65,71,59,69,57,59,56,50,43
10,77,63,62,66,68,60,78,75,51,50,48,/
11,71,63,63,59,67,81,69,73,60,54,44,/
12,69,66,45,59,/,/,66,71,59,59,46,48
13,69,63,48,60,52,66,59,74,62,55,59,57
14,62,61,55,59,65,68,65,62,51,53,53,50
15,71,66,30,56,/,51,61,75,55,47,50,55
16,80,61,48,80,72,51,60,70,59,52,54,56
17,72,64,55,60,69,61,57,71,55,51,51,47
18,56,67,61,59,76,60,60,71,52,46,64,66
19,57,65,55,60,/,65,62,72,51,58,61,70
20,69,62,65,60,76,67,72,65,51,50,54,66
21,71,68,71,63,56,65,59,70,45,51,55,68
22,59,72,66,63,52,58,67,60,45,47,67,61
23,51,61,68,66,70,66,62,63,50,48,67,64
24,56,74,70,70,61,74,64,48,51,53,60,68
25,60,67,77,61,63,59,58,69,48,51,60,59
26,58,59,59,57,56,76,62,66,49,52,55,49
27,55,57,55,67,72,69,59,67,60,53,62,57
28,52,70,67,66,73,63,57,59,60,59,61,62
29,59,,67,56,64,67,54,62,62,66,50,83
30,50,,64,64,61,66,55,63,56,59,60,74
31,48,,59,,61,,60,62,,65,,69
平均,64.2,62.6,61.7,62.9,65.7,64.2,62.8,65.3,55.9,55.2,56.4,59
