2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 14:57:00,2021-02-01 16:27:00,2021-03-01 14:03:00,2021-04-01 12:18:00,2021-05-01 11:47:00,2021-06-01 10:28:00,2021-07-01 11:56:00,,,,,
2,2021-01-02 12:52:00,2021-02-02 12:48:00,2021-03-02 00:02:00,2021-04-02 13:00:00,2021-05-02 10:55:00,2021-06-02 10:00:00,2021-07-02 12:19:00,,,,,
3,2021-01-03 13:49:00,2021-02-03 12:37:00,2021-03-03 11:29:00,2021-04-03 11:31:00,2021-05-03 14:22:00,2021-06-03 11:09:00,2021-07-03 11:09:00,,,,,
4,2021-01-04 09:55:00,2021-02-04 13:24:00,2021-03-04 12:58:00,2021-04-04 12:27:00,2021-05-04 14:34:00,2021-06-04 10:29:00,2021-07-04 13:27:00,,,,,
5,2021-01-05 11:29:00,2021-02-05 13:58:00,2021-03-05 11:19:00,2021-04-05 14:28:00,2021-05-05 13:06:00,2021-06-05 13:55:00,2021-07-05 12:35:00,,,,,
6,2021-01-06 12:49:00,2021-02-06 10:43:00,2021-03-06 14:07:00,2021-04-06 10:57:00,2021-05-06 14:46:00,2021-06-06 12:34:00,2021-07-06 15:28:00,,,,,
7,2021-01-07 13:02:00,2021-02-07 12:18:00,2021-03-07 12:05:00,2021-04-07 13:57:00,2021-05-07 14:58:00,2021-06-07 17:07:00,,,,,,
8,2021-01-08 00:01:00,2021-02-08 12:53:00,2021-03-08 13:09:00,2021-04-08 13:32:00,2021-05-08 12:41:00,2021-06-08 12:28:00,,,,,,
9,2021-01-09 12:10:00,2021-02-09 13:23:00,2021-03-09 11:16:00,2021-04-09 11:58:00,2021-05-09 12:01:00,2021-06-09 13:27:00,,,,,,
10,2021-01-10 13:38:00,2021-02-10 13:05:00,2021-03-10 12:53:00,2021-04-10 12:42:00,2021-05-10 10:58:00,2021-06-10 13:35:00,,,,,,
11,2021-01-11 12:50:00,2021-02-11 12:27:00,2021-03-11 13:40:00,2021-04-11 11:57:00,2021-05-11 10:11:00,2021-06-11 13:14:00,,,,,,
12,2021-01-12 13:59:00,2021-02-12 12:27:00,2021-03-12 10:55:00,2021-04-12 13:27:00,2021-05-12 13:58:00,2021-06-12 11:39:00,,,,,,
13,2021-01-13 11:54:00,2021-02-13 13:59:00,2021-03-13 12:47:00,2021-04-13 14:46:00,2021-05-13 14:00:00,2021-06-13 11:46:00,,,,,,
14,2021-01-14 12:40:00,2021-02-14 12:43:00,2021-03-14 12:40:00,2021-04-14 12:41:00,2021-05-14 11:01:00,2021-06-14 11:16:00,,,,,,
15,2021-01-15 13:14:00,2021-02-15 13:53:00,2021-03-15 16:52:00,2021-04-15 12:53:00,2021-05-15 13:23:00,2021-06-15 15:01:00,,,,,,
16,2021-01-16 11:45:00,2021-02-16 10:00:00,2021-03-16 14:37:00,2021-04-16 12:18:00,2021-05-16 12:08:00,2021-06-16 15:38:00,,,,,,
17,2021-01-17 11:09:00,2021-02-17 13:22:00,2021-03-17 14:42:00,2021-04-17 13:52:00,2021-05-17 10:58:00,2021-06-17 12:01:00,,,,,,
18,2021-01-18 13:06:00,2021-02-18 11:40:00,2021-03-18 14:21:00,2021-04-18 11:26:00,2021-05-18 12:05:00,2021-06-18 11:57:00,,,,,,
19,2021-01-19 14:54:00,2021-02-19 13:26:00,2021-03-19 12:52:00,2021-04-19 13:11:00,2021-05-19 10:32:00,2021-06-19 14:26:00,,,,,,
20,2021-01-20 11:37:00,2021-02-20 13:06:00,2021-03-20 09:53:00,2021-04-20 15:05:00,2021-05-20 11:25:00,2021-06-20 16:35:00,,,,,,
21,2021-01-21 12:43:00,2021-02-21 15:18:00,2021-03-21 11:56:00,2021-04-21 13:12:00,2021-05-21 11:23:00,2021-06-21 10:35:00,,,,,,
22,2021-01-22 11:00:00,2021-02-22 15:33:00,2021-03-22 13:34:00,2021-04-22 14:00:00,2021-05-22 11:06:00,2021-06-22 08:30:00,,,,,,
23,2021-01-23 15:39:00,2021-02-23 11:50:00,2021-03-23 13:01:00,2021-04-23 12:03:00,2021-05-23 10:11:00,2021-06-23 17:09:00,,,,,,
24,2021-01-24 11:01:00,2021-02-24 12:29:00,2021-03-24 17:05:00,2021-04-24 13:40:00,2021-05-24 10:48:00,2021-06-24 12:50:00,,,,,,
25,2021-01-25 12:52:00,2021-02-25 14:19:00,2021-03-25 13:42:00,2021-04-25 09:56:00,2021-05-25 13:03:00,2021-06-25 14:02:00,,,,,,
26,2021-01-26 14:24:00,2021-02-26 11:23:00,2021-03-26 13:00:00,2021-04-26 09:51:00,2021-05-26 09:45:00,2021-06-26 15:42:00,,,,,,
27,2021-01-27 12:05:00,2021-02-27 13:36:00,2021-03-27 16:09:00,2021-04-27 10:33:00,2021-05-27 12:53:00,2021-06-27 13:35:00,,,,,,
28,2021-01-28 10:39:00,2021-02-28 15:39:00,2021-03-28 11:41:00,2021-04-28 10:56:00,2021-05-28 12:43:00,2021-06-28 14:34:00,,,,,,
29,2021-01-29 13:03:00,,2021-03-29 11:39:00,2021-04-29 01:23:00,2021-05-29 09:45:00,2021-06-29 12:48:00,,,,,,
30,2021-01-30 13:20:00,,2021-03-30 12:55:00,2021-04-30 15:48:00,2021-05-30 03:48:00,2021-06-30 13:58:00,,,,,,
31,2021-01-31 16:39:00,,2021-03-31 11:49:00,,2021-05-31 14:38:00,,,,,,,
平均, , , , , , , , , , , , 
