2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,1013.8
6,/,/,/,/,/,/,/,/,/,/,/,1013.8
7,/,/,/,/,/,/,/,/,/,/,/,1016.2
8,/,/,/,/,/,/,/,/,/,/,/,1017.7
9,/,/,/,/,/,/,/,/,/,/,/,1017.3
10,/,/,/,/,/,/,/,/,/,/,/,1015.5
11,/,/,/,/,/,/,/,/,/,/,/,1015.7
12,/,/,/,/,/,/,/,/,/,/,/,1019.7
13,/,/,/,/,/,/,/,/,/,/,/,1021.2
14,/,/,/,/,/,/,/,/,/,/,/,1021.4
15,/,/,/,/,/,/,/,/,/,/,/,1020.2
16,/,/,/,/,/,/,/,/,/,/,/,1018.6
17,/,/,/,/,/,/,/,/,/,/,/,1018.9
18,/,/,/,/,/,/,/,/,/,/,/,1019.5
19,/,/,/,/,/,/,/,/,/,/,/,1018.7
20,/,/,/,/,/,/,/,/,/,/,/,1015.7
21,/,/,/,/,/,/,/,/,/,/,/,1015.3
22,/,/,/,/,/,/,/,/,/,/,/,1015.3
23,/,/,/,/,/,/,/,/,/,/,/,1014.6
24,/,/,/,/,/,/,/,/,/,/,/,1014.2
25,/,/,/,/,/,/,/,/,/,/,/,1012.3
26,/,/,/,/,/,/,/,/,/,/,/,1011.3
27,/,/,/,/,/,/,/,/,/,/,/,1013.5
28,/,/,/,/,/,/,/,/,/,/,/,1017.7
29,/,,/,/,/,/,/,/,/,/,/,1021.8
30,/,,/,/,/,/,/,/,/,/,/,1021.5
31,/,,/,,/,,/,/,,/,,1022.6
平均,/,/,/,/,/,/,/,/,/,/,/,1017.2
