2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,21.0
6,/,/,/,/,/,/,/,/,/,/,/,20.8
7,/,/,/,/,/,/,/,/,/,/,/,18.8
8,/,/,/,/,/,/,/,/,/,/,/,17.5
9,/,/,/,/,/,/,/,/,/,/,/,17.7
10,/,/,/,/,/,/,/,/,/,/,/,17.9
11,/,/,/,/,/,/,/,/,/,/,/,17.9
12,/,/,/,/,/,/,/,/,/,/,/,15.4
13,/,/,/,/,/,/,/,/,/,/,/,14.8
14,/,/,/,/,/,/,/,/,/,/,/,16.3
15,/,/,/,/,/,/,/,/,/,/,/,15.5
16,/,/,/,/,/,/,/,/,/,/,/,18.9
17,/,/,/,/,/,/,/,/,/,/,/,13.8
18,/,/,/,/,/,/,/,/,/,/,/,11.9
19,/,/,/,/,/,/,/,/,/,/,/,13.1
20,/,/,/,/,/,/,/,/,/,/,/,11.5
21,/,/,/,/,/,/,/,/,/,/,/,15.0
22,/,/,/,/,/,/,/,/,/,/,/,19.0
23,/,/,/,/,/,/,/,/,/,/,/,18.7
24,/,/,/,/,/,/,/,/,/,/,/,17.2
25,/,/,/,/,/,/,/,/,/,/,/,17.8
26,/,/,/,/,/,/,/,/,/,/,/,19.5
27,/,/,/,/,/,/,/,/,/,/,/,16.1
28,/,/,/,/,/,/,/,/,/,/,/,15.0
29,/,,/,/,/,/,/,/,/,/,/,12.6
30,/,,/,/,/,/,/,/,/,/,/,11.0
31,/,,/,,/,,/,/,,/,,15.9
平均,/,/,/,/,/,/,/,/,/,/,/,16.3
