2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,27.6,25.7,23.9
2,/,/,/,/,/,/,/,/,/,27.7,25.6,23.9
3,/,/,/,/,/,/,/,/,/,27.3,25.8,23.3
4,/,/,/,/,/,/,/,/,/,27.2,26.1,23.0
5,/,/,/,/,/,/,/,/,/,27.4,25.8,22.7
6,/,/,/,/,/,/,/,/,/,27.6,25.8,22.1
7,/,/,/,/,/,/,/,/,/,27.3,25.5,22.4
8,/,/,/,/,/,/,/,/,/,27.5,25.6,22.2
9,/,/,/,/,/,/,/,/,/,27.2,25.7,21.8
10,/,/,/,/,/,/,/,/,/,27.0,26.3,21.6
11,/,/,/,/,/,/,/,/,/,27.1,26.4,21.4
12,/,/,/,/,/,/,/,/,/,26.9,26.2,21.4
13,/,/,/,/,/,/,/,/,/,26.9,26.1,21.7
14,/,/,/,/,/,/,/,/,/,26.9,26.0,21.9
15,/,/,/,/,/,/,/,/,/,26.9,26.3,22.2
16,/,/,/,/,/,/,/,/,/,26.8,26.3,22.7
17,/,/,/,/,/,/,/,/,/,26.7,25.3,23.0
18,/,/,/,/,/,/,/,/,/,26.5,23.8,22.5
19,/,/,/,/,/,/,/,/,/,26.3,23.9,21.3
20,/,/,/,/,/,/,/,/,/,26.6,24.2,21.2
21,/,/,/,/,/,/,/,/,/,26.4,24.3,21.2
22,/,/,/,/,/,/,/,/,/,26.3,25.2,21.6
23,/,/,/,/,/,/,/,/,/,26.4,25.2,20.7
24,/,/,/,/,/,/,/,/,/,26.7,24.4,19.8
25,/,/,/,/,/,/,/,/,/,27.0,24.8,20.6
26,/,/,/,/,/,/,/,/,/,27.5,25.0,20.9
27,/,/,/,/,/,/,/,/,/,27.5,23.5,21.3
28,/,/,/,/,/,/,/,/,/,27.8,23.2,21.6
29,/,/,/,/,/,/,/,/,/,27.8,23.8,21.8
30,/,,/,/,/,/,/,/,/,27.6,23.8,20.9
31,/,,/,,/,,/,/,,26.6,,18.8
平均,/,/,/,/,/,/,/,/,/,27.1,25.2,21.8
