2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,48,42,61,81,85,55,63,61,58,58,66,61
2,45,48,69,82,67,59,60,68,65,69,61,81
3,60,65,73,81,62,81,61,62,64,59,58,79
4,57,71,61,68,64,69,63,66,63,56,62,83
5,50,70,64,58,76,71,62,76,65,62,55,76
6,50,69,70,59,94,63,65,64,61,54,50,60
7,44,82,71,73,88,66,64,70,64,58,61,53
8,53,72,78,62,68,69,69,70,65,50,60,56
9,65,81,69,65,93,70,61,71,67,51,67,62
10,62,91,70,62,67,77,59,89,66,64,58,65
11,61,77,84,56,57,78,65,69,67,68,62,84
12,65,65,72,53,58,67,56,76,73,60,65,/
13,69,85,75,59,76,67,58,78,69,50,71,/
14,71,82,56,67,63,88,57,64,65,57,81,/
15,52,74,57,67,71,75,64,67,59,61,60,/
16,50,65,59,48,77,63,61,65,70,57,66,/
17,52,51,58,60,62,80,56,69,71,47,74,/
18,49,60,60,73,71,64,65,64,71,58,63,/
19,46,84,56,76,77,66,65,61,72,48,54,/
20,53,57,68,73,72,66,70,64,74,55,55,/
21,51,47,75,64,79,63,62,64,98,52,47,/
22,49,47,69,67,60,64,68,65,75,56,46,/
23,36,57,60,71,81,65,82,55,72,63,57,/
24,34,66,63,66,64,61,70,62,61,62,55,51
25,33,53,53,64,65,60,68,69,65,64,52,77
26,53,55,59,80,62,71,65,65,61,66,47,79
27,59,60,71,64,66,62,67,64,65,69,55,76
28,51,62,73,61,67,63,69,57,59,62,65,88
29,54,,62,59,72,62,61,62,66,55,68,55
30,46,,67,62,71,62,61,66,67,61,63,48
31,50,,64,,64,,68,68,,59,,41
平均,52.2,65.6,66,66,70.9,67.6,64,66.8,67.3,58.4,60.1,67.1
