2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,24.8,26.6,26.8,24.0,23.9,34.4,35.3,34.9,35.1,32.9,29.8,26.6
2,27.4,27.7,24.1,23.2,28.7,34.3,35.5,34.2,33.7,31.9,30.9,17.2
3,26.8,29.0,21.4,23.9,31.1,28.7,35.1,35.2,34.5,32.1,26.0,22.4
4,23.2,22.0,26.3,25.2,31.4,32.6,34.9,34.3,34.3,29.8,27.5,19.4
5,23.2,23.7,24.0,27.3,26.4,32.6,34.7,32.6,34.6,29.6,29.2,17.5
6,22.9,27.2,21.6,27.8,19.4,34.0,34.6,34.6,35.6,31.6,29.3,23.1
7,25.6,23.0,21.9,25.2,24.7,33.8,34.2,33.5,33.8,30.4,29.1,25.4
8,26.3,22.8,20.7,29.0,29.9,32.7,32.0,34.0,33.6,31.7,29.3,25.6
9,20.1,19.4,19.1,29.4,24.7,33.1,35.5,32.8,33.9,32.4,28.0,24.9
10,21.7,12.3,20.8,30.3,30.1,31.0,35.6,29.8,33.0,31.5,29.9,25.8
11,23.1,12.5,19.0,29.8,33.6,30.6,35.1,32.6,33.5,29.3,29.3,21.5
12,22.1,19.6,25.3,30.7,33.8,33.8,36.3,31.4,32.6,29.9,27.3,/
13,20.1,17.6,23.4,31.1,30.4,32.6,35.6,30.8,32.7,31.4,25.0,/
14,19.2,15.1,21.3,28.9,32.9,28.9,35.5,33.5,35.5,30.0,23.6,/
15,21.5,17.4,23.7,27.5,31.4,35.2,34.9,34.1,36.4,28.8,28.0,/
16,22.2,22.8,23.4,30.4,32.5,33.7,34.5,34.4,34.1,28.8,27.0,/
17,22.9,27.8,27.1,30.4,33.8,32.2,34.9,33.5,33.6,30.6,25.8,/
18,21.1,27.6,28.0,28.3,30.4,33.9,34.2,34.3,34.3,30.7,25.1,/
19,21.5,15.1,30.4,27.9,30.1,35.8,33.8,32.5,33.9,32.2,28.3,/
20,21.0,18.5,28.1,29.6,31.7,33.8,33.5,33.0,32.9,32.8,27.8,/
21,18.3,20.5,15.5,31.2,29.1,34.0,34.8,32.8,26.8,33.5,29.2,/
22,18.3,22.1,22.2,30.7,32.8,34.0,33.3,33.6,30.3,32.1,30.4,/
23,21.4,23.0,24.2,28.0,28.8,33.9,29.0,34.2,32.0,29.1,29.5,/
24,22.2,22.7,25.5,30.8,33.1,34.8,32.4,34.3,34.1,30.4,29.7,26.4
25,25.1,25.3,28.2,30.9,32.3,34.8,33.3,33.3,33.0,30.4,29.5,19.6
26,23.1,26.7,31.3,27.5,33.5,32.6,33.4,34.2,33.5,30.8,30.0,20.3
27,22.9,26.7,28.4,31.7,33.5,34.2,32.6,34.3,33.4,30.5,30.9,20.8
28,24.4,27.1,30.2,30.1,33.8,34.1,33.5,34.6,34.1,30.8,29.8,18.2
29,24.4,,32.6,29.9,32.1,35.0,34.3,34.6,33.3,31.9,30.7,20.6
30,25.7,,30.2,27.1,31.6,35.2,34.9,34.0,32.2,30.9,30.6,23.2
31,25.6,,27.7,,33.2,,33.9,33.0,,30.8,,23.0
平均,22.8,22.2,24.9,28.6,30.5,33.3,34.2,33.5,33.5,31,28.6,22.2
