2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,9.1,12.3,14.1,20.2,22.7,23.8,26.3,24.6,23.6,23.1,20.6,18.1
2,7.5,12.8,13.1,20.7,21.9,23.3,26.8,25.1,23.7,24.8,19.5,17.5
3,9.7,13.1,15.8,19.4,23.7,24.2,25.5,24.0,23.0,24.1,18.4,18.0
4,10.3,10.8,16.2,20.6,24.2,23.3,24.8,23.4,24.1,23.9,21.0,17.0
5,11.5,10.1,14.2,20.9,21.8,24.0,25.0,23.7,24.3,25.0,21.1,15.2
6,14.0,9.9,16.9,21.4,22.1,24.3,25.6,23.5,23.8,23.9,22.2,17.1
7,14.0,9.4,16.3,19.1,21.8,24.6,25.1,25.2,24.3,23.1,22.3,17.1
8,12.7,12.2,16.0,16.4,23.2,23.2,24.8,23.1,23.7,22.1,21.7,16.4
9,10.4,8.3,15.3,15.4,22.9,23.4,24.9,23.6,23.4,22.4,21.8,17.9
10,10.4,7.5,13.5,17.4,23.0,24.4,25.4,24.9,22.1,22.3,19.7,17.4
11,10.8,9.0,13.4,16.5,23.2,24.6,25.7,23.6,22.0,20.5,18.2,15.1
12,14.2,10.2,13.9,16.4,22.6,24.7,25.5,24.0,23.6,19.7,20.5,16.6
13,14.8,8.8,14.1,15.7,23.2,24.5,24.8,25.4,22.7,19.2,22.3,15.9
14,11.8,10.3,15.6,12.4,22.4,24.8,24.6,24.3,22.5,18.3,20.5,16.7
15,9.9,13.5,16.7,11.6,22.2,24.6,24.6,23.5,23.9,19.4,20.6,16.4
16,11.0,16.2,20.0,17.7,21.8,24.1,25.4,24.2,24.3,19.6,20.6,12.4
17,10.3,15.0,21.5,17.4,22.6,24.9,24.2,24.2,23.4,20.0,20.8,10.9
18,9.1,13.3,20.0,21.8,22.1,24.7,25.1,24.0,22.1,19.7,21.3,11.1
19,10.6,13.1,19.0,25.3,23.2,25.0,24.1,24.5,21.6,20.9,21.3,9.8
20,13.0,15.1,19.5,23.1,22.0,25.3,23.4,23.6,23.3,23.5,21.4,13.0
21,13.6,14.4,19.1,20.3,22.2,24.2,26.1,25.1,23.3,24.0,21.5,16.1
22,9.1,16.9,19.1,18.9,22.7,24.3,24.4,26.2,23.6,23.2,19.6,17.2
23,6.8,18.2,15.4,18.8,24.0,25.2,23.8,25.4,23.1,22.4,20.6,17.3
24,8.9,17.2,15.4,20.9,24.1,24.6,21.5,26.4,23.5,22.9,19.7,19.0
25,13.8,17.5,15.2,20.0,24.1,25.6,24.2,25.7,24.1,23.2,19.1,16.7
26,15.6,17.8,15.1,18.5,24.1,25.8,24.9,24.8,24.4,22.4,12.0,16.0
27,16.4,17.9,17.4,19.9,23.3,26.1,22.4,24.1,21.6,22.4,10.8,15.8
28,14.7,17.7,16.0,21.1,24.3,27.1,22.3,23.8,22.0,21.4,12.7,14.7
29,14.2,,16.1,22.6,25.2,26.2,22.9,23.2,23.3,21.7,15.7,13.3
30,13.2,,17.6,23.2,26.4,26.2,23.3,22.8,23.5,20.3,17.0,12.8
31,12.6,,20.0,,23.0,,24.3,22.8,,20.5,,13.1
平均,11.7,13.2,16.5,19.1,23.1,24.7,24.6,24.3,23.3,21.9,19.5,15.5
