2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,87,78,72,76,79,/,76,83,76,88,/
2,/,/,82,73,74,74,/,81,83,75,89,/
3,/,83,80,75,72,73,/,80,76,72,84,77
4,/,81,85,74,68,75,/,80,76,76,87,76
5,/,81,78,74,70,71,/,84,90,72,85,80
6,/,70,78,74,70,77,/,86,92,77,86,83
7,/,88,77,61,69,82,/,86,88,80,90,79
8,/,95,90,65,79,79,83,/,93,81,82,77
9,/,90,76,66,94,73,/,80,84,83,84,80
10,/,91,75,63,80,80,81,75,85,86,86,87
11,/,84,74,74,80,91,80,73,89,80,85,86
12,/,73,77,/,83,77,/,77,86,89,86,77
13,/,70,70,78,79,71,/,83,85,83,81,76
14,/,76,70,76,78,86,83,88,82,/,80,79
15,/,67,78,80,78,84,83,/,92,84,82,81
16,/,/,82,77,78,85,82,80,83,84,85,80
17,/,82,/,85,/,85,74,77,89,86,85,70
18,/,78,83,/,77,/,73,80,87,83,84,74
19,91,75,78,76,74,95,79,88,82,82,80,78
20,87,82,85,74,77,93,86,89,81,82,83,67
21,86,80,70,76,77,84,83,90,77,81,81,78
22,82,90,69,75,75,85,89,92,75,80,78,84
23,84,84,63,72,75,81,/,94,80,82,81,86
24,80,82,62,80,/,/,86,99,82,86,80,80
25,80,83,67,80,72,/,89,88,77,83,81,82
26,81,80,74,72,72,78,85,89,78,83,92,86
27,80,84,80,77,71,83,87,86,77,74,84,77
28,88,85,78,77,72,/,83,92,80,66,90,70
29,87,,/,74,75,/,76,89,70,73,84,69
30,88,,73,77,73,/,79,88,/,77,82,74
31,87,,/,,73,,78,88,,89,,81
平均,84.7,81.6,76.1,74.2,75.6,80.9,82,84.8,82.8,80.2,84.2,78.4
