2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,14.8,8.9,19.6,18.8,18.6,24.6,25.6,25.2,24.0,21.2,18.6,15.7
2,15.0,10.4,17.0,18.3,22.2,24.6,25.0,24.8,24.3,21.9,18.9,15.2
3,16.5,12.8,16.0,19.2,23.7,24.1,25.1,25.4,23.9,22.2,16.2,12.8
4,16.6,14.6,17.5,17.6,23.2,24.6,25.2,24.5,23.9,21.8,16.2,13.4
5,16.9,/,14.7,15.2,23.1,24.8,24.8,25.7,22.9,21.8,17.2,14.3
6,17.4,14.3,16.2,17.1,23.0,25.0,24.6,25.1,18.9,19.3,20.5,16.1
7,16.4,15.3,18.2,16.9,23.3,23.8,25.0,26.0,19.6,18.3,22.2,17.4
8,15.5,13.0,19.6,16.9,23.8,23.5,25.0,26.0,22.4,18.3,18.0,16.4
9,15.3,12.1,19.7,17.6,23.9,24.3,24.0,26.2,22.8,19.0,17.2,17.5
10,16.2,12.9,18.8,17.7,24.6,24.1,24.2,25.7,23.7,19.8,17.4,18.9
11,16.3,16.1,13.7,18.9,25.4,25.2,25.0,25.6,23.8,21.6,16.7,18.8
12,13.7,15.7,18.3,13.8,24.0,26.2,25.2,24.7,24.1,23.2,17.7,17.3
13,13.1,19.3,20.6,5.7,22.5,25.9,24.2,25.0,24.5,23.2,19.3,16.3
14,14.0,19.7,16.2,12.6,22.6,24.8,25.1,24.0,24.5,22.7,20.2,15.3
15,13.8,21.0,12.1,14.4,23.5,24.3,25.6,25.6,24.5,22.1,19.9,13.3
16,14.9,15.9,14.1,14.6,23.8,24.1,25.4,24.0,24.3,22.0,20.8,13.5
17,14.1,6.2,14.9,18.7,23.4,24.2,24.9,24.4,24.5,21.2,20.0,13.5
18,12.1,7.7,17.2,20.5,24.4,24.4,24.7,24.6,24.6,19.8,19.3,15.3
19,13.0,11.5,19.3,22.6,22.6,24.5,24.0,22.9,24.1,19.6,20.0,13.9
20,12.8,13.6,19.6,22.3,23.2,24.8,23.7,25.5,23.9,20.4,20.9,12.6
21,13.3,15.6,20.1,21.9,23.8,24.4,24.3,24.7,23.1,22.0,21.6,14.2
22,16.0,15.4,20.8,19.4,24.2,24.5,25.6,24.1,22.4,20.1,21.4,15.2
23,18.1,16.8,20.5,18.6,24.5,24.9,25.5,23.9,22.4,17.6,19.8,16.8
24,19.1,16.9,20.1,18.1,24.8,25.2,25.6,23.8,22.5,17.7,19.1,16.4
25,18.4,17.1,20.7,19.0,24.4,24.4,26.0,24.1,21.1,19.6,19.7,13.9
26,17.2,18.9,20.6,20.0,25.0,24.7,24.7,23.7,22.6,20.3,20.1,13.6
27,13.9,18.5,21.6,19.6,24.9,24.6,25.0,23.6,21.5,21.1,18.3,15.7
28,12.5,17.9,19.2,20.1,25.5,24.4,24.8,23.5,22.0,21.3,16.3,16.6
29,9.2,18.6,16.0,19.7,25.1,25.5,24.5,24.1,21.7,20.7,15.8,17.7
30,4.2,,19.4,19.7,24.7,26.0,25.5,25.1,20.8,17.6,15.4,8.6
31,5.9,,20.5,,24.8,,25.7,24.0,,16.3,,2.8
平均,14.4,14.9,18.2,17.9,23.8,24.7,25,24.7,23,20.4,18.8,14.8
