2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,5.5,5.4,7.4,7.0,7.4,8.7,11.9,9.8,9.8,5.1,5.8,6.7
2,6.6,6.0,6.5,6.1,8.2,7.9,11.9,7.6,8.0,6.2,6.4,7.5
3,5.2,7.7,7.7,6.7,8.0,7.7,9.1,10.0,12.4,6.6,7.2,8.3
4,4.1,9.3,9.4,9.5,6.7,6.4,6.7,10.6,6.6,5.9,5.2,6.1
5,5.6,/,5.5,7.9,10.3,9.1,9.2,8.1,6.8,6.5,6.8,7.1
6,5.4,6.1,5.4,6.0,7.8,8.8,11.7,7.6,9.6,6.9,6.0,5.2
7,4.7,9.5,6.6,8.5,8.1,12.4,7.5,6.3,5.8,7.2,5.1,7.5
8,5.5,8.7,6.8,5.7,7.8,7.7,9.8,7.3,7.4,4.1,5.5,6.7
9,6.7,7.7,11.0,7.9,7.5,5.3,8.5,7.5,6.0,7.1,4.5,6.3
10,5.8,8.7,9.8,7.5,8.3,5.5,9.7,9.4,7.7,7.1,4.2,5.1
11,4.9,4.0,4.8,6.2,6.8,4.8,7.2,12.0,6.2,6.7,6.8,5.9
12,6.8,8.4,6.0,10.9,6.5,6.5,6.8,6.6,6.6,7.1,3.8,5.5
13,7.3,10.3,6.2,10.0,6.7,7.5,6.8,8.6,6.6,5.8,5.9,7.7
14,7.5,7.9,6.4,6.1,6.7,9.6,6.9,7.5,6.9,6.3,3.2,6.5
15,7.5,7.6,5.6,7.4,8.2,7.8,8.3,9.7,7.7,5.8,4.8,6.6
16,6.9,7.6,7.0,6.8,11.4,9.3,8.8,6.9,6.5,5.1,4.6,5.8
17,7.9,7.2,8.7,6.7,8.8,8.3,7.4,7.2,5.6,6.5,5.3,7.3
18,7.4,6.3,5.7,6.1,8.7,7.4,7.6,11.3,7.2,7.7,5.9,8.0
19,6.8,6.7,6.1,10.4,7.0,6.7,11.0,7.0,7.5,7.2,5.9,8.1
20,7.9,6.6,7.5,7.5,12.6,7.5,8.1,7.9,9.3,6.5,7.6,6.2
21,6.5,6.4,5.6,6.8,7.7,7.6,7.4,8.6,6.5,5.1,6.0,4.3
22,5.4,7.2,5.7,7.8,7.9,8.7,7.0,7.9,7.3,9.7,8.1,5.7
23,7.8,6.1,6.3,6.9,3.0,9.5,7.2,5.8,6.4,7.0,5.0,6.3
24,7.5,6.4,5.1,4.1,6.1,8.3,6.5,9.3,8.2,5.1,5.9,7.3
25,6.8,7.7,6.2,5.7,7.2,8.5,6.0,9.2,6.3,5.2,6.6,6.3
26,10.3,8.0,7.9,8.0,9.9,13.1,7.9,7.6,5.2,7.2,5.2,8.2
27,6.8,5.8,10.3,6.4,6.6,9.9,8.3,13.9,5.5,5.6,7.6,7.7
28,6.5,6.3,10.1,6.0,8.0,8.6,7.9,12.9,5.0,5.1,6.8,6.0
29,7.2,7.0,6.5,7.3,10.1,9.2,10.7,6.2,7.6,7.5,6.9,5.6
30,10.6,,6.9,6.8,8.9,11.9,5.8,10.2,8.0,7.6,3.8,10.8
31,6.0,,9.4,,6.5,,4.7,9.1,,5.8,,5.1
平均,6.7,7.2,7.1,7.2,7.9,8.3,8.2,8.7,7.2,6.4,5.7,6.7
