2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,0.0,7.5,20.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,2.5,0.0,0.0,3.5,42.5,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,28.5,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
5,0.0,/,3.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.5,12.0,0.0,10.5,0.0,0.0,0.0,0.0,0.5,0.0
7,0.0,0.0,0.0,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.5
10,0.0,0.0,13.5,0.0,0.0,0.0,0.0,10.0,36.0,0.0,0.5,0.5
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,2.5,0.0,8.0,0.0,9.0,1.0,0.0,0.0,0.0
13,0.0,4.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.5,14.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,40.5,0.0,10.0,7.5,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.5,0.0,0.0,39.5,1.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,4.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,27.0,0.0,36.5,2.5,0.0,0.0,0.0,3.5
22,0.0,0.0,0.0,0.0,95.0,0.0,3.5,5.5,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,14.5,7.5,0.0,3.0,0.5,0.0,1.5,0.5,0.0
24,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,16.5,0.0,0.0,0.0,46.5,18.0,0.5,28.5,3.0,0.0,0.0,0.0
27,0.0,0.0,1.5,0.0,12.0,0.0,3.0,37.0,0.0,0.0,0.0,5.5
28,0.5,0.0,38.0,0.0,7.5,0.0,23.0,4.5,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,44.5,0.0,2.0,49.0,0.0,0.0,0.0,0.0
30,0.0,,0.0,0.0,3.5,0.0,0.0,12.0,0.0,0.0,0.0,0.0
31,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0
總和,17,4.5,71,37.5,337,97.5,94.5,317.5,69.5,1.5,10,16.5
