2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,6.6
2,/,/,/,/,/,/,/,/,/,/,/,4.0
3,/,/,/,/,/,/,/,/,/,/,/,4.9
4,/,/,/,/,/,/,/,/,/,/,/,5.5
5,/,/,/,/,/,/,/,/,/,/,/,9.4
6,/,/,/,/,/,/,/,/,/,/,/,7.4
7,/,/,/,/,/,/,/,/,/,/,/,13.3
8,/,/,/,/,/,/,/,/,/,/,/,15.6
9,/,/,/,/,/,/,/,/,/,/,/,15.6
10,/,/,/,/,/,/,/,/,/,/,/,12.5
11,/,/,/,/,/,/,/,/,/,/,/,14.0
12,/,/,/,/,/,/,/,/,/,/,/,14.4
13,/,/,/,/,/,/,/,/,/,/,/,11.0
14,/,/,/,/,/,/,/,/,/,/,/,9.8
15,/,/,/,/,/,/,/,/,/,/,/,8.8
16,/,/,/,/,/,/,/,/,/,/,/,9.5
17,/,/,/,/,/,/,/,/,/,/,/,13.1
18,/,/,/,/,/,/,/,/,/,/,/,8.6
19,/,/,/,/,/,/,/,/,/,/,/,5.0
20,/,/,/,/,/,/,/,/,/,/,/,3.6
21,/,/,/,/,/,/,/,/,/,/,6.4,8.0
22,/,/,/,/,/,/,/,/,/,/,16.1,8.2
23,/,/,/,/,/,/,/,/,/,/,9.4,12.6
24,/,/,/,/,/,/,/,/,/,/,/,15.2
25,/,/,/,/,/,/,/,/,/,/,8.5,8.9
26,/,/,/,/,/,/,/,/,/,/,7.9,8.7
27,/,/,/,/,/,/,/,/,/,/,11.0,15.3
28,/,/,/,/,/,/,/,/,/,/,9.0,15.8
29,/,,/,/,/,/,/,/,/,/,8.8,16.0
30,/,,/,/,/,/,/,/,/,/,4.5,12.4
31,/,,/,,/,,/,/,,/,,13.6
平均,/,/,/,/,/,/,/,/,/,/,9.1,10.6
