2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,25.6
2,/,/,/,/,/,/,/,/,/,/,/,25.3
3,/,/,/,/,/,/,/,/,/,/,/,26.4
4,/,/,/,/,/,/,/,/,/,/,/,29.1
5,/,/,/,/,/,/,/,/,/,/,/,26.4
6,/,/,/,/,/,/,/,/,/,/,/,27.5
7,/,/,/,/,/,/,/,/,/,/,/,23.7
8,/,/,/,/,/,/,/,/,/,/,/,22.3
9,/,/,/,/,/,/,/,/,/,/,/,22.6
10,/,/,/,/,/,/,/,/,/,/,/,21.7
11,/,/,/,/,/,/,/,/,/,/,/,23.4
12,/,/,/,/,/,/,/,/,/,/,/,19.9
13,/,/,/,/,/,/,/,/,/,/,/,22.8
14,/,/,/,/,/,/,/,/,/,/,/,23.2
15,/,/,/,/,/,/,/,/,/,/,/,23.0
16,/,/,/,/,/,/,/,/,/,/,/,24.6
17,/,/,/,/,/,/,/,/,/,/,/,20.6
18,/,/,/,/,/,/,/,/,/,/,/,23.2
19,/,/,/,/,/,/,/,/,/,/,/,22.1
20,/,/,/,/,/,/,/,/,/,/,/,25.2
21,/,/,/,/,/,/,/,/,/,/,27.0,23.6
22,/,/,/,/,/,/,/,/,/,/,23.0,23.8
23,/,/,/,/,/,/,/,/,/,/,24.1,23.5
24,/,/,/,/,/,/,/,/,/,/,/,20.9
25,/,/,/,/,/,/,/,/,/,/,25.1,22.8
26,/,/,/,/,/,/,/,/,/,/,21.4,21.7
27,/,/,/,/,/,/,/,/,/,/,24.4,21.4
28,/,/,/,/,/,/,/,/,/,/,21.8,19.8
29,/,,/,/,/,/,/,/,/,/,24.6,18.5
30,/,,/,/,/,/,/,/,/,/,25.4,21.6
31,/,,/,,/,,/,/,,/,,19.8
平均,/,/,/,/,/,/,/,/,/,/,24.1,23.1
