2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.1,12.9,17.7,15.6,21.4,25.4,26.4,26.0,/,23.3,21.6,18.2
2,15.8,/,18.9,17.8,18.6,25.6,26.1,/,26.3,24.8,21.0,13.3
3,17.2,18.4,18.5,19.0,18.5,25.1,24.7,25.6,26.0,25.4,21.1,/
4,18.0,/,16.5,19.4,20.5,25.4,25.2,26.6,25.4,24.6,18.3,11.8
5,18.7,16.7,17.6,19.6,21.0,25.5,25.5,26.8,25.1,24.1,17.9,14.1
6,/,/,17.7,20.2,20.6,26.9,25.6,26.1,25.0,24.3,18.0,14.4
7,17.3,18.3,14.1,21.4,18.1,26.5,26.0,26.4,25.3,24.5,18.5,11.3
8,17.6,16.0,14.8,22.2,20.2,25.7,25.6,26.6,25.4,23.8,17.1,9.3
9,16.8,/,17.8,23.6,21.7,25.5,26.1,26.5,25.4,23.3,15.4,11.5
10,17.6,16.1,17.8,23.2,22.2,25.1,26.3,27.5,25.0,22.1,15.5,/
11,18.0,15.9,14.3,21.3,22.5,25.3,25.5,27.2,25.3,22.4,17.0,15.7
12,17.8,17.1,14.3,18.3,23.4,24.6,26.2,26.9,26.5,23.5,17.5,14.2
13,16.3,18.2,17.2,20.4,23.4,25.8,26.3,25.5,26.1,22.4,18.6,16.2
14,15.8,18.2,17.9,21.1,24.1,24.4,26.3,26.2,24.5,19.5,16.1,16.9
15,16.7,18.3,12.6,17.8,25.1,21.9,26.6,26.7,24.5,17.6,17.1,17.9
16,/,18.3,14.1,19.8,26.0,23.7,26.3,26.0,/,19.1,18.6,17.6
17,/,16.2,18.0,19.8,25.6,25.1,27.0,26.0,22.3,19.1,19.6,17.7
18,12.7,17.3,18.9,20.7,26.6,26.4,26.8,25.5,21.9,17.7,20.0,18.6
19,15.0,19.5,19.7,22.0,26.6,26.5,26.1,25.1,20.1,19.1,15.2,17.9
20,15.8,20.2,21.4,22.5,24.6,26.6,25.3,25.2,20.1,17.9,15.9,16.8
21,12.7,19.2,22.3,23.7,19.4,26.4,25.0,25.4,19.2,18.3,18.1,17.9
22,10.2,17.1,20.3,24.7,20.3,26.1,25.2,26.3,20.3,19.1,20.2,18.2
23,10.6,13.6,15.2,24.3,21.4,25.8,/,/,19.9,20.1,20.8,17.1
24,12.9,15.4,15.8,23.8,23.3,25.8,25.8,25.9,20.2,19.8,20.7,17.8
25,14.6,16.3,18.3,23.1,23.8,24.9,26.3,25.2,20.1,19.4,19.3,18.0
26,10.6,16.6,18.3,23.3,23.8,25.1,26.6,26.2,21.6,19.6,17.8,17.8
27,10.8,17.5,20.0,23.0,25.0,25.7,26.0,26.4,23.8,20.4,18.8,12.3
28,13.2,18.2,22.0,23.0,24.6,26.8,25.7,25.9,24.4,21.2,15.4,15.2
29,14.8,,21.7,23.8,20.5,26.9,25.7,26.2,24.7,20.1,14.2,17.9
30,/,,19.7,/,21.9,26.6,26.4,25.5,23.9,20.1,17.4,18.6
31,/,,18.4,,24.2,,26.6,26.1,,21.5,,15.0
平均,15.1,17.1,17.8,21.3,22.5,25.6,26,26.1,23.5,21.2,18.1,15.8
