2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,/,0.0,0.0,0.0
2,0.0,/,0.0,0.0,1.5,20.5,16.0,/,0.0,0.0,0.0,0.0
3,0.0,0.0,5.0,0.0,2.5,0.0,102.0,0.0,0.0,0.0,0.0,/
4,0.0,/,0.5,0.0,0.0,6.5,1.0,0.0,0.0,0.0,0.0,0.0
5,4.5,0.0,14.0,0.0,1.0,0.0,20.5,0.0,0.0,0.0,0.0,23.0
6,/,/,7.0,0.0,13.5,0.0,1.0,0.0,0.0,0.0,0.0,10.0
7,0.0,0.0,27.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,21.0,0.0,2.0,0.0,0.0,2.5,1.0,0.0,0.0,0.0
9,0.0,/,12.0,0.0,4.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0
10,0.0,0.0,20.0,0.0,2.5,49.5,10.0,0.0,0.0,0.0,0.0,/
11,0.0,0.0,0.5,0.0,0.0,21.5,7.0,1.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,3.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.5,0.0,5.5,4.0,96.5,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,25.0,0.0,11.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
16,/,0.0,0.0,7.5,0.0,0.0,0.0,15.0,/,0.0,0.0,0.0
17,/,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,3.5,0.0,0.0,51.0,0.0,0.0,0.0,0.0
19,0.0,9.0,0.0,53.5,0.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16.5,0.0,29.5,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,20.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,2.5,0.0,0.0,4.0,/,/,0.0,0.0,0.0,0.0
24,0.0,8.0,15.5,0.0,0.0,58.0,0.0,2.5,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,3.5,0.0,17.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.5,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,17.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
29,0.0,,6.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.5
30,/,,1.0,/,0.0,0.0,0.0,3.0,0.5,0.0,0.0,9.0
31,/,,0.0,,0.0,,0.0,0.0,,0.0,,1.5
總和,4.5,17,133.5,85.5,85,285.5,207,234.5,1.5,0,0,116
