2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,20.6,18.7,24.8,26.2,27.0,28.4,31.1,31.4,29.5,31.1,27.8,25.4
2,20.3,18.9,25.1,25.6,27.3,29.0,30.3,31.7,30.0,31.2,27.7,25.3
3,20.4,19.5,25.0,24.7,28.1,29.5,30.3,31.4,30.5,31.3,27.7,25.2
4,20.6,20.0,25.2,24.8,28.7,30.0,30.5,30.2,30.7,31.4,27.5,24.7
5,20.8,19.9,24.7,24.9,29.1,30.5,30.6,29.4,30.8,31.4,27.4,24.4
6,21.1,20.2,23.8,24.0,29.4,30.6,30.8,29.7,30.6,31.3,27.3,24.5
7,21.0,20.8,23.7,23.2,29.8,/,30.8,30.1,30.5,31.0,26.8,24.6
8,21.2,20.9,24.4,23.0,30.2,29.1,31.0,30.5,30.8,30.6,26.2,24.4
9,21.1,20.9,25.1,23.4,30.5,28.0,30.7,30.8,31.2,30.2,25.5,23.9
10,21.2,20.6,25.6,24.0,30.7,28.0,30.3,31.0,31.5,30.1,24.7,23.5
11,21.5,20.8,24.3,24.6,30.9,28.3,30.4,30.5,31.7,30.1,24.2,23.5
12,21.4,20.9,23.4,24.3,30.6,28.5,30.7,29.7,31.7,30.1,24.5,23.5
13,21.4,21.5,23.4,23.3,29.9,29.2,31.0,29.8,32.0,30.2,25.0,23.6
14,21.4,21.9,23.6,23.2,29.9,29.8,31.4,29.9,32.0,30.3,24.8,23.6
15,21.4,22.5,22.4,23.4,30.0,30.4,31.5,30.2,32.2,30.2,24.4,23.2
16,21.4,23.2,22.3,24.2,30.3,30.9,30.6,30.0,32.4,30.2,24.7,22.9
17,21.6,21.6,22.8,24.9,30.3,31.2,30.0,30.4,32.5,30.1,25.1,22.7
18,21.2,20.3,23.3,25.6,30.4,31.4,30.1,30.7,32.3,30.0,/,22.8
19,21.0,19.9,23.5,26.4,28.6,31.7,30.4,30.9,32.4,29.9,/,22.6
20,20.7,20.3,24.1,26.9,26.2,31.9,30.8,31.3,32.1,29.7,26.9,22.3
21,20.7,20.8,24.6,27.3,26.4,31.9,31.1,31.7,32.2,29.6,27.1,22.2
22,21.0,20.9,25.0,27.5,26.2,31.1,31.4,31.9,32.2,29.2,27.4,21.7
23,21.6,21.6,25.6,27.1,26.0,31.2,31.8,32.0,32.2,28.3,27.3,22.2
24,22.2,22.4,25.7,25.4,26.1,31.5,32.0,31.9,32.2,27.4,27.2,21.9
25,22.5,22.9,26.0,24.3,26.7,31.8,31.7,31.4,32.0,27.0,27.0,21.4
26,22.5,23.7,26.4,24.6,27.3,31.9,31.5,30.8,31.6,27.4,26.9,21.3
27,21.8,24.4,27.1,25.2,27.4,32.1,31.6,29.2,31.5,27.9,26.7,21.7
28,20.9,24.7,27.5,25.7,27.4,32.1,32.0,28.0,31.1,28.1,26.3,22.0
29,19.9,24.7,26.8,26.3,27.4,32.3,31.6,27.9,30.8,28.2,26.0,22.6
30,19.1,,26.5,26.7,27.6,31.8,31.3,28.7,31.1,28.2,25.8,22.5
31,18.7,,26.1,,27.9,,31.1,29.2,,28.0,,/
平均,21,21.4,24.8,25,28.5,30.5,31,30.4,31.5,29.7,26.3,23.2
