2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,60.0,50.0,360.0,60.0,340.0,240.0,200.0,280.0,350.0,60.0,360.0,60.0
2,40.0,50.0,60.0,40.0,270.0,250.0,220.0,340.0,230.0,30.0,50.0,50.0
3,350.0,50.0,60.0,40.0,240.0,240.0,230.0,200.0,250.0,340.0,60.0,50.0
4,350.0,50.0,40.0,50.0,240.0,240.0,260.0,170.0,20.0,320.0,60.0,50.0
5,330.0,50.0,50.0,50.0,230.0,220.0,250.0,350.0,30.0,50.0,50.0,50.0
6,10.0,40.0,50.0,60.0,230.0,230.0,230.0,350.0,20.0,60.0,40.0,60.0
7,30.0,50.0,350.0,50.0,260.0,/,220.0,330.0,290.0,60.0,20.0,50.0
8,50.0,50.0,10.0,40.0,240.0,240.0,230.0,320.0,320.0,60.0,60.0,50.0
9,50.0,60.0,220.0,40.0,240.0,230.0,210.0,280.0,290.0,60.0,60.0,50.0
10,30.0,30.0,50.0,10.0,240.0,240.0,230.0,280.0,280.0,60.0,60.0,50.0
11,40.0,30.0,50.0,360.0,360.0,260.0,250.0,180.0,240.0,50.0,60.0,60.0
12,50.0,310.0,20.0,50.0,10.0,340.0,270.0,220.0,310.0,30.0,50.0,50.0
13,50.0,340.0,30.0,50.0,360.0,360.0,260.0,350.0,10.0,40.0,60.0,40.0
14,50.0,10.0,50.0,290.0,300.0,220.0,250.0,320.0,20.0,50.0,50.0,60.0
15,40.0,350.0,40.0,300.0,290.0,240.0,220.0,300.0,350.0,30.0,30.0,60.0
16,40.0,50.0,300.0,320.0,350.0,260.0,200.0,350.0,330.0,20.0,360.0,60.0
17,40.0,50.0,340.0,320.0,330.0,240.0,230.0,260.0,330.0,60.0,290.0,50.0
18,50.0,60.0,330.0,320.0,240.0,240.0,240.0,280.0,350.0,60.0,330.0,40.0
19,50.0,40.0,340.0,230.0,310.0,240.0,230.0,300.0,10.0,60.0,330.0,50.0
20,50.0,50.0,20.0,330.0,150.0,240.0,240.0,250.0,50.0,50.0,30.0,50.0
21,50.0,40.0,300.0,20.0,140.0,230.0,300.0,310.0,60.0,60.0,30.0,60.0
22,20.0,50.0,240.0,50.0,160.0,240.0,340.0,340.0,50.0,50.0,40.0,40.0
23,30.0,50.0,30.0,50.0,50.0,230.0,300.0,300.0,20.0,60.0,60.0,40.0
24,40.0,360.0,20.0,50.0,30.0,230.0,250.0,230.0,40.0,60.0,50.0,50.0
25,50.0,350.0,350.0,350.0,300.0,220.0,230.0,210.0,60.0,30.0,20.0,60.0
26,40.0,10.0,260.0,40.0,220.0,230.0,250.0,150.0,50.0,40.0,10.0,50.0
27,50.0,50.0,260.0,10.0,220.0,240.0,240.0,140.0,40.0,30.0,60.0,40.0
28,60.0,20.0,50.0,40.0,330.0,240.0,260.0,190.0,30.0,60.0,60.0,20.0
29,50.0,310.0,50.0,340.0,260.0,220.0,340.0,270.0,30.0,60.0,60.0,10.0
30,50.0,,50.0,340.0,210.0,210.0,350.0,340.0,50.0,60.0,60.0,50.0
31,60.0,,10.0,,240.0,,280.0,50.0,,60.0,,60.0
平均,72.9,103.8,141.6,143.3,238.4,243.4,251.9,265.8,150.3,68.4,95.3,49
