2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.4,8.6,9.2,9.5,10.6,10.4,11.4,,,,,
2,8.2,8.7,8.6,10.3,10.7,11.1,11.0,,,,,
3,8.2,8.7,6.0,9.9,9.1,11.7,11.8,,,,,
4,6.9,8.8,6.9,10.0,10.2,10.7,11.0,,,,,
5,7.1,8.6,8.7,10.0,10.4,6.1,10.3,,,,,
6,6.1,8.9,8.9,10.4,11.2,5.4,11.8,,,,,
7,7.6,8.0,6.6,10.0,10.3,9.9,10.6,,,,,
8,6.0,7.8,9.2,9.3,9.6,11.1,,,,,,
9,7.7,9.1,8.1,9.2,11.2,11.5,,,,,,
10,7.5,5.8,9.7,9.8,10.6,11.2,,,,,,
11,3.1,5.7,9.7,10.3,10.6,11.4,,,,,,
12,8.2,2.9,9.8,10.3,11.4,11.7,,,,,,
13,8.2,8.9,9.7,10.5,10.9,11.8,,,,,,
14,8.3,6.4,9.8,9.4,11.5,10.9,,,,,,
15,8.3,9.1,9.8,8.6,11.5,10.4,,,,,,
16,8.2,9.2,9.9,10.5,11.6,7.9,,,,,,
17,8.4,9.1,9.6,9.8,10.8,10.5,,,,,,
18,8.2,9.2,9.1,10.6,11.2,10.9,,,,,,
19,8.2,9.2,8.5,9.7,10.8,10.8,,,,,,
20,7.9,9.1,9.4,10.4,10.6,8.3,,,,,,
21,8.4,9.1,9.0,4.3,11.4,6.1,,,,,,
22,3.7,9.2,4.8,4.4,10.1,2.5,,,,,,
23,6.9,8.7,7.4,8.8,10.2,4.7,,,,,,
24,8.3,7.7,4.3,10.5,11.5,10.9,,,,,,
25,8.2,9.3,10.2,3.5,10.9,10.1,,,,,,
26,7.6,9.0,9.9,10.3,11.0,9.7,,,,,,
27,8.4,8.5,9.9,9.0,11.3,10.6,,,,,,
28,8.2,9.2,10.0,8.5,10.2,6.6,,,,,,
29,8.4,,10.0,7.4,11.0,10.5,,,,,,
30,8.3,,7.8,11.1,0.8,11.2,,,,,,
31,8.0,,10.2,,8.4,,,,,,,
總和,235.1,232.5,270.7,276.3,321.6,286.6,77.9, , , , , 
