2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,946.1
5,/,/,/,/,/,/,/,/,/,/,/,944.8
6,/,/,/,/,/,/,/,/,/,/,/,944.6
7,/,/,/,/,/,/,/,/,/,/,/,945.9
8,/,/,/,/,/,/,/,/,/,/,/,946.8
9,/,/,/,/,/,/,/,/,/,/,/,946.6
10,/,/,/,/,/,/,/,/,/,/,/,945.4
11,/,/,/,/,/,/,/,/,/,/,/,945.5
12,/,/,/,/,/,/,/,/,/,/,/,948.2
13,/,/,/,/,/,/,/,/,/,/,/,949.9
14,/,/,/,/,/,/,/,/,/,/,/,950.5
15,/,/,/,/,/,/,/,/,/,/,/,949.4
16,/,/,/,/,/,/,/,/,/,/,/,948.3
17,/,/,/,/,/,/,/,/,/,/,/,947.5
18,/,/,/,/,/,/,/,/,/,/,/,948.5
19,/,/,/,/,/,/,/,/,/,/,/,947.9
20,/,/,/,/,/,/,/,/,/,/,/,945.8
21,/,/,/,/,/,/,/,/,/,/,/,945.2
22,/,/,/,/,/,/,/,/,/,/,/,945.7
23,/,/,/,/,/,/,/,/,/,/,/,944.5
24,/,/,/,/,/,/,/,/,/,/,/,943.6
25,/,/,/,/,/,/,/,/,/,/,/,942.5
26,/,/,/,/,/,/,/,/,/,/,/,941.5
27,/,/,/,/,/,/,/,/,/,/,/,942.8
28,/,/,/,/,/,/,/,/,/,/,/,946.1
29,/,,/,/,/,/,/,/,/,/,/,949.3
30,/,,/,/,/,/,/,/,/,/,/,949.9
31,/,,/,,/,,/,/,,/,,951.0
平均,/,/,/,/,/,/,/,/,/,/,/,946.6
