2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,0.6
5,/,/,/,/,/,/,/,/,/,/,/,0.5
6,/,/,/,/,/,/,/,/,/,/,/,0.5
7,/,/,/,/,/,/,/,/,/,/,/,0.7
8,/,/,/,/,/,/,/,/,/,/,/,0.7
9,/,/,/,/,/,/,/,/,/,/,/,0.7
10,/,/,/,/,/,/,/,/,/,/,/,0.7
11,/,/,/,/,/,/,/,/,/,/,/,0.8
12,/,/,/,/,/,/,/,/,/,/,/,0.7
13,/,/,/,/,/,/,/,/,/,/,/,0.7
14,/,/,/,/,/,/,/,/,/,/,/,0.3
15,/,/,/,/,/,/,/,/,/,/,/,0.5
16,/,/,/,/,/,/,/,/,/,/,/,0.6
17,/,/,/,/,/,/,/,/,/,/,/,0.7
18,/,/,/,/,/,/,/,/,/,/,/,0.4
19,/,/,/,/,/,/,/,/,/,/,/,0.6
20,/,/,/,/,/,/,/,/,/,/,/,0.4
21,/,/,/,/,/,/,/,/,/,/,/,0.6
22,/,/,/,/,/,/,/,/,/,/,/,0.7
23,/,/,/,/,/,/,/,/,/,/,/,0.7
24,/,/,/,/,/,/,/,/,/,/,/,0.7
25,/,/,/,/,/,/,/,/,/,/,/,0.7
26,/,/,/,/,/,/,/,/,/,/,/,0.5
27,/,/,/,/,/,/,/,/,/,/,/,0.8
28,/,/,/,/,/,/,/,/,/,/,/,0.9
29,/,,/,/,/,/,/,/,/,/,/,0.9
30,/,,/,/,/,/,/,/,/,/,/,0.4
31,/,,/,,/,,/,/,,/,,0.4
平均,/,/,/,/,/,/,/,/,/,/,/,0.6
