2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,11.6
5,/,/,/,/,/,/,/,/,/,/,/,14.2
6,/,/,/,/,/,/,/,/,/,/,/,16.6
7,/,/,/,/,/,/,/,/,/,/,/,16.9
8,/,/,/,/,/,/,/,/,/,/,/,16.0
9,/,/,/,/,/,/,/,/,/,/,/,16.3
10,/,/,/,/,/,/,/,/,/,/,/,15.5
11,/,/,/,/,/,/,/,/,/,/,/,15.4
12,/,/,/,/,/,/,/,/,/,/,/,14.8
13,/,/,/,/,/,/,/,/,/,/,/,15.0
14,/,/,/,/,/,/,/,/,/,/,/,16.0
15,/,/,/,/,/,/,/,/,/,/,/,13.9
16,/,/,/,/,/,/,/,/,/,/,/,15.5
17,/,/,/,/,/,/,/,/,/,/,/,13.1
18,/,/,/,/,/,/,/,/,/,/,/,9.4
19,/,/,/,/,/,/,/,/,/,/,/,9.2
20,/,/,/,/,/,/,/,/,/,/,/,9.1
21,/,/,/,/,/,/,/,/,/,/,/,10.3
22,/,/,/,/,/,/,/,/,/,/,/,11.9
23,/,/,/,/,/,/,/,/,/,/,/,17.6
24,/,/,/,/,/,/,/,/,/,/,/,16.7
25,/,/,/,/,/,/,/,/,/,/,/,16.9
26,/,/,/,/,/,/,/,/,/,/,/,17.8
27,/,/,/,/,/,/,/,/,/,/,/,14.9
28,/,/,/,/,/,/,/,/,/,/,/,13.3
29,/,,/,/,/,/,/,/,/,/,/,10.5
30,/,,/,/,/,/,/,/,/,/,/,9.4
31,/,,/,,/,,/,/,,/,,12.1
平均,/,/,/,/,/,/,/,/,/,/,/,13.9
