2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,20.0
5,/,/,/,/,/,/,/,/,/,/,/,230.0
6,/,/,/,/,/,/,/,/,/,/,/,270.0
7,/,/,/,/,/,/,/,/,/,/,/,240.0
8,/,/,/,/,/,/,/,/,/,/,/,220.0
9,/,/,/,/,/,/,/,/,/,/,/,220.0
10,/,/,/,/,/,/,/,/,/,/,/,190.0
11,/,/,/,/,/,/,/,/,/,/,/,230.0
12,/,/,/,/,/,/,/,/,/,/,/,220.0
13,/,/,/,/,/,/,/,/,/,/,/,240.0
14,/,/,/,/,/,/,/,/,/,/,/,280.0
15,/,/,/,/,/,/,/,/,/,/,/,240.0
16,/,/,/,/,/,/,/,/,/,/,/,270.0
17,/,/,/,/,/,/,/,/,/,/,/,250.0
18,/,/,/,/,/,/,/,/,/,/,/,350.0
19,/,/,/,/,/,/,/,/,/,/,/,250.0
20,/,/,/,/,/,/,/,/,/,/,/,10.0
21,/,/,/,/,/,/,/,/,/,/,/,220.0
22,/,/,/,/,/,/,/,/,/,/,/,250.0
23,/,/,/,/,/,/,/,/,/,/,/,250.0
24,/,/,/,/,/,/,/,/,/,/,/,230.0
25,/,/,/,/,/,/,/,/,/,/,/,250.0
26,/,/,/,/,/,/,/,/,/,/,/,250.0
27,/,/,/,/,/,/,/,/,/,/,/,250.0
28,/,/,/,/,/,/,/,/,/,/,/,240.0
29,/,,/,/,/,/,/,/,/,/,/,250.0
30,/,,/,/,/,/,/,/,/,/,/,330.0
31,/,,/,,/,,/,/,,/,,240.0
平均,/,/,/,/,/,/,/,/,/,/,/,231.8
