2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,3.6
5,/,/,/,/,/,/,/,/,/,/,/,5.5
6,/,/,/,/,/,/,/,/,/,/,/,4.1
7,/,/,/,/,/,/,/,/,/,/,/,6.0
8,/,/,/,/,/,/,/,/,/,/,/,4.9
9,/,/,/,/,/,/,/,/,/,/,/,4.6
10,/,/,/,/,/,/,/,/,/,/,/,4.0
11,/,/,/,/,/,/,/,/,/,/,/,5.8
12,/,/,/,/,/,/,/,/,/,/,/,4.7
13,/,/,/,/,/,/,/,/,/,/,/,4.5
14,/,/,/,/,/,/,/,/,/,/,/,3.1
15,/,/,/,/,/,/,/,/,/,/,/,4.0
16,/,/,/,/,/,/,/,/,/,/,/,4.3
17,/,/,/,/,/,/,/,/,/,/,/,4.5
18,/,/,/,/,/,/,/,/,/,/,/,4.0
19,/,/,/,/,/,/,/,/,/,/,/,5.8
20,/,/,/,/,/,/,/,/,/,/,/,3.8
21,/,/,/,/,/,/,/,/,/,/,/,5.0
22,/,/,/,/,/,/,/,/,/,/,/,6.4
23,/,/,/,/,/,/,/,/,/,/,/,5.7
24,/,/,/,/,/,/,/,/,/,/,/,7.1
25,/,/,/,/,/,/,/,/,/,/,/,5.7
26,/,/,/,/,/,/,/,/,/,/,/,5.5
27,/,/,/,/,/,/,/,/,/,/,/,5.5
28,/,/,/,/,/,/,/,/,/,/,/,7.1
29,/,,/,/,/,/,/,/,/,/,/,7.3
30,/,,/,/,/,/,/,/,/,/,/,4.3
31,/,,/,,/,,/,/,,/,,3.2
平均,/,/,/,/,/,/,/,/,/,/,/,5
