2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,19.5,14.7,20.9,23.0,23.1,25.6,26.7,26.8,26.2,25.0,23.4,20.4
2,18.2,14.3,20.4,22.5,23.5,26.4,26.5,27.0,26.2,25.1,22.7,20.0
3,18.1,15.5,20.1,22.3,24.1,26.2,26.3,26.3,25.7,25.4,23.1,20.2
4,18.7,15.8,20.4,22.2,25.2,26.0,26.7,25.8,25.6,25.1,22.7,20.1
5,18.6,16.6,19.9,21.8,25.7,26.0,27.0,25.9,26.1,24.9,22.8,20.4
6,18.7,16.8,20.4,21.1,25.7,25.8,26.9,26.1,25.7,25.0,22.7,20.3
7,18.8,18.0,21.1,21.0,25.3,24.5,27.3,26.6,24.7,24.5,23.3,20.6
8,18.4,17.9,21.3,21.4,25.2,23.8,27.0,26.8,25.2,24.2,23.3,20.6
9,17.5,17.3,21.9,21.9,25.7,23.9,27.0,27.0,25.5,24.3,22.5,20.4
10,17.6,17.1,21.5,21.7,26.2,24.6,26.8,26.8,25.7,24.1,22.4,20.9
11,17.4,17.2,21.0,21.4,25.0,25.6,26.7,26.4,25.4,24.1,22.5,21.6
12,17.2,17.8,21.0,20.5,24.8,26.6,26.6,26.4,25.5,24.5,22.2,21.7
13,17.4,17.9,21.8,19.7,24.7,26.7,27.5,26.4,25.5,24.6,22.6,21.1
14,17.3,18.7,21.1,19.3,24.9,25.7,27.6,25.7,25.8,24.6,22.8,20.0
15,16.4,19.4,19.9,20.3,25.3,26.2,27.6,25.2,25.6,24.3,23.0,19.8
16,16.4,19.7,19.7,20.5,25.2,26.5,27.0,25.5,25.6,24.2,23.1,20.1
17,16.7,17.9,20.3,21.1,24.9,26.9,26.5,25.7,25.9,23.8,22.7,20.1
18,17.4,17.3,20.5,22.1,24.5,26.8,27.2,25.8,25.9,23.4,22.2,19.5
19,17.1,16.5,20.2,23.0,24.0,27.0,27.1,25.9,26.0,23.8,22.2,19.5
20,16.5,16.8,21.0,23.3,23.8,27.0,26.4,25.9,26.0,23.8,22.3,19.3
21,16.1,17.9,21.6,24.0,23.8,26.6,26.6,26.3,26.0,23.8,22.4,19.2
22,17.0,17.8,22.3,23.9,23.3,26.5,27.2,26.1,25.8,24.4,22.2,19.1
23,17.7,18.4,22.2,22.9,23.6,27.0,26.8,25.8,25.7,23.9,21.6,19.1
24,18.4,19.1,22.4,22.1,24.3,27.1,26.5,26.1,25.6,24.0,22.2,19.6
25,18.4,19.6,22.6,21.7,24.8,27.2,27.1,26.6,25.6,24.0,21.9,19.7
26,18.6,19.8,23.1,22.0,24.4,26.8,26.6,26.1,25.3,24.1,21.5,18.6
27,18.4,19.8,22.9,22.5,24.4,26.3,26.5,25.8,25.3,23.8,21.0,18.3
28,17.3,19.7,21.6,22.9,24.1,26.9,26.2,25.7,25.0,24.0,21.0,19.2
29,16.4,19.7,22.3,23.0,24.2,26.9,26.1,26.2,25.1,23.9,20.8,19.8
30,15.9,,22.3,23.0,24.6,26.8,26.2,26.6,25.0,24.0,20.5,18.5
31,14.0,,22.4,,25.2,,26.5,26.2,,23.5,,/
平均,17.5,17.8,21.3,21.9,24.6,26.2,26.8,26.2,25.6,24.3,22.3,19.9
