2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.3,5.2,15.5,19.3,17.6,22.8,23.7,22.4,22.3,21.4,18.2,15.5
2,12.1,6.4,14.6,17.8,19.4,23.0,22.1,23.0,21.8,20.5,17.7,14.9
3,12.5,9.2,14.2,17.7,20.5,22.1,22.1,22.5,21.4,20.5,18.9,15.2
4,13.9,11.2,15.3,16.9,21.0,21.7,22.7,22.6,21.6,19.7,18.7,15.7
5,13.7,12.6,15.9,16.7,21.5,22.5,22.5,22.7,22.3,21.2,17.9,15.9
6,13.5,12.3,16.1,16.2,22.1,22.2,22.7,22.5,18.5,21.0,19.1,16.0
7,13.7,14.0,16.0,16.0,21.6,21.0,23.3,22.4,17.6,21.0,20.8,16.7
8,12.1,12.2,17.2,16.2,21.0,21.1,23.2,22.7,21.2,20.9,20.2,18.4
9,11.7,12.5,17.2,16.5,21.9,21.7,22.8,23.3,21.7,20.4,19.1,18.0
10,12.7,11.8,18.0,15.3,22.3,21.0,21.2,23.1,22.4,19.9,19.5,19.5
11,12.6,12.6,15.4,15.8,21.6,22.7,21.2,23.1,21.8,20.4,18.4,20.0
12,12.1,12.1,16.3,14.2,21.7,23.7,21.6,22.2,22.1,22.0,18.0,18.3
13,12.5,15.0,18.5,8.7,20.5,23.1,23.0,21.8,22.5,20.9,19.7,15.7
14,8.6,16.1,17.4,9.8,21.3,22.4,23.1,21.1,23.1,21.5,20.7,15.9
15,9.9,17.2,13.4,12.1,21.6,22.4,23.9,21.9,22.5,20.7,20.7,15.3
16,10.7,16.3,11.8,11.0,21.1,22.5,22.9,21.1,22.4,21.0,19.9,16.1
17,11.5,11.5,13.1,15.1,19.9,22.7,22.5,22.0,22.9,20.7,18.7,15.4
18,11.8,9.9,14.9,17.3,21.1,21.8,22.7,21.7,22.6,20.0,17.7,14.8
19,11.5,8.8,16.7,19.0,19.9,22.0,21.8,21.8,22.5,20.7,18.4,14.8
20,9.1,10.6,17.5,19.1,20.4,22.4,20.3,21.9,22.4,20.2,19.8,15.1
21,9.1,12.5,16.9,20.3,20.9,21.8,21.8,22.8,22.3,21.1,19.4,15.5
22,12.3,10.5,18.0,19.1,21.7,22.0,23.0,22.4,22.0,21.7,18.1,14.9
23,14.4,13.1,18.0,18.5,22.4,22.6,22.5,22.9,22.1,20.8,17.9,16.4
24,15.4,13.7,18.6,17.7,22.7,22.7,22.6,22.5,22.3,21.0,18.7,17.4
25,14.1,13.6,17.9,17.9,22.0,23.0,23.5,23.1,22.7,21.3,18.1,14.7
26,16.2,13.7,18.2,18.5,22.3,21.5,21.9,22.6,21.9,20.8,16.9,12.6
27,13.8,14.2,17.3,19.3,21.8,22.4,21.8,22.7,22.2,20.5,16.2,14.2
28,11.7,14.9,17.4,18.3,21.8,22.2,22.0,22.6,22.0,19.9,17.0,16.7
29,10.6,15.1,16.9,17.0,21.8,23.3,22.6,22.8,21.6,20.9,16.1,18.0
30,7.1,,16.9,17.0,21.9,22.9,22.8,23.3,21.7,20.4,16.2,12.4
31,3.0,,18.6,,22.7,,22.8,22.8,,19.1,,8.9
平均,11.9,12.4,16.4,16.5,21.3,22.3,22.5,22.5,21.9,20.7,18.6,15.8
