2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,16.5,0.0,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5,0.0,0.0,0.5,0.0,2.0,34.5,0.0,,,,,
6,0.0,0.0,0.0,0.0,0.0,11.0,21.0,,,,,
7,1.0,0.0,0.0,0.0,0.0,0.0,2.5,,,,,
8,1.0,0.0,0.0,0.0,0.0,9.0,,,,,,
9,0.5,0.0,0.0,0.0,0.0,24.5,,,,,,
10,0.0,0.0,0.0,0.0,0.0,49.5,,,,,,
11,1.5,0.0,0.0,0.0,0.0,4.5,,,,,,
12,2.5,0.0,0.0,0.0,0.0,29.5,,,,,,
13,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
16,0.0,0.0,0.0,0.0,0.0,4.5,,,,,,
17,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,
18,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
19,0.0,0.0,0.0,0.0,23.5,2.0,,,,,,
20,0.0,0.0,0.0,0.0,0.0,8.5,,,,,,
21,0.0,0.0,0.0,0.0,1.5,7.5,,,,,,
22,0.0,0.0,1.5,0.0,0.0,19.0,,,,,,
23,0.0,0.0,1.5,0.0,0.0,1.0,,,,,,
24,0.0,0.0,3.5,0.0,6.5,12.0,,,,,,
25,0.0,0.0,0.0,1.0,0.0,0.5,,,,,,
26,0.0,0.0,0.0,6.5,1.5,2.0,,,,,,
27,0.0,0.0,0.0,6.5,0.0,8.5,,,,,,
28,0.0,0.0,0.0,0.0,0.0,3.5,,,,,,
29,0.0,,0.0,6.5,3.0,10.0,,,,,,
30,0.0,,0.0,0.0,37.5,2.5,,,,,,
31,0.0,,0.0,,30.5,,,,,,,
平均,0.2,0,0.2,0.7,3.4,9.2,3.4, , , , , 
