2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 13:20:00,2021-02-01 14:18:00,2021-03-01 12:46:00,2021-04-01 12:36:00,2021-05-01 12:42:00,2021-06-01 13:24:00,2021-07-01 15:07:00,,,,,
2,2021-01-02 13:35:00,2021-02-02 14:02:00,2021-03-02 12:33:00,2021-04-02 13:47:00,2021-05-02 15:12:00,2021-06-02 12:20:00,2021-07-02 15:32:00,,,,,
3,2021-01-03 13:36:00,2021-02-03 14:41:00,2021-03-03 11:35:00,2021-04-03 12:20:00,2021-05-03 12:55:00,2021-06-03 14:18:00,2021-07-03 13:31:00,,,,,
4,2021-01-04 14:19:00,2021-02-04 14:27:00,2021-03-04 13:10:00,2021-04-04 12:03:00,2021-05-04 14:57:00,2021-06-04 11:23:00,2021-07-04 12:26:00,,,,,
5,2021-01-05 13:20:00,2021-02-05 12:37:00,2021-03-05 13:22:00,2021-04-05 13:22:00,2021-05-05 15:00:00,2021-06-05 14:20:00,2021-07-05 16:33:00,,,,,
6,2021-01-06 12:27:00,2021-02-06 13:23:00,2021-03-06 13:55:00,2021-04-06 13:41:00,2021-05-06 15:24:00,2021-06-06 13:08:00,2021-07-06 11:11:00,,,,,
7,2021-01-07 10:58:00,2021-02-07 13:59:00,2021-03-07 11:45:00,2021-04-07 11:19:00,2021-05-07 14:29:00,2021-06-07 11:24:00,,,,,,
8,2021-01-08 00:09:00,2021-02-08 14:16:00,2021-03-08 10:20:00,2021-04-08 15:03:00,2021-05-08 13:58:00,2021-06-08 11:58:00,,,,,,
9,2021-01-09 12:23:00,2021-02-09 11:54:00,2021-03-09 12:51:00,2021-04-09 14:28:00,2021-05-09 14:33:00,2021-06-09 11:25:00,,,,,,
10,2021-01-10 12:14:00,2021-02-10 13:23:00,2021-03-10 15:13:00,2021-04-10 14:22:00,2021-05-10 11:21:00,2021-06-10 14:47:00,,,,,,
11,2021-01-11 14:05:00,2021-02-11 15:01:00,2021-03-11 11:37:00,2021-04-11 14:25:00,2021-05-11 13:10:00,2021-06-11 14:15:00,,,,,,
12,2021-01-12 15:25:00,2021-02-12 14:30:00,2021-03-12 12:34:00,2021-04-12 14:03:00,2021-05-12 12:46:00,2021-06-12 11:20:00,,,,,,
13,2021-01-13 15:12:00,2021-02-13 14:10:00,2021-03-13 13:31:00,2021-04-13 11:14:00,2021-05-13 11:09:00,2021-06-13 15:40:00,,,,,,
14,2021-01-14 14:36:00,2021-02-14 14:04:00,2021-03-14 14:56:00,2021-04-14 13:07:00,2021-05-14 11:40:00,2021-06-14 15:48:00,,,,,,
15,2021-01-15 14:55:00,2021-02-15 13:25:00,2021-03-15 12:53:00,2021-04-15 14:59:00,2021-05-15 13:44:00,2021-06-15 13:48:00,,,,,,
16,2021-01-16 13:50:00,2021-02-16 13:49:00,2021-03-16 12:25:00,2021-04-16 12:38:00,2021-05-16 13:04:00,2021-06-16 08:38:00,,,,,,
17,2021-01-17 12:54:00,2021-02-17 12:00:00,2021-03-17 12:37:00,2021-04-17 14:05:00,2021-05-17 14:30:00,2021-06-17 11:09:00,,,,,,
18,2021-01-18 14:52:00,2021-02-18 14:09:00,2021-03-18 13:27:00,2021-04-18 10:30:00,2021-05-18 14:37:00,2021-06-18 14:43:00,,,,,,
19,2021-01-19 14:28:00,2021-02-19 13:08:00,2021-03-19 13:11:00,2021-04-19 15:35:00,2021-05-19 13:20:00,2021-06-19 10:45:00,,,,,,
20,2021-01-20 13:02:00,2021-02-20 15:02:00,2021-03-20 13:52:00,2021-04-20 14:26:00,2021-05-20 12:37:00,2021-06-20 08:44:00,,,,,,
21,2021-01-21 14:54:00,2021-02-21 14:25:00,2021-03-21 11:43:00,2021-04-21 13:23:00,2021-05-21 11:17:00,2021-06-21 15:37:00,,,,,,
22,2021-01-22 12:55:00,2021-02-22 14:11:00,2021-03-22 00:01:00,2021-04-22 10:49:00,2021-05-22 14:05:00,2021-06-22 12:07:00,,,,,,
23,2021-01-23 12:51:00,2021-02-23 14:39:00,2021-03-23 15:54:00,2021-04-23 13:48:00,2021-05-23 14:22:00,2021-06-23 12:08:00,,,,,,
24,2021-01-24 12:37:00,2021-02-24 15:17:00,2021-03-24 14:28:00,2021-04-24 14:03:00,2021-05-24 13:09:00,2021-06-24 15:02:00,,,,,,
25,2021-01-25 12:54:00,2021-02-25 10:36:00,2021-03-25 14:01:00,2021-04-25 11:59:00,2021-05-25 14:16:00,2021-06-25 10:59:00,,,,,,
26,2021-01-26 12:30:00,2021-02-26 12:34:00,2021-03-26 13:00:00,2021-04-26 13:02:00,2021-05-26 14:05:00,2021-06-26 16:49:00,,,,,,
27,2021-01-27 14:01:00,2021-02-27 14:54:00,2021-03-27 11:31:00,2021-04-27 11:56:00,2021-05-27 13:06:00,2021-06-27 11:34:00,,,,,,
28,2021-01-28 13:47:00,2021-02-28 13:08:00,2021-03-28 14:30:00,2021-04-28 12:50:00,2021-05-28 12:06:00,2021-06-28 15:23:00,,,,,,
29,2021-01-29 10:09:00,,2021-03-29 15:12:00,2021-04-29 17:01:00,2021-05-29 09:55:00,2021-06-29 15:37:00,,,,,,
30,2021-01-30 12:09:00,,2021-03-30 13:15:00,2021-04-30 15:04:00,2021-05-30 22:03:00,2021-06-30 11:08:00,,,,,,
31,2021-01-31 13:24:00,,2021-03-31 12:14:00,,2021-05-31 10:56:00,,,,,,,
平均, , , , , , , , , , , , 
