2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,43
2,/,/,/,/,/,/,/,/,/,/,/,43
3,/,/,/,/,/,/,/,/,/,/,/,52
4,/,/,/,/,/,/,/,/,/,/,/,52
5,/,/,/,/,/,/,/,/,/,/,/,63
6,/,/,/,/,/,/,/,/,/,/,/,61
7,/,/,/,/,/,/,/,/,/,/,/,59
8,/,/,/,/,/,/,/,/,/,/,/,54
9,/,/,/,/,/,/,/,/,/,/,/,52
10,/,/,/,/,/,/,/,/,/,/,/,56
11,/,/,/,/,/,/,/,/,/,/,/,59
12,/,/,/,/,/,/,/,/,/,/,/,54
13,/,/,/,/,/,/,/,/,/,/,/,53
14,/,/,/,/,/,/,/,/,/,/,/,55
15,/,/,/,/,/,/,/,/,/,/,/,58
16,/,/,/,/,/,/,/,/,/,/,/,57
17,/,/,/,/,/,/,/,/,/,/,/,61
18,/,/,/,/,/,/,/,/,/,/,/,/
19,/,/,/,/,/,/,/,/,/,/,/,/
20,/,/,/,/,/,/,/,/,/,/,/,/
21,/,/,/,/,/,/,/,/,/,/,/,/
22,/,/,/,/,/,/,/,/,/,/,/,/
23,/,/,/,/,/,/,/,/,/,/,/,/
24,/,/,/,/,/,/,/,/,/,/,/,/
25,/,/,/,/,/,/,/,/,/,/,/,/
26,/,/,/,/,/,/,/,/,/,/,49,/
27,/,/,/,/,/,/,/,/,/,/,47,/
28,/,/,/,/,/,/,/,/,/,/,62,/
29,/,,/,/,/,/,/,/,/,/,54,/
30,/,,/,/,/,/,/,/,/,/,44,/
31,/,,/,,/,,/,/,,/,,/
平均,/,/,/,/,/,/,/,/,/,/,51.2,54.8
