2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,24.1,27.7,25.1,28.0,/,31.7,29.8,29.7,29.9,28.8,25.8
2,22.0,24.7,28.4,26.4,26.1,/,28.7,31.3,30.8,30.8,30.4,24.6
3,25.9,27.5,28.2,27.4,27.2,/,31.4,31.9,31.1,30.5,29.4,20.9
4,27.0,26.7,27.1,28.4,27.0,/,30.6,32.3,27.9,30.8,26.6,21.1
5,27.8,25.9,25.9,27.7,26.9,/,30.0,31.8,29.0,28.5,27.0,22.3
6,26.6,26.9,27.0,27.9,23.9,/,31.6,32.3,29.3,27.6,27.6,21.6
7,26.8,27.8,23.5,27.7,26.5,/,31.0,32.0,29.6,29.5,27.2,20.9
8,26.1,25.9,21.9,28.5,28.5,/,29.2,31.6,31.1,30.6,27.3,21.8
9,25.7,27.4,29.0,31.3,29.6,/,31.0,31.6,30.1,29.3,26.2,23.6
10,27.7,25.9,26.2,28.6,28.5,/,31.6,30.6,28.7,29.2,26.3,26.2
11,28.6,25.9,24.1,29.8,30.5,/,31.4,31.3,31.4,29.9,26.8,26.0
12,28.2,26.4,24.3,26.5,30.4,31.5,31.2,31.7,31.8,30.3,26.8,23.9
13,25.0,27.4,24.2,29.3,30.5,30.5,31.5,30.3,31.8,28.5,27.6,26.2
14,24.7,26.0,25.7,29.8,30.9,29.4,31.6,29.6,30.8,28.5,26.8,26.2
15,25.3,28.0,24.3,26.2,29.7,28.5,32.1,31.0,31.5,28.3,26.8,25.5
16,23.6,27.3,24.4,28.3,30.7,28.3,32.7,29.5,30.1,27.7,27.6,27.5
17,24.3,25.5,27.3,28.3,30.7,33.0,32.8,28.3,31.1,28.6,28.6,27.5
18,22.3,27.6,27.2,29.4,31.3,32.4,30.7,28.2,30.6,28.2,27.7,28.1
19,24.0,27.8,29.0,31.0,31.4,31.5,29.7,/,29.0,28.9,24.7,26.9
20,26.6,28.8,29.3,29.7,30.8,31.5,29.8,/,31.0,28.1,25.4,25.8
21,23.6,28.3,27.7,29.9,25.8,31.5,30.9,29.3,28.7,28.4,27.4,27.5
22,22.5,26.9,28.6,29.5,29.4,31.7,30.6,31.8,25.9,28.1,26.6,26.8
23,22.5,24.3,24.3,29.4,/,30.9,30.6,32.1,28.5,29.3,28.2,26.2
24,23.9,26.6,24.7,/,/,/,31.6,30.5,29.1,27.7,29.4,25.7
25,25.0,25.7,27.2,29.8,/,30.0,/,29.6,28.2,28.1,25.0,26.9
26,21.6,25.6,27.5,30.8,/,29.2,32.1,32.3,31.0,28.9,26.5,26.9
27,21.6,27.9,28.5,29.8,/,29.2,31.2,31.6,29.7,28.6,27.5,23.4
28,24.1,28.6,28.2,32.3,/,32.1,31.8,30.8,30.5,29.3,25.5,23.3
29,23.3,,28.0,32.6,28.9,32.0,31.2,31.8,30.9,29.1,24.3,24.5
30,25.4,,27.8,30.6,30.5,32.8,31.4,30.8,30.7,28.7,24.1,25.2
31,27.0,,26.6,,30.8,,30.3,30.7,,29.6,,23.9
平均,25,26.7,26.6,29,29,30.9,31.1,30.9,30,29,27,24.9
