2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,50.0,50.0,60.0,60.0,/,/,230.0,100.0,310.0,70.0,60.0,40.0
2,70.0,90.0,50.0,60.0,/,/,140.0,250.0,290.0,70.0,50.0,50.0
3,60.0,60.0,60.0,90.0,/,/,170.0,280.0,70.0,70.0,50.0,50.0
4,60.0,90.0,60.0,80.0,/,/,250.0,150.0,50.0,60.0,60.0,60.0
5,80.0,60.0,40.0,50.0,/,/,310.0,80.0,80.0,50.0,70.0,50.0
6,90.0,50.0,70.0,60.0,/,/,280.0,90.0,80.0,40.0,70.0,70.0
7,70.0,50.0,50.0,70.0,/,/,260.0,80.0,50.0,50.0,100.0,50.0
8,60.0,70.0,70.0,70.0,/,/,300.0,70.0,70.0,70.0,50.0,60.0
9,80.0,60.0,280.0,70.0,/,/,290.0,310.0,70.0,50.0,70.0,50.0
10,50.0,50.0,70.0,/,/,/,300.0,160.0,100.0,70.0,70.0,40.0
11,70.0,100.0,50.0,/,/,/,290.0,120.0,250.0,90.0,40.0,50.0
12,50.0,90.0,70.0,/,/,/,10.0,70.0,80.0,90.0,70.0,50.0
13,70.0,280.0,310.0,/,/,/,60.0,70.0,70.0,90.0,50.0,80.0
14,80.0,160.0,60.0,/,/,/,80.0,70.0,90.0,80.0,50.0,50.0
15,60.0,110.0,70.0,/,/,/,290.0,60.0,80.0,60.0,70.0,70.0
16,70.0,50.0,80.0,/,/,/,290.0,90.0,80.0,70.0,60.0,50.0
17,80.0,70.0,80.0,/,/,280.0,290.0,90.0,70.0,110.0,60.0,40.0
18,80.0,70.0,50.0,/,/,/,280.0,/,70.0,70.0,90.0,80.0
19,90.0,50.0,310.0,/,/,310.0,240.0,/,90.0,40.0,70.0,60.0
20,50.0,60.0,60.0,/,/,280.0,180.0,/,80.0,40.0,100.0,50.0
21,80.0,60.0,60.0,/,/,310.0,60.0,/,70.0,50.0,100.0,50.0
22,90.0,50.0,300.0,/,/,310.0,80.0,/,70.0,50.0,70.0,50.0
23,100.0,70.0,60.0,/,/,300.0,70.0,/,90.0,70.0,70.0,70.0
24,50.0,80.0,50.0,/,/,320.0,110.0,/,70.0,50.0,90.0,50.0
25,50.0,50.0,60.0,/,/,300.0,260.0,310.0,60.0,60.0,50.0,50.0
26,60.0,60.0,110.0,/,/,240.0,170.0,350.0,70.0,50.0,60.0,70.0
27,90.0,70.0,180.0,/,/,180.0,240.0,260.0,50.0,50.0,70.0,50.0
28,70.0,50.0,70.0,/,/,250.0,70.0,260.0,70.0,50.0,60.0,50.0
29,60.0,120.0,90.0,/,/,140.0,90.0,290.0,80.0,50.0,70.0,70.0
30,50.0,,70.0,/,/,290.0,60.0,90.0,70.0,40.0,70.0,50.0
31,60.0,,300.0,,/,,60.0,70.0,,50.0,,50.0
平均,68.7,78.6,106.5,67.8,/,270,187.4,157.1,94.3,61.6,67.3,55.2
