2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.3,19.9,20.5,23.3,22.8,25.7,27.7,,,,,
2,16.1,17.6,19.9,22.7,22.3,25.6,25.6,,,,,
3,18.9,19.9,19.8,21.6,25.9,26.9,24.6,,,,,
4,18.8,19.6,20.2,22.8,26.3,26.8,25.9,,,,,
5,16.6,20.1,22.2,21.0,24.2,24.0,26.2,,,,,
6,20.0,18.0,21.4,20.2,24.7,24.3,25.2,,,,,
7,17.2,21.4,22.7,21.1,25.8,24.9,,,,,,
8,14.3,20.1,22.5,22.6,24.9,25.7,,,,,,
9,13.7,19.8,22.1,21.4,24.8,25.0,,,,,,
10,13.7,20.5,21.0,22.6,25.0,26.0,,,,,,
11,16.1,18.8,20.6,23.0,24.9,25.5,,,,,,
12,15.1,18.8,21.1,22.6,24.4,24.7,,,,,,
13,15.5,18.5,21.3,24.1,25.5,26.4,,,,,,
14,15.9,16.7,20.5,24.1,26.8,28.1,,,,,,
15,13.9,16.0,21.3,23.1,27.5,28.2,,,,,,
16,19.7,19.5,23.1,24.1,26.9,27.0,,,,,,
17,17.1,18.1,24.3,23.1,26.1,27.5,,,,,,
18,17.1,16.7,23.8,21.3,26.5,26.9,,,,,,
19,17.8,15.9,22.8,21.5,27.0,26.0,,,,,,
20,20.2,14.9,23.1,22.5,27.1,27.5,,,,,,
21,22.4,16.2,21.1,23.0,26.8,26.0,,,,,,
22,21.3,17.3,19.3,24.5,28.5,24.9,,,,,,
23,19.7,21.5,18.5,23.9,27.8,24.5,,,,,,
24,20.1,21.6,19.3,23.1,27.2,23.4,,,,,,
25,20.0,20.4,21.6,21.5,26.9,24.7,,,,,,
26,19.1,18.4,22.1,21.8,26.3,24.9,,,,,,
27,20.6,21.0,23.1,23.1,29.0,25.2,,,,,,
28,17.2,21.6,23.9,23.4,28.8,25.6,,,,,,
29,17.0,,21.7,23.3,28.0,26.0,,,,,,
30,17.2,,23.7,22.9,26.2,27.2,,,,,,
31,18.8,,22.1,,26.3,,,,,,,
平均,17.6,18.9,21.6,22.6,26.2,25.8,25.9, , , , , 
