2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
4,0.0,0.0,0.0,0.0,0.0,4.0,0.5,,,,,
5,0.0,0.0,0.0,0.0,0.0,100.0,8.0,,,,,
6,0.0,0.0,0.0,0.0,0.0,22.0,13.5,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
10,0.0,0.0,0.0,0.0,0.0,7.5,,,,,,
11,0.0,8.5,0.0,0.0,0.0,9.5,,,,,,
12,0.0,0.0,0.0,0.0,0.0,3.5,,,,,,
13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
16,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
17,0.0,0.0,0.0,0.0,0.0,2.5,,,,,,
18,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,
19,0.0,0.0,0.0,0.0,0.0,37.0,,,,,,
20,0.0,0.0,0.0,0.0,0.0,8.5,,,,,,
21,0.0,0.0,0.0,0.0,0.0,7.5,,,,,,
22,2.0,0.0,0.0,0.0,0.0,24.5,,,,,,
23,0.0,2.0,0.0,0.0,2.0,15.0,,,,,,
24,0.0,0.0,1.5,0.0,0.0,82.5,,,,,,
25,0.0,0.0,0.0,0.0,0.0,34.0,,,,,,
26,0.0,0.0,0.0,0.0,0.0,24.5,,,,,,
27,0.0,0.0,0.0,0.0,0.0,30.5,,,,,,
28,0.0,0.0,4.0,0.0,0.0,23.5,,,,,,
29,0.0,,0.0,0.5,1.0,14.0,,,,,,
30,0.0,,0.0,0.0,2.5,0.5,,,,,,
31,0.0,,0.0,,2.0,,,,,,,
總和,2,10.5,5.5,0.5,7.5,452.5,22, , , , , 
