2010年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.3,20.1,22.2,20.8,18.4,20.3,26.8,26.1,25.1,24.2,14.5,20.2
2,18.6,18.3,22.6,19.5,19.7,20.7,26.2,25.2,24.7,24.4,16.6,20.8
3,17.0,18.9,21.8,17.4,20.2,21.3,25.9,24.3,24.5,24.7,18.2,17.0
4,15.8,18.3,23.0,19.4,20.6,22.4,25.8,24.5,24.4,22.1,19.6,16.9
5,16.0,19.3,22.7,20.8,23.6,23.0,25.9,25.8,24.7,21.1,20.1,19.6
6,15.9,20.4,23.2,21.6,23.0,21.9,25.2,25.4,24.2,22.0,19.8,19.4
7,15.0,19.3,20.1,18.6,23.0,21.9,25.7,25.2,23.7,22.8,21.3,15.1
8,15.1,20.0,18.1,16.7,23.3,22.2,25.3,25.7,24.3,22.8,19.3,12.8
9,16.2,22.1,17.4,20.1,23.7,23.5,25.3,26.3,24.1,23.0,16.1,11.1
10,17.0,23.4,13.0,20.8,23.5,24.8,25.2,26.0,25.2,23.4,14.9,13.2
11,16.4,23.6,13.0,23.1,21.7,24.1,25.3,26.1,25.7,24.4,16.3,16.3
12,15.1,17.4,16.0,21.4,21.4,24.7,25.6,25.9,25.2,25.2,17.4,19.0
13,9.2,15.1,20.1,21.0,21.9,24.5,26.0,25.7,24.6,25.1,19.6,21.8
14,8.8,20.0,23.0,19.1,23.6,25.7,25.8,25.7,23.5,25.1,19.7,20.5
15,11.2,19.1,24.0,19.6,22.6,26.2,24.7,25.2,24.7,23.8,19.6,18.1
16,13.7,15.5,18.5,17.0,23.2,26.2,24.9,25.2,24.5,23.1,19.4,14.4
17,15.6,15.5,17.5,17.8,24.5,26.2,25.1,25.0,24.2,22.1,19.7,13.4
18,15.7,14.3,19.5,21.7,23.9,25.6,25.4,25.3,23.8,22.2,20.0,11.4
19,18.0,13.6,21.5,23.3,23.2,25.9,25.6,25.4,24.0,23.7,20.5,15.2
20,19.4,14.7,22.6,24.3,23.2,25.9,26.2,24.8,25.3,24.2,20.0,17.5
21,20.3,14.4,21.2,24.3,23.9,26.0,25.1,25.3,24.4,23.6,20.4,16.8
22,17.5,14.5,21.1,23.6,24.4,26.0,24.7,24.5,24.7,23.0,21.1,15.6
23,16.2,18.5,22.9,20.0,25.8,25.3,25.2,24.8,24.3,22.8,18.6,13.2
24,18.2,18.8,23.3,14.9,22.5,24.8,24.8,/,23.9,22.2,17.0,14.2
25,20.1,23.1,19.7,16.9,22.1,26.2,24.1,24.7,23.1,22.3,16.9,15.2
26,15.0,22.6,11.5,20.3,22.3,26.5,23.7,24.8,23.4,18.6,15.1,13.9
27,17.6,22.5,13.5,19.6,22.1,26.4,23.7,24.5,24.0,16.1,15.6,11.6
28,20.9,22.1,15.4,19.8,23.9,26.1,23.7,24.9,23.4,17.5,16.7,12.0
29,19.0,,12.9,19.8,24.5,26.2,24.3,24.6,23.3,15.7,18.1,12.7
30,19.2,,15.3,16.5,24.2,26.2,24.1,24.6,23.8,16.0,19.9,14.1
31,20.7,,17.2,,21.2,,25.8,25.0,,17.2,,11.9
平均,16.4,18.8,19.2,20,22.7,24.6,25.2,25.2,24.3,22.1,18.4,15.6
