2011年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2.8,/,1.9,4.8,4.6,2.9,4.1,5.1,/,1.8,3.3,3.8
2,3.1,/,2.1,4.0,3.9,3.4,4.4,4.8,6.2,11.1,1.8,1.6
3,3.1,/,3.1,3.3,5.9,4.5,4.8,2.7,1.9,4.4,1.4,3.1
4,2.8,/,3.7,4.4,2.4,5.0,4.8,4.4,3.6,3.5,2.8,4.3
5,2.6,/,2.1,4.2,3.2,5.0,4.8,3.4,3.6,4.3,2.5,1.3
6,0.9,/,2.6,0.8,4.8,5.5,4.8,3.2,3.5,3.6,3.0,3.6
7,2.1,/,1.6,0.1,5.4,4.8,5.8,3.4,4.1,2.8,0.7,2.9
8,3.0,/,3.4,0.8,3.9,3.2,4.9,3.0,3.6,3.2,0.7,2.5
9,1.8,/,3.7,0.1,1.0,4.4,1.9,3.2,4.2,1.4,0.3,3.5
10,0.1,/,3.4,0.2,1.0,3.7,0.7,2.0,5.0,3.9,2.3,0.8
11,1.4,/,3.9,0.2,5.3,3.2,2.4,2.6,3.4,3.1,1.1,2.0
12,0.5,/,2.4,0.2,4.7,4.9,3.0,3.8,3.4,4.2,2.1,2.1
13,0.3,/,3.6,0.3,6.4,4.6,4.8,3.2,4.9,3.8,1.2,/
14,0.9,/,3.1,0.2,5.0,4.6,4.8,2.4,2.3,3.6,4.0,2.8
15,2.9,/,5.1,0.7,5.4,5.0,2.1,1.4,0.6,2.8,2.6,1.7
16,2.3,/,3.0,0.7,2.1,3.2,3.2,1.2,4.2,3.9,0.9,4.6
17,1.4,/,3.1,1.2,1.3,3.8,3.5,1.4,2.5,4.2,/,3.8
18,1.2,/,3.3,0.5,0.6,1.0,5.4,0.5,3.9,4.5,/,2.8
19,1.1,/,3.1,0.1,0.4,0.5,3.5,1.1,2.3,3.9,3.7,2.2
20,0.3,/,1.4,0.3,3.1,1.9,3.4,0.7,5.1,2.9,3.1,1.3
21,/,0.0,1.1,0.2,3.3,4.3,3.3,/,4.0,3.0,2.9,0.1
22,/,/,0.2,0.4,2.7,1.3,4.2,/,3.6,3.9,1.9,1.2
23,/,/,1.9,0.0,3.5,4.9,3.5,/,5.6,2.4,2.1,3.2
24,/,/,3.9,0.2,2.6,3.3,3.6,/,2.3,2.5,2.5,2.4
25,/,5.8,5.4,0.2,4.1,2.0,4.0,/,2.4,0.9,3.1,2.3
26,/,3.6,4.1,1.7,2.5,2.7,3.2,/,5.2,4.0,2.9,2.5
27,/,3.1,2.7,2.1,1.8,4.4,1.8,/,3.3,3.1,0.5,0.5
28,/,3.2,3.0,3.5,1.9,4.7,1.0,/,0.8,2.2,1.6,2.6
29,/,,3.8,2.4,4.0,3.3,1.6,/,1.2,3.4,3.8,2.3
30,0.0,,3.6,2.2,3.6,3.9,5.0,/,1.6,3.9,1.6,2.1
31,/,,3.4,,0.7,,4.4,/,,3.8,,2.5
總和,34.6,15.7,92.7,40,101.1,109.9,112.7,53.5,98.3,110,60.4,72.4
