2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2012-01-01 15:00:00,2012-02-01 16:00:00,2012-03-01 15:00:00,2012-04-01 15:00:00,2012-05-01 17:00:00,2012-06-01 16:00:00,2012-07-01 14:00:00,2012-08-01 23:59:59,2012-09-01 16:00:00,2012-10-01 15:00:00,2012-11-01 03:00:00,2012-12-01 17:00:00
2,2012-01-02 14:00:00,2012-02-02 03:00:00,2012-03-02 15:00:00,2012-04-02 16:00:00,2012-05-02 16:00:00,2012-06-02 17:00:00,2012-07-02 17:00:00,2012-08-02 02:00:00,2012-09-02 16:00:00,2012-10-02 15:00:00,2012-11-02 16:00:00,2012-12-02 14:00:00
3,2012-01-03 14:00:00,2012-02-03 15:00:00,2012-03-03 03:00:00,2012-04-03 03:00:00,2012-05-03 17:00:00,2012-06-03 17:00:00,2012-07-03 16:00:00,2012-08-03 01:00:00,2012-09-03 04:00:00,2012-10-03 17:00:00,2012-11-03 15:00:00,2012-12-03 04:00:00
4,2012-01-04 04:00:00,2012-02-04 14:00:00,2012-03-04 16:00:00,2012-04-04 16:00:00,2012-05-04 03:00:00,2012-06-04 16:00:00,2012-07-04 04:00:00,2012-08-04 17:00:00,2012-09-04 04:00:00,2012-10-04 15:00:00,2012-11-04 16:00:00,2012-12-04 15:00:00
5,2012-01-05 15:00:00,2012-02-05 16:00:00,2012-03-05 15:00:00,2012-04-05 15:00:00,2012-05-05 03:00:00,2012-06-05 16:00:00,2012-07-05 04:00:00,2012-08-05 17:00:00,2012-09-05 15:00:00,2012-10-05 04:00:00,2012-11-05 14:00:00,2012-12-05 14:00:00
6,2012-01-06 04:00:00,2012-02-06 16:00:00,2012-03-06 16:00:00,2012-04-06 03:00:00,2012-05-06 03:00:00,2012-06-06 16:00:00,2012-07-06 17:00:00,2012-08-06 18:00:00,2012-09-06 16:00:00,2012-10-06 15:00:00,2012-11-06 15:00:00,2012-12-06 15:00:00
7,2012-01-07 04:00:00,2012-02-07 04:00:00,2012-03-07 15:00:00,2012-04-07 03:00:00,2012-05-07 16:00:00,2012-06-07 05:00:00,2012-07-07 04:00:00,2012-08-07 15:00:00,2012-09-07 15:00:00,2012-10-07 16:00:00,2012-11-07 16:00:00,2012-12-07 15:00:00
8,2012-01-08 15:00:00,2012-02-08 02:00:00,2012-03-08 16:00:00,2012-04-08 16:00:00,2012-05-08 19:00:00,2012-06-08 16:00:00,2012-07-08 04:00:00,2012-08-08 03:00:00,2012-09-08 16:00:00,2012-10-08 16:00:00,2012-11-08 16:00:00,2012-12-08 15:00:00
9,2012-01-09 16:00:00,2012-02-09 16:00:00,2012-03-09 03:00:00,2012-04-09 16:00:00,2012-05-09 03:00:00,2012-06-09 16:00:00,2012-07-09 14:00:00,2012-08-09 03:00:00,2012-09-09 16:00:00,2012-10-09 16:00:00,2012-11-09 14:00:00,2012-12-09 05:00:00
10,2012-01-10 16:00:00,2012-02-10 15:00:00,2012-03-10 02:00:00,2012-04-10 16:00:00,2012-05-10 16:00:00,2012-06-10 16:00:00,2012-07-10 16:00:00,2012-08-10 02:00:00,2012-09-10 16:00:00,2012-10-10 15:00:00,2012-11-10 15:00:00,2012-12-10 15:00:00
