2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,16.8,19.5,20.3,23.7,19.4,25.4,28.3,23.6,24.0,24.2,23.9,17.8
2,20.0,21.5,18.0,21.4,18.9,26.7,/,25.6,23.3,23.8,23.6,19.4
3,18.8,21.4,17.6,21.8,20.0,24.4,/,25.8,23.0,23.0,23.9,18.4
4,18.8,21.7,16.9,21.9,22.0,25.9,28.2,24.9,23.9,22.1,24.6,17.7
5,20.2,21.2,17.1,22.2,23.4,26.3,27.3,26.2,25.0,22.0,23.5,18.4
6,21.1,22.2,18.3,19.8,24.5,25.6,25.5,26.7,25.6,23.9,23.0,19.7
7,21.5,20.7,16.7,18.6,24.2,25.4,25.4,25.6,25.6,24.0,23.8,20.5
8,21.4,20.2,16.5,19.0,24.2,25.3,25.5,24.9,26.2,23.9,24.4,20.4
9,20.0,19.2,16.9,21.2,24.8,27.9,23.9,25.2,25.9,24.5,23.5,20.8
10,19.9,17.4,17.0,21.0,24.7,26.9,24.9,25.7,26.1,25.3,25.5,19.5
11,19.5,18.9,22.2,20.8,25.3,26.1,25.1,25.6,25.4,26.2,23.0,19.1
12,20.4,20.8,21.4,21.1,23.8,24.6,25.4,25.5,24.6,24.2,22.6,18.9
13,18.6,20.7,22.6,21.1,23.6,24.8,26.6,24.4,24.8,25.5,22.5,20.4
14,17.8,20.7,19.8,20.0,24.1,25.0,23.1,24.8,24.7,24.8,22.8,21.6
15,18.2,20.3,20.0,22.3,24.7,26.1,25.5,24.8,25.2,23.3,22.7,21.3
16,17.3,19.9,20.6,20.9,24.6,26.1,26.2,24.4,25.2,22.5,23.2,22.8
17,17.1,20.1,22.0,23.4,24.3,25.2,23.9,25.0,25.6,22.0,21.1,17.4
18,16.6,21.8,23.1,23.6,25.4,25.7,24.4,24.9,25.1,22.0,18.7,16.1
19,17.1,19.5,21.7,22.6,26.6,24.9,24.4,24.8,24.7,22.8,18.3,16.4
20,18.7,19.4,22.5,22.1,25.6,25.1,25.5,26.4,26.2,24.5,19.9,18.1
21,19.5,19.5,23.8,20.8,24.3,27.2,24.7,25.6,24.8,23.1,21.5,18.1
22,20.5,20.4,22.7,20.7,24.4,23.1,25.9,26.7,24.6,23.6,21.9,19.0
23,19.7,20.3,24.2,21.9,24.9,25.1,25.3,24.4,25.2,21.8,22.1,19.3
24,19.2,19.4,23.4,23.1,24.4,25.9,26.2,25.5,23.2,21.1,23.5,18.5
25,18.9,21.0,21.4,22.0,24.9,27.5,25.2,25.3,24.3,22.1,20.2,19.0
26,18.5,20.4,21.4,21.9,24.1,28.2,24.9,24.9,25.6,21.9,20.2,16.4
27,18.3,20.5,21.7,20.6,24.1,28.3,24.7,25.8,25.1,21.0,19.7,15.0
28,17.8,22.0,22.5,21.6,26.5,28.1,24.8,24.6,24.6,21.0,17.7,15.1
29,17.7,,23.0,23.3,24.5,25.7,24.8,23.9,25.3,22.1,16.9,17.3
30,18.1,,23.0,23.7,24.1,25.9,26.0,25.4,26.0,22.9,16.7,16.1
31,20.1,,22.9,,24.1,,26.6,23.3,,23.4,,18.9
平均,19,20.4,20.7,21.6,24,25.9,25.5,25.2,25,23.2,21.8,18.6
